coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-8.979078285,F
coef_total_number_of_tours_is_2,-12.02479873,F
coef_total_number_of_tours_is_3,-14.85157481,F
coef_total_number_of_tours_is_4,-17.70374693,F
coef_total_number_of_tours_is_5,-999,T
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-0.67656277,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-1.051776832,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-1.051776832,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,-0.169910203,F
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.428473733,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-0.65513557,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-1.04106894,F
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-1.04106894,F
coef_number_of_joint_shopping_tours,-0.239085101,F
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,-0.772668913,F
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.763732397,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.792809231,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.792809231,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.792809231,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,1.792809231,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.570910232,F
coef_mediumlow_income_group_and_tour_frequency_is_2,0.831474174,F
coef_mediumlow_income_group_and_tour_frequency_is_3,0.831474174,F
coef_mediumlow_income_group_and_tour_frequency_is_4,0.831474174,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0.831474174,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.74259645,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,0.854562215,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.079217231,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.079217231,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,1.079217231,F
coef_high_income_group_and_tour_frequency_is_1,1.063330988,F
coef_high_income_group_and_tour_frequency_is_2,1.063330988,F
coef_high_income_group_and_tour_frequency_is_3,1.774230519,F
coef_high_income_group_and_tour_frequency_is_4,2.394051911,F
coef_high_income_group_and_tour_frequency_is_5_plus,2.394051911,F
coef_mediumlow_income_group_and_shopping_tour,0.773362335,F
coef_mediumhigh_income_group_and_shopping_tour,0.890601443,F
coef_high_income_group_and_shopping_tour,0.977607351,F
coef_mediumlow_income_group_and_maintenance_tour,0,T
coef_mediumhigh_income_group_and_maintenance_tour,0,T
coef_high_income_group_and_maintenance_tour,0,T
coef_mediumlow_income_group_and_eating_out_tour,0.276563996,F
coef_mediumhigh_income_group_and_eating_out_tour,0.46311834,F
coef_high_income_group_and_eating_out_tour,0.708630812,F
coef_mediumlow_income_group_and_discretionary_tour,0.170669144,F
coef_mediumhigh_income_group_and_discretionary_tour,0.500891622,F
coef_high_income_group_and_discretionary_tour,0.884576718,F
coef_mediumlow_income_group_and_visiting_tour,-0.267038667,F
coef_mediumhigh_income_group_and_visiting_tour,-0.267038667,F
coef_high_income_group_and_visiting_tour,-0.944888226,F
coef_female_and_tour_frequency_is_1,0.390237047,F
coef_female_and_tour_frequency_is_2,0.532314668,F
coef_female_and_tour_frequency_is_3,0.745212548,F
coef_female_and_tour_frequency_is_4,1.129352966,F
coef_female_and_tour_frequency_is_5,1.129352966,F
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0,T
coef_female_and_maintenance_tour,-0.246359568,F
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.362280391,F
coef_zero_car_ownership_and_tour_frequency_is_2,-1.272037707,F
coef_zero_car_ownership_and_tour_frequency_is_3,-1.930650914,F
coef_zero_car_ownership_and_tour_frequency_is_4,-1.930650914,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-1.930650914,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.362280391,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-1.272037707,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-1.930650914,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-1.930650914,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-1.930650914,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.773844802,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.773844802,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.773844802,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.773844802,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0.773844802,F
coef_presence_of_non_worker_and_tour_frequency_is_1,-0.376347434,F
coef_presence_of_non_worker_and_tour_frequency_is_2,-0.719021278,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.0228767,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.0228767,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.0228767,F
coef_presence_of_retiree_and_tour_frequency_is_1,-0.463967401,F
coef_presence_of_retiree_and_tour_frequency_is_2,-0.479477464,F
coef_presence_of_retiree_and_tour_frequency_is_3,-0.479477464,F
coef_presence_of_retiree_and_tour_frequency_is_4,-0.479477464,F
coef_presence_of_retiree_and_tour_frequency_is_5,-0.479477464,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.716076136,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-0.716076136,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-0.716076136,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-0.716076136,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-0.716076136,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0.148647848,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0.484037918,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0.484037918,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0.484037918,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0.484037918,F
coef_presence_of_full_time_worker_and_escorting_tour,0.394692981,F
coef_presence_of_part_time_worker_and_escorting_tour,-0.586062706,F
coef_presence_of_non_worker_and_escorting_tour,0,T
coef_presence_of_retiree_and_escorting_tour,0,T
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.377347311,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.719366494,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,-1.148007993,F
coef_at_home_pre_school_kid_and_escorting_tour,-0.137253117,F
coef_presence_of_full_time_worker_and_shopping_tour,0,T
coef_presence_of_part_time_worker_and_shopping_tour,0,T
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,0,T
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,0,T
coef_presence_of_part_time_worker_and_maintenance_tour,0,T
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,-0.466707789,F
coef_presence_of_part_time_worker_and_eating_out_tour,0,T
coef_presence_of_non_worker_and_eating_out_tour,-0.497630757,F
coef_presence_of_retiree_and_eating_out_tour,-0.691125032,F
coef_presence_of_university_student_and_eating_out_tour,0,T
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_driving_school_kid_and_eating_out_tour,-0.392619094,F
coef_at_home_pre_school_kid_and_eating_out_tour,-0.392619094,F
coef_presence_of_full_time_worker_and_discretionary_tour,-0.354500767,F
coef_presence_of_part_time_worker_and_discretionary_tour,-0.354500767,F
coef_presence_of_non_worker_and_discretionary_tour,0,T
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,0,T
coef_presence_of_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0.071346674,F
coef_walk_access_to_retail_and_tour_frequency_is_2,0.125636957,F
