coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-6.213762126,F
coef_total_number_of_tours_is_2,-8.908030763,F
coef_total_number_of_tours_is_3,-12.32607186,F
coef_total_number_of_tours_is_4,-15.81141194,F
coef_total_number_of_tours_is_5,-999,T
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-0.1852022,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-0.875347977,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-1.615763338,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.315327548,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-0.735127888,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_shopping_tours,-0.713018826,F
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,0,T
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0.671286751,F
coef_logged_maximum_residual_window_tour_frequency_is_0,1.18576226,F
coef_logged_maximum_residual_window_tour_frequency_is_1,1.484226872,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.484226872,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.484226872,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.484226872,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,1.484226872,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0,T
coef_mediumlow_income_group_and_tour_frequency_is_2,0,T
coef_mediumlow_income_group_and_tour_frequency_is_3,0,T
coef_mediumlow_income_group_and_tour_frequency_is_4,0,T
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.110887039,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,0.39136369,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,0.61370368,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,0.61370368,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,0.61370368,F
coef_high_income_group_and_tour_frequency_is_1,0.398601459,F
coef_high_income_group_and_tour_frequency_is_2,0.800856099,F
coef_high_income_group_and_tour_frequency_is_3,0.825438688,F
coef_high_income_group_and_tour_frequency_is_4,0.825438688,F
coef_high_income_group_and_tour_frequency_is_5_plus,0.825438688,F
coef_mediumlow_income_group_and_shopping_tour,0.569328709,F
coef_mediumhigh_income_group_and_shopping_tour,0.569328709,F
coef_high_income_group_and_shopping_tour,0.569328709,F
coef_mediumlow_income_group_and_maintenance_tour,0,T
coef_mediumhigh_income_group_and_maintenance_tour,0,T
coef_high_income_group_and_maintenance_tour,0,T
coef_mediumlow_income_group_and_eating_out_tour,0,T
coef_mediumhigh_income_group_and_eating_out_tour,-0.720748434,F
coef_high_income_group_and_eating_out_tour,-0.720748434,F
coef_mediumlow_income_group_and_discretionary_tour,0,T
coef_mediumhigh_income_group_and_discretionary_tour,0,T
coef_high_income_group_and_discretionary_tour,0,T
coef_mediumlow_income_group_and_visiting_tour,0,T
coef_mediumhigh_income_group_and_visiting_tour,-0.369427523,F
coef_high_income_group_and_visiting_tour,-0.369427523,F
coef_female_and_tour_frequency_is_1,0.097339655,F
coef_female_and_tour_frequency_is_2,0.236092632,F
coef_female_and_tour_frequency_is_3,1.900239374,F
coef_female_and_tour_frequency_is_4,1.900239374,F
coef_female_and_tour_frequency_is_5,1.900239374,F
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0,T
coef_female_and_maintenance_tour,0,T
coef_female_and_eatingout_tour,-0.656811333,F
coef_female_and_discretionary_tour,-0.326568384,F
coef_zero_car_ownership_and_tour_frequency_is_1,-0.581010184,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.581010184,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.581010184,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.581010184,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.581010184,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.581010184,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-0.581010184,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-0.581010184,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-0.581010184,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-0.581010184,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0,T
coef_presence_of_non_worker_and_tour_frequency_is_1,-0.850636459,F
coef_presence_of_non_worker_and_tour_frequency_is_2,-1.180370217,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.180370217,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.180370217,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.180370217,F
coef_presence_of_retiree_and_tour_frequency_is_1,0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.996104258,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-1.909597512,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-2.846878052,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-2.846878052,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-2.846878052,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_full_time_worker_and_escorting_tour,0,T
coef_presence_of_part_time_worker_and_escorting_tour,-1.821284111,F
coef_presence_of_non_worker_and_escorting_tour,0,T
coef_presence_of_retiree_and_escorting_tour,0,T
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,0.94885392,F
coef_presence_of_pre_school_kid_and_escorting_tour,2.146488431,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,0,T
coef_at_home_pre_school_kid_and_escorting_tour,0,T
coef_presence_of_full_time_worker_and_shopping_tour,-0.772841235,F
coef_presence_of_part_time_worker_and_shopping_tour,-0.51993209,F
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,1.313520876,F
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,0,T
coef_presence_of_part_time_worker_and_maintenance_tour,0,T
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0.386343424,F
coef_presence_of_pre_school_kid_and_maintenance_tour,0.969396272,F
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,-0.525106535,F
coef_presence_of_part_time_worker_and_eating_out_tour,-1.979528706,F
coef_presence_of_non_worker_and_eating_out_tour,0,T
coef_presence_of_retiree_and_eating_out_tour,0,T
coef_presence_of_university_student_and_eating_out_tour,-0.652880224,F
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_driving_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_school_kid_and_eating_out_tour,0,T
coef_presence_of_full_time_worker_and_discretionary_tour,-0.483278918,F
coef_presence_of_part_time_worker_and_discretionary_tour,0,T
coef_presence_of_non_worker_and_discretionary_tour,0.978100547,F
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,-0.654187585,F
coef_presence_of_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0,T
coef_walk_access_to_retail_and_tour_frequency_is_2,0,T
coef_walk_access_to_retail_and_tour_frequency_is_3,0,T
coef_walk_access_to_retail_and_tour_frequency_is_4,0,T
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0,T
