Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Availability of the alternative. If not available it has a -999 value,1,,,,,,,,,,,,,,,,
No stops if tour mode is driveTransit,tour_mode_is_drive_transit,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alternative specific constant for outbound stops (individual tours),(~is_joint),,,,,-1.76965894,-1.76965894,,,-2.427553139,,,,,,,
Alternative specific constant for return  stops (individual tours),(~is_joint),,-0.934992782,-1.64088173,,,-0.934992782,,,,,,,,,,
Alternative specific constant for the total number of stops (individual tours),(~is_joint),,,-0.40823078,,,-0.40823078,,,-0.40823078,,,,,,,
Alternative specific constant for outbound stops (joint tours),is_joint,,,,,-2.641438144,-2.641438144,,,-6.347546831,,,,,,,
Alternative specific constant for return  stops (joint tours),is_joint,,-1.790170284,-4.370290521,,,-1.790170284,,,,,,,,,,
Alternative specific constant for the total number of stops (joint tours),is_joint,,,1.162069512,,,1.162069512,,,1.162069512,,,,,,,
Middle to Low Income HH ,(income_in_thousands>19999) & (income_in_thousands<50000),,0.17,0.17,,0.17,0.17,,,0.17,,,,,,,
Mid to High Income HH,(income_in_thousands>=50000) & (income_in_thousands<100000),,0.23,0.23,,0.23,0.23,,,0.23,,,,,,,
High Income HH,(income_in_thousands>=100000),,0.24,0.24,,0.24,0.24,,,0.24,,,,,,,
Number of HH Persons,hhsize,,-0.31,-0.31,,-0.31,-0.31,,,-0.31,,,,,,,
Number of full time workes in HH,num_full,,,,,,,,,,,,,,,,
Number of Students in HH,num_students,,0.21,0.21,,0.21,0.21,,,0.21,,,,,,,
Num Kids between 0 and 4 (including) years old,num_age_0_4,,,,,,,,,,,,,,,,
Presence of Kids between 0 and 4 (including) years old,(num_age_0_4 > 0),,0.74,0.74,,0.74,0.74,,,0.74,,,,,,,
Num kids between 4 and 15 (including) years old,num_age_5_15,,,,,,,,,,,,,,,,
Presence of kids between 5 and 15 (including) years old,(num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Adults (>= 16 years old),num_adult,,,,,,,,,,,,,,,,
Dummy for single parent household,(num_adult == 1) & (num_age_0_4 + num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Cars > Number of Workers,more_cars_than_workers,,,,,,,,,,,,,,,,
Number of Vehicles,auto_ownership,,,,,,,,,,,,,,,,
Dummy for female,(is_female) & (~is_joint),,0.301178418,0.301178418,,0.301178418,0.301178418,,,0.301178418,,,,,,,
Dummy for all stops made by transit,tour_mode_is_transit,,,,,,,,,,,,,,,,
Dummy for walking to all stops,tour_mode_is_non_motorized,,-1.432890615,-1.432890615,,-1.432890615,-1.432890615,,,-1.432890615,,,,,,,
Number of work tours undertaken by the person,~is_joint * num_work_tours,,-0.363998479,-0.363998479,,-0.363998479,-0.363998479,,,-0.363998479,,,,,,,
Number of university tours tours undertaken by the person,~is_joint * num_univ_tours,,-0.625239971,-0.625239971,,-0.625239971,-0.625239971,,,-0.625239971,,,,,,,
Number of school tours tours undertaken by the person,~is_joint * num_school_tours,,-1.413510429,-1.413510429,,-1.413510429,-1.413510429,,,-1.413510429,,,,,,,
Number of escort tours tours undertaken by the person,~is_joint * num_escort_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the person,~is_joint * num_shop_tours,,-0.14276408,-0.14276408,,-0.14276408,-0.14276408,,,-0.14276408,,,,,,,
Number of maintenance tours undertaken by the person,~is_joint * num_maint_tours,,,,,,,,,,,,,,,,
Number of eating tours tours undertaken by the person,~is_joint * num_eatout_tours,,,,,,,,,,,,,,,,
Number of visit tours tours undertaken by the person,~is_joint * num_social_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the houshold,num_hh_shop_tours,,,,,,,,,,,,,,,,
Number of maintenance tours undertaken by the houshold,num_hh_maint_tours,,-0.046843902,-0.046843902,,-0.046843902,-0.046843902,,,-0.046843902,,,,,,,
Number of persons participating in the tour.Outgoing stops interaction,is_joint * number_of_participants,,,,,,,,,,,,,,,,
Number of persons participating in the tour.Return stops interaction,is_joint * number_of_participants,,0.490446202,0.490446202,,0.490446202,0.490446202,,,0.490446202,,,,,,,
AM Peak departure between 6AM and 7 AM (including) Interacted with outbound tours,(start>5) & (start<8),,,,,,,,,,,,,,,,
Arrival later than 17:00.,(end > 16),,,,,,,,,,,,,,,,
Evening Arrival (>=19:00) Interacted with return tours,(end > 18),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 11 hours,(duration > 10),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 9 hours ,(duration > 8),,0.513358011,0.513358011,,0.513358011,0.513358011,,,0.513358011,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 3 hours ,(duration > 2),,,,,,,,,,,,,,,,
dummy for origin at Urban Commercial. (AreaType = 2),(origin_area_type == 2),,,,,,,,,,,,,,,,
dummy for origin at Urban Residential (AreaType = 3),(origin_area_type == 3),,,,,,,,,,,,,,,,
dummy for origin at Urban Area (Area Type = 2 or AreaType = 3),(origin_area_type > 1) & (origin_area_type < 4),,0.134105881,0.134105881,,0.134105881,0.134105881,,,0.134105881,,,,,,,
dummy for origin at Suburban Commercial  (AreaType = 4),(origin_area_type == 4),,,,,,,,,,,,,,,,
dummy for origin at Suburban Residential  (AreaType = 5),(origin_area_type == 5),,,,,,,,,,,,,,,,
dummy for origin at Exurban  (AreaType = 6),(origin_area_type == 6),,,,,,,,,,,,,,,,
dummy for origin at Rural  (AreaType = 7),(origin_area_type == 7),,,,,,,,,,,,,,,,
dummy for origin not urban  (AreaType = 4-7). For tours with outbound stops only,(origin_area_type > 3),,,,,,,,,,,,,,,,
dummy for destination at Urban CBD (AreaType = 1),(destination_area_type == 1),,,,,,,,,,,,,,,,
dummy for destination at Urban Commercial. (AreaType = 2),(destination_area_type == 2),,,,,,,,,,,,,,,,
dummy for destination at Urban Residential (AreaType = 3),(destination_area_type == 3),,,,,,,,,,,,,,,,
dummy for destination at Urban Area (Area Type = 2 or AreaType = 3),(destination_area_type > 1) & (destination_area_type < 4),,0.344640622,0.344640622,,0.344640622,0.344640622,,,0.344640622,,,,,,,
dummy for destination at Suburban Commercial  (AreaType = 4),(destination_area_type == 4),,,,,,,,,,,,,,,,
dummy for destination at Suburban Residential  (AreaType = 5),(destination_area_type == 5),,,,,,,,,,,,,,,,
dummy for destination at Exurban  (AreaType = 6),(destination_area_type == 6),,,,,,,,,,,,,,,,
dummy for destination at Rural  (AreaType = 7),(destination_area_type == 7),,,,,,,,,,,,,,,,
HH accesibility for outbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
HH accesibility for inbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for outbound tours. Interaction,pracc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for return tours. Interaction,pracc,,,,,,,,,,,,,,,,
dummy for distance less than 20 Miles ,(distance_in_miles < 20),,-0.407996073,-0.407996073,,-0.407996073,-0.407996073,,,-0.407996073,,,,,,,
dummy for distance in miles,distance_in_miles,,0.027276502,0.027276502,,0.027276502,0.027276502,,,0.027276502,,,,,,,
Calibration constants,1,0,0.014542077,0.129613702,-2.582509173,0.079342995,0.612565571,-3.647646097,-3.439181881,0.40186573,-3.626599367,-5.095090249,-5.358061612,-3.657513453,-4.688461106,-5.067067085,-4.692360184
Calibration constants,1,-0.16,,,,,,,,,,,,,,,
