primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
work,TRUE,1,12,PTYPE_FULL,0.265,0,0,0.2924,0.1139,0.251,0.0614,0.0046,0.0117
work,TRUE,1,12,PTYPE_PART,0.1985,0,0,0.2452,0.0964,0.3487,0.0271,0.0552,0.0289
work,TRUE,1,12,PTYPE_UNIVERSITY,0.0911,0.1561,0,0.4422,0,0.3106,0,0,0
work,TRUE,13,48,PTYPE_FULL,0.4491,0,0,0.049,0.1375,0.1652,0.1501,0.0361,0.013
work,TRUE,13,48,PTYPE_PART,0.1651,0,0,0.1771,0.2663,0.2281,0.1053,0.0342,0.0239
work,TRUE,13,48,PTYPE_UNIVERSITY,0.0989,0.1038,0,0,0.2478,0.1514,0.2219,0.1039,0.0723
work,TRUE,1,48,PTYPE_DRIVING,0,0,0,0,0,0,0,1,0
univ,TRUE,1,48,PTYPE_UNIVERSITY,0.0289,0.0709,0,0.0989,0.2727,0.2192,0.1711,0.0533,0.085
school,TRUE,1,48,PTYPE_DRIVING,0.0377,0,0.1181,0.3951,0.1781,0.1223,0,0.0554,0.0933
school,TRUE,1,48,PTYPE_SCHOOL,0,0,0.0498,0.6408,0.0548,0.146,0.0261,0.0117,0.0708
school,TRUE,1,48,PTYPE_PRESCHOOL,0,0,0.0002,0.3073,0.1622,0.2931,0.039,0.1592,0.039
escort,TRUE,1,48,PTYPE_FULL,0,0,0,0.2119,0.2834,0.3385,0.0581,0.0077,0.1004
escort,TRUE,1,48,PTYPE_PART,0,0,0,0.1569,0.3168,0.3016,0.1259,0.0806,0.0182
escort,TRUE,1,48,PTYPE_UNIVERSITY,0,0,0,0.1629,0.0666,0.5252,0.1331,0.0526,0.0596
escort,TRUE,1,48,PTYPE_NONWORK,0,0,0,0.2564,0.1323,0.4666,0.0095,0.0569,0.0783
escort,TRUE,1,48,PTYPE_RETIRED,0,0,0,0.0002,0.1026,0.2787,0.5064,0.1121,0
escort,TRUE,1,48,PTYPE_DRIVING,0,0,0,0.2565,0.0649,0.24,0.2704,0,0.1682
escort,TRUE,1,48,PTYPE_SCHOOL,0,0,0,0.1499,0.1526,0.412,0.037,0.1086,0.1399
escort,TRUE,1,48,PTYPE_PRESCHOOL,0,0,0,0.1373,0.5514,0.3113,0,0,0
shopping,TRUE,1,48,PTYPE_FULL,0,0,0,0.047,0.2311,0.4904,0.1556,0.0436,0.0323
shopping,TRUE,1,48,PTYPE_PART,0,0,0,0.0927,0.2616,0.3673,0.165,0.0393,0.0741
shopping,TRUE,1,48,PTYPE_UNIVERSITY,0,0,0,0.1844,0.3557,0.2017,0.1552,0.103,0
shopping,TRUE,1,48,PTYPE_NONWORK,0,0,0,0.0527,0.3085,0.3956,0.107,0.061,0.0752
shopping,TRUE,1,48,PTYPE_RETIRED,0,0,0,0.066,0.2888,0.4157,0.0927,0.0843,0.0525
shopping,TRUE,1,48,PTYPE_DRIVING,0,0,0,0,1,0,0,0,0
shopping,TRUE,1,48,PTYPE_SCHOOL,0,0,0,0.1131,0.3575,0.3195,0.1031,0.1068,0
shopping,TRUE,1,48,PTYPE_PRESCHOOL,0,0,0,0.1366,0.4914,0.3119,0.0176,0,0.0425
othmaint,TRUE,1,48,PTYPE_FULL,0,0,0,0.1606,0.1988,0.3668,0.0661,0.1547,0.053
othmaint,TRUE,1,48,PTYPE_PART,0,0,0,0.1455,0.115,0.3698,0.2388,0.0497,0.0812
othmaint,TRUE,1,48,PTYPE_UNIVERSITY,0,0,0,0.0466,0.4056,0.3943,0.0851,0.0684,0
othmaint,TRUE,1,48,PTYPE_NONWORK,0,0,0,0.1564,0.2437,0.3733,0.0573,0.0948,0.0745
othmaint,TRUE,1,48,PTYPE_RETIRED,0,0,0,0.0977,0.1912,0.6306,0,0,0.0805
othmaint,TRUE,1,48,PTYPE_DRIVING,0,0,0,0.8006,0.0996,0.0002,0,0,0.0996
othmaint,TRUE,1,48,PTYPE_SCHOOL,0,0,0,0,0.3169,0.3525,0,0,0.3306
othmaint,TRUE,1,48,PTYPE_PRESCHOOL,0,0,0,0.7277,0.1239,0.0002,0,0.0535,0.0947
eatout,TRUE,1,48,PTYPE_FULL,0,0,0,0.3348,0.0885,0.0882,0,0.4885,0
eatout,TRUE,1,48,PTYPE_PART,0,0,0,0.2105,0.3395,0.277,0,0.1373,0.0357
eatout,TRUE,1,48,PTYPE_UNIVERSITY,0,0,0,0.5091,0.0001,0.4908,0,0,0
eatout,TRUE,1,48,PTYPE_NONWORK,0,0,0,0.1646,0.1283,0.3342,0,0.2443,0.1286
