body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Car,Gas,2017,39,738,24,0,32926.61346,20.17,388.85
Car,Gas,2016,39,734,23.7,0,33383.61537,20.32822785,392.27
Car,Gas,2015,39,740,23.4,0,33369.12233,20.49051282,398.43
Car,Gas,2014,41,717,23.2,0,32571.33539,20.60103448,402.86
Car,Gas,2013,40,702,23.1,0,32976.62731,20.65701299,402.94
Car,Gas,2012,42,668,22.4,0,32959.56219,21.06285714,417.59
Car,Gas,2011,42,617,21.7,0,34409.88113,21.49488479,428.48
Car,Gas,2010,44,641,21.5,0,35279.71318,21.62348837,434.37
Car,Gas,2009,45,637,21,0,35638.52401,21.95571429,444.46
Car,Gas,2008,46,649,20.5,0,35745.78309,22.30414634,454.02
Car,Gas,2007,43,594,20.3,0,37613.76774,22.44832512,454.23
Car,Gas,2006,43,595,20.2,0,38581.65596,22.52148515,456.18
Car,Gas,2005,41,661,20.4,0,37537.36453,22.37588235,452.05
Car,Gas,2004,43,628,20.6,0,37988.14511,22.2331068,445.25
Car,Gas,2003,42,573,20.5,0,37597.37624,22.30414634,450.5
Car,Gas,2002,42,543,20.8,0,37380.8733,22.09307692,439.76
Car,Gas,2001,39,505,21,0,37361.09207,21.95571429,437.72
Car,Gas,2000,39,473,21,0,38856.86312,21.95571429,437.7
Car,Gas,1999,40,483,21.2,0,38447.21363,21.8209434,435.35
Car,Gas,1998,42,464,21.3,0,38952.55256,21.75450704,433.86
Car,Diesel,2017,3,9,35.2,0,38787.1746,16.19272727,290
Car,Diesel,2016,2,8,31.4,0,39325.51763,17.22414013,325.13
Car,Diesel,2015,4,23,32.8,0,39308.445,16.81634146,311.57
Car,Diesel,2014,4,20,31.5,0,38368.66109,17.19380952,322.3
Car,Diesel,2013,2,12,31.8,0,38846.09034,17.10396226,319.17
Car,Diesel,2012,2,8,32.3,0,38825.98783,16.9579257,314.55
Car,Diesel,2011,3,8,31.4,0,40534.44697,17.22414013,324.25
Car,Diesel,2010,3,8,31.4,0,41559.0992,17.22414013,324.25
Car,Diesel,2009,3,6,30.2,0,41981.77425,17.60377483,339.1
Car,Diesel,2008,1,1,26,0,42108.12422,19.20846154,391.54
Car,Diesel,2007,1,1,26,0,44308.58881,19.20846154,391.54
Car,Diesel,2006,2,7,32.3,0,45448.75007,16.9579257,317.06
Car,Diesel,2005,2,13,32,0,44218.5867,17.045,321.07
Car,Diesel,2004,1,10,32.6,0,44749.60108,16.87245399,315.61
Car,Diesel,2003,1,8,35.6,0,44289.27981,16.09696629,287.33
Car,Diesel,2002,1,8,35.6,0,44034.24182,16.09696629,287.33
Car,Diesel,2001,1,6,35.5,0,44010.93975,16.12070423,288.19
Car,Diesel,2000,1,6,35.5,0,45772.94097,16.12070423,288.19
Car,Diesel,1999,2,8,34.5,0,45290.37855,16.36565217,299.48
Car,Diesel,1998,2,8,33.8,0,45885.66203,16.54573964,306.26
Car,Hybrid,2017,11,29,40.4,0,34769.7517,15.09574257,242.55
Car,Hybrid,2016,14,31,36.8,0,35252.33528,15.82217391,253.65
Car,Hybrid,2015,12,33,35.5,0,35237.03096,16.12070423,261.42
Car,Hybrid,2014,15,40,34.8,0,34394.58617,16.29068966,270.95
Car,Hybrid,2013,15,34,35.3,0,34822.56518,16.16858357,265.21
Car,Hybrid,2012,12,25,34.2,0,34804.54481,16.44192982,280.1
Car,Hybrid,2011,11,20,33.6,0,36336.04847,16.59857143,285.2
Car,Hybrid,2010,8,13,34.5,0,37254.57126,16.36565217,276.5
Car,Hybrid,2009,6,8,32.3,0,37633.4673,16.9579257,293.75
Car,Hybrid,2008,6,8,31.8,0,37746.73043,17.10396226,299.43
Car,Hybrid,2007,5,7,33.3,0,39719.27956,16.67900901,281.75
Car,Hybrid,2006,2,5,42.4,0,40741.3474,14.7454717,224.05
Car,Hybrid,2005,2,8,41.9,0,39638.59951,14.82990453,218.55
Car,Hybrid,2004,2,7,43.9,0,40114.61351,14.50371298,204.44
Car,Hybrid,2003,2,7,43.3,0,39701.9705,14.59840647,207.34
Car,Hybrid,2002,2,3,47,0,39473.34834,14.05297872,191.17
Car,Hybrid,2001,2,4,47,0,39452.45982,14.05297872,190.65
Car,Hybrid,2000,1,1,53,0,41031.95988,13.33037736,167.68
Car,Hybrid,1999,0,0,0,0,40599.37938,13.33037736,0
Car,Hybrid,1998,0,0,0,0,41133.00574,13.33037736,0
Car,PEV,2017,9,14,35.1,0,56882.64178,16.21700855,138.64
Car,PEV,2016,8,14,33.8,0,65356.24918,16.54573964,142.21
Car,PEV,2015,8,11,32.1,0,55150.60558,17.01579439,181.55
Car,PEV,2014,8,10,35.1,0,44172.85443,16.21700855,160
Car,PEV,2013,3,4,40.8,0,52370.99125,15.02294118,118
Car,PEV,2012,3,3,35.7,0,47444.73245,16.07336134,129.67
Car,PEV,2011,1,1,37,0,38741.26195,15.77810811,84
Car,PEV,2010,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2009,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2008,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2007,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2006,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2005,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2004,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2003,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2002,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2001,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,2000,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,1999,0,0,0,0,38741.26195,15.77810811,0
Car,PEV,1998,0,0,0,0,38741.26195,15.77810811,0
Car,BEV,2017,13,23,108.7,169,65091.20275,10.4298896,0
