trip_id,survey_trip_id,person_id,household_id,survey_tour_id,outbound,purpose,destination,origin,depart,trip_mode,tour_id,trip_num
2286865,22868650,6972,6972,2858580,True,eatout,465,494,14.0,DRIVEALONEFREE,285858,1
2286869,22868690,6972,6972,2858580,False,Home,494,465,16.0,TNC_SHARED,285858,1
2286889,22868890,6972,6972,2858610,True,escort,499,494,14.0,DRIVEALONEFREE,285861,1
2286893,22868930,6972,6972,2858610,False,Home,494,499,14.0,SHARED2FREE,285861,1
3119481,31194810,9510,9510,3899350,True,othdiscr,595,631,11.0,DRIVEALONEFREE,389935,1
3119485,31194850,9510,9510,3899350,False,eatout,596,595,13.0,SHARED3FREE,389935,1
3119486,31194860,9510,9510,3899350,False,Home,631,596,13.0,DRIVEALONEFREE,389935,2
3840929,38409290,11710,11710,4801160,True,eatout,729,720,9.0,DRIVEALONEPAY,480116,1
3840933,38409330,11710,11710,4801160,False,Home,720,729,14.0,DRIVEALONEFREE,480116,1
3977857,39778570,12127,12127,4972320,True,othdiscr,743,725,17.0,DRIVEALONEFREE,497232,1
3977861,39778610,12127,12127,4972320,False,Home,725,743,18.0,DRIVEALONEFREE,497232,1
3977921,39779210,12127,12127,4972400,True,othmaint,742,725,14.0,DRIVEALONEFREE,497240,1
3977922,39779220,12127,12127,4972400,True,shopping,733,742,16.0,TNC_SINGLE,497240,2
3977925,39779250,12127,12127,4972400,False,Home,725,733,17.0,TNC_SINGLE,497240,1
4276009,42760090,13036,13036,5345010,True,shopping,760,749,15.0,SHARED3FREE,534501,1
4276010,42760100,13036,13036,5345010,True,othdiscr,760,760,15.0,SHARED3FREE,534501,2
4276013,42760130,13036,13036,5345010,False,Home,749,760,19.0,SHARED3FREE,534501,1
6370641,63706410,19422,19422,7963300,True,othmaint,1122,1139,13.0,DRIVEALONEFREE,796330,1
6370645,63706450,19422,19422,7963300,False,Home,1139,1122,16.0,DRIVEALONEFREE,796330,1
7064009,70640090,21536,21536,8830010,True,othdiscr,1206,1202,12.0,WALK_LOC,883001,1
7064013,70640130,21536,21536,8830010,False,shopping,1189,1206,14.0,TNC_SINGLE,883001,1
7064014,70640140,21536,21536,8830010,False,Home,1202,1189,14.0,TNC_SINGLE,883001,2
9800537,98005370,29879,29879,12250670,True,othmaint,1029,17,11.0,DRIVEALONEFREE,1225067,1
9800541,98005410,29879,29879,12250670,False,Home,17,1029,12.0,DRIVEALONEFREE,1225067,1
11008209,110082090,33561,33561,13760260,True,othdiscr,79,93,16.0,SHARED3FREE,1376026,1
11008213,110082130,33561,33561,13760260,False,Home,93,79,22.0,SHARED3FREE,1376026,1
11761689,117616890,35858,35858,14702110,True,shopping,8,122,9.0,WALK_HVY,1470211,1
11761693,117616930,35858,35858,14702110,False,eatout,10,8,21.0,WALK_LOC,1470211,1
11761694,117616940,35858,35858,14702110,False,Home,122,10,21.0,WALK_LOC,1470211,2
12518649,125186490,38166,38166,15648310,True,othdiscr,134,205,17.0,WALK_LOC,1564831,1
12518653,125186530,38166,38166,15648310,False,shopping,157,134,19.0,WALK_LOC,1564831,1
12518654,125186540,38166,38166,15648310,False,Home,205,157,19.0,WALK_LOC,1564831,2
12518673,125186730,38166,38166,15648340,True,othmaint,136,205,11.0,WALK_LOC,1564834,1
12518677,125186770,38166,38166,15648340,False,Home,205,136,16.0,WALK_LOC,1564834,1
13604001,136040010,41475,41475,17005000,True,othdiscr,320,317,13.0,WALK,1700500,1
13604005,136040050,41475,41475,17005000,False,Home,317,320,16.0,WALK,1700500,1
14291337,142913370,43571,43571,17864170,True,eatout,372,393,15.0,SHARED2FREE,1786417,1
14291341,142913410,43571,43571,17864170,False,Home,393,372,15.0,DRIVEALONEFREE,1786417,1
14291361,142913610,43571,43571,17864200,True,escort,392,393,8.0,DRIVEALONEFREE,1786420,1
14291365,142913650,43571,43571,17864200,False,Home,393,392,9.0,DRIVEALONEFREE,1786420,1
14782553,147825530,45068,45068,18478190,True,univ,412,412,18.0,WALK,1847819,1
14782557,147825570,45068,45068,18478190,False,Home,412,412,18.0,WALK,1847819,1
15148577,151485770,46184,46184,18935720,True,othmaint,444,460,9.0,SHARED3FREE,1893572,1
15148581,151485810,46184,46184,18935720,False,Home,460,444,11.0,SHARED2FREE,1893572,1
15317169,153171690,46698,46698,19146460,True,othmaint,485,486,11.0,WALK_LOC,1914646,1
15317173,153171730,46698,46698,19146460,False,Home,486,485,11.0,WALK_LOC,1914646,1
15459217,154592170,47131,47131,19324020,True,escort,556,519,16.0,DRIVEALONEFREE,1932402,1
15459218,154592180,47131,47131,19324020,True,univ,557,556,17.0,DRIVEALONEFREE,1932402,2
15459221,154592210,47131,47131,19324020,False,Home,519,557,21.0,DRIVEALONEFREE,1932402,1
15469337,154693370,47162,47162,19336670,True,othdiscr,494,520,15.0,DRIVEALONEFREE,1933667,1
15469341,154693410,47162,47162,19336670,False,othmaint,466,494,16.0,TNC_SHARED,1933667,1
15469342,154693420,47162,47162,19336670,False,Home,520,466,16.0,DRIVEALONEFREE,1933667,2
15772145,157721450,48085,48085,19715180,True,shopping,539,546,12.0,WALK,1971518,1
15772149,157721490,48085,48085,19715180,False,Home,546,539,17.0,WALK,1971518,1
16395129,163951290,49985,49985,20493910,True,eatout,603,598,13.0,DRIVEALONEFREE,2049391,1
16395133,163951330,49985,49985,20493910,False,Home,598,603,14.0,DRIVEALONEFREE,2049391,1
16985113,169851130,51783,51783,21231390,True,social,724,721,8.0,TAXI,2123139,1
16985117,169851170,51783,51783,21231390,False,Home,721,724,11.0,DRIVEALONEFREE,2123139,1
