household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
1244122,898,53000,5,3,2,2
2200560,1230,197000,2,1,3,2
1508345,1309,87000,2,1,2,1
1892815,1359,92000,4,1,2,2
1653153,511,68910,2,3,1,1
826602,34,45000,1,4,1,1
1167050,448,43200,5,2,3,3
2028556,670,462000,1,6,0,0
1905799,1181,79000,4,1,3,2
1682385,601,93600,3,3,3,2
1361734,1402,37590,2,1,1,1
473601,1395,26000,4,1,1,1
98281,1186,0,1,6,1,1
519007,455,11300,1,6,1,0
1065226,688,59400,3,1,2,2
615441,838,20000,1,4,1,0
1618635,449,80000,2,7,2,2
1118384,1358,47800,3,1,3,2
1210628,363,44200,4,1,1,2
433481,335,10800,5,3,1,0
1312052,944,55000,1,6,2,1
1336745,1321,34400,2,1,3,0
2852920,533,0,1,0,2,0
2273847,220,330000,2,3,1,1
2396364,1163,239100,3,1,3,2
1698825,1318,92830,3,1,3,3
935211,222,41000,2,1,2,1
253889,1149,29500,2,3,2,2
1980621,1336,96600,2,1,2,1
1652158,106,97000,2,3,1,1
650170,473,24100,1,6,1,1
2750843,219,210780,6,1,3,3
2139067,500,112030,2,1,2,2
1177555,161,55100,4,1,0,1
2639023,500,132300,7,1,4,4
2742466,455,162400,4,1,3,1
2389342,915,115000,3,3,2,2
1328892,914,56700,2,1,2,0
368030,1199,22000,3,3,1,1
2065985,1213,112000,1,4,1,1
1740209,1250,71400,3,1,2,2
720899,518,22400,2,1,2,1
2279179,355,112500,2,3,2,2
395275,564,0,5,1,2,0
1821635,487,70000,4,1,2,0
454361,1270,6700,4,1,2,1
2375803,356,257300,3,1,2,2
1635160,1017,69400,2,5,1,2
2111986,192,150000,2,1,4,2
2467887,630,120000,6,1,3,3
844319,188,40000,1,4,1,1
934024,120,35000,2,1,1,1
2260607,666,354710,2,2,2,2
2390288,962,127300,3,1,2,2
1778359,773,73300,5,1,4,2
1294077,944,51400,1,6,1,0
969166,1065,36000,2,1,2,2
2867659,452,0,1,0,1,0
1632326,945,87600,2,1,2,2
175936,1096,13000,1,6,1,1
1319002,301,50700,2,1,2,0
2364247,1358,100000,3,1,2,1
1262732,684,38800,6,3,4,3
440130,1452,5600,4,3,2,0
307800,335,5000,2,3,1,1
1443477,1448,70000,1,6,1,1
1173718,1383,36700,4,3,4,0
764513,31,33200,1,4,0,0
2368682,755,104200,3,1,2,1
1238183,421,30000,5,2,3,2
2739479,450,184600,3,1,2,3
2562442,345,175000,5,1,3,2
753467,707,28600,6,1,3,2
2195158,1176,126500,2,1,2,2
987476,87,38560,2,5,1,2
1683291,817,92000,3,1,0,2
1479907,1325,72000,1,4,2,1
1486916,11,62000,2,2,1,0
125921,113,22700,1,6,1,1
2734976,376,111000,3,1,2,2
1527426,203,74900,2,3,3,2
651442,834,29900,1,6,1,1
1904039,906,82000,4,2,2,2
1767989,1256,65300,8,3,3,1
1502181,1035,66100,2,7,2,1
1476263,1069,75000,1,6,1,1
1486648,1410,85790,2,1,2,0
715038,988,14000,2,1,2,0
2830460,1047,0,1,0,0,1
1276899,1087,34700,1,6,1,0
182922,1269,12000,1,6,1,1
735558,799,28600,2,1,3,2
1116253,1242,40400,3,1,2,2
732725,1066,24800,2,5,2,1
400328,1000,12500,4,5,4,0
2871512,1243,0,1,0,0,0
1904639,991,90900,8,1,2,2
436188,722,18600,6,1,3,0
527189,705,14100,1,6,1,0
2139140,501,127300,2,7,2,2
713488,816,20000,2,1,2,0
1377274,230,55500,3,1,2,0
1894252,1380,79100,4,1,2,2
67064,1168,18300,1,6,1,0
1143819,1066,33000,4,1,1,1
2156687,719,107000,2,1,2,2
1222800,1080,47400,4,1,3,2
102333,1314,28600,1,6,1,1
2105101,1123,120000,2,1,2,1
1664423,1374,92200,3,1,3,1
411344,897,29000,4,3,4,2
2445902,134,110100,4,3,1,3
2630103,168,105200,7,1,3,4
927887,1230,55000,2,1,3,1
478634,798,29000,6,1,2,2
252476,976,16000,2,1,1,2
1097082,1270,46140,3,1,2,1
796997,915,35000,1,4,1,1
2103361,546,126800,2,1,1,1
1350672,476,39100,2,1,2,1
2316920,378,531300,3,1,3,3
2779488,543,0,1,0,0,0
1136749,592,31170,7,1,2,1
2049676,22,170000,1,6,1,1
2636064,395,139200,6,1,1,4
1517633,487,94000,2,2,2,1
2413909,844,133600,3,1,2,2
1562749,975,99850,2,7,2,2
991745,181,35100,2,1,2,2
99858,1251,29000,1,6,1,1
2577052,613,360000,4,1,2,2
2352803,872,121800,3,5,3,3
317380,974,16300,2,3,1,1
1538528,505,62000,2,5,2,2
734905,221,16900,2,2,2,2
168818,991,23500,1,6,0,1
1934057,392,93000,7,1,3,4
2479418,740,160500,5,2,2,3
2495846,1152,432000,4,7,2,4
2461197,522,119000,4,3,2,4
93360,1047,1800,1,6,0,1
2253051,413,140000,2,1,2,2
934309,174,45000,2,5,2,1
1477959,1149,60000,1,4,1,1
763840,1450,50000,1,4,1,0
945524,1068,55700,2,1,0,1
2583535,738,113000,4,1,2,2
2091635,1170,141740,2,1,2,1
2562564,347,232000,4,1,2,2
2858406,967,0,1,0,1,0
1385504,437,34000,3,1,2,1
1425264,721,85000,1,4,1,1
1896251,1423,94000,4,1,2,2
1160580,643,57800,5,3,2,4
176866,1114,24000,1,4,2,1
819641,1402,52000,1,4,1,1
434571,546,25900,4,2,1,0
2698126,357,137000,2,1,2,0
536930,948,19900,1,6,1,0
758529,719,46200,1,6,1,0
921358,860,42330,2,1,2,1
2357996,444,241000,3,1,2,1
1319830,347,53800,2,1,2,0
472190,1289,20400,5,1,3,1
638973,1319,8800,1,6,1,0
1310875,449,34800,1,6,1,1
2670336,1313,300900,4,1,4,3
198789,1143,22300,2,3,1,0
453259,1202,17000,7,1,3,1
2098000,1441,110000,2,1,3,1
1340110,1431,35500,2,1,3,0
725476,1147,28580,2,2,3,1
2342044,1335,150800,3,1,3,3
2667877,1270,133500,7,1,4,5
35858,122,3200,1,4,0,0
2005262,846,88800,3,3,3,2
1384536,1380,43700,3,1,4,1
2248736,338,111000,2,1,2,2
737457,521,21700,3,1,2,0
1422909,653,68720,1,6,1,1
1962450,1119,86050,2,2,3,0
1893608,1374,95200,4,1,3,2
234532,475,12200,2,5,1,1
871096,840,43800,1,6,2,1
1779871,867,90000,4,1,4,2
1527854,212,70000,2,1,1,2
2295698,661,102000,3,2,2,2
1494021,481,64000,2,5,1,1
1366657,941,46900,2,5,2,1
277922,1007,28000,2,1,1,2
111422,16,14000,1,4,1,1
2315504,312,115000,3,1,3,3
721177,534,11000,2,3,2,1
2037939,683,147100,1,6,1,1
965593,904,58900,2,7,1,2
1626907,759,90930,2,1,2,2
1083459,472,33500,3,5,2,3
1724550,281,62840,3,3,2,2
1330330,1079,45100,2,1,2,0
2785094,563,0,1,0,1,0
101516,1292,22000,1,6,1,1
101923,1304,18700,1,6,1,1
1905512,1115,85400,4,1,4,2
93769,1056,8000,1,6,1,1
621991,955,7800,1,6,1,0
666220,435,26000,1,6,1,1
707804,323,12000,2,1,1,0
1533414,322,97500,2,5,2,2
424122,964,13500,5,5,3,4
834107,77,51000,1,6,0,1
416390,777,2780,4,1,4,2
98649,1197,22100,1,6,1,1
2008866,1152,90600,3,1,3,3
2615843,1369,128250,4,1,2,2
992133,192,39440,2,1,2,2
690812,856,10800,2,1,2,0
2385354,724,120050,3,1,2,2
1056552,1177,37200,3,1,2,1
2585567,768,104200,5,1,4,2
76016,234,22000,1,6,1,1
939288,544,37300,2,1,2,1
1399067,806,44850,4,3,2,2
854763,378,50000,1,4,1,1
1457478,246,90000,1,4,1,1
2061227,465,110000,1,4,2,1
1069508,1258,49000,3,1,2,2
2285695,456,130040,3,5,1,1
1991003,1165,61200,2,1,2,2
2110268,168,100000,2,2,2,2
1803207,951,63600,4,1,4,3
1673539,767,98000,3,1,3,2
1216227,755,49200,4,1,2,2
512366,264,28500,1,6,1,0
261337,149,4500,2,7,2,2
1086790,1221,31500,3,1,2,0
2628901,127,190000,4,1,4,3
2380603,496,144000,3,1,2,2
2295654,661,135800,3,1,1,2
809856,1222,30700,1,4,1,1
2041558,1105,110000,1,6,1,1
1769595,134,97800,5,1,2,2
2870016,1064,0,1,0,1,0
775877,218,30000,1,4,1,1
189021,1444,25100,1,4,1,1
1841590,1408,78200,5,1,2,1
382323,1402,29000,3,3,3,1
451581,1096,18600,4,1,2,1
1922652,1176,70090,4,1,3,3
2330734,943,162000,3,5,2,3
1162927,916,54770,6,5,1,4
1721971,91,78170,3,1,1,2
1476959,1121,80000,1,4,1,1
873646,930,57000,1,4,2,1
218243,698,28300,2,5,2,1
308522,412,5000,2,3,1,1
2273048,1448,130000,2,5,3,2
504454,79,23400,1,6,0,0
1493029,376,85370,2,2,2,1
1417385,394,93000,1,4,1,1
1317453,224,59300,2,1,2,0
1356363,1065,43000,2,1,2,1
1700414,59,82150,3,5,2,3
1311432,820,36040,1,6,1,1
1653742,944,61000,2,3,1,1
354880,877,21000,3,1,0,0
1954269,355,89000,1,4,2,1
2271393,1361,391000,2,1,3,2
2153584,694,177200,2,1,2,2
1285638,1450,34500,1,4,1,0
725038,1105,18560,2,3,2,1
2478049,721,207000,5,5,2,3
2229074,44,155000,2,7,2,2
2278389,974,105000,2,2,1,1
1759268,1390,87760,3,3,4,3
2134513,452,185000,2,1,3,2
2333387,1110,117100,3,1,3,3
916150,594,38000,2,1,2,1
2764621,79,0,1,0,1,0
899341,214,48300,2,1,2,0
2173679,923,107000,2,1,2,2
1161187,706,50000,4,3,4,3
2021043,226,69300,4,1,2,3
1212052,512,36000,4,1,2,2
2481253,760,119020,4,2,4,3
2597286,1133,118000,4,1,3,2
1297812,1337,40100,1,6,1,0
1616335,410,83500,2,1,2,2
967744,1002,45000,2,2,4,2
479298,880,21540,8,1,3,2
2676791,1444,821600,4,1,2,4
1539220,519,72400,2,1,2,2
1110521,592,52800,3,1,2,2
1870252,869,61000,4,1,2,2
560858,1388,23800,1,6,1,0
1049349,992,46100,2,2,1,2
2868704,681,0,1,0,1,0
1891485,1334,74100,4,1,2,2
2816240,1366,0,1,0,0,0
51783,721,0,1,6,1,0
1089964,320,54000,3,1,4,1
1739885,1242,63700,3,1,3,2
1615429,382,90000,2,1,3,2
1417560,420,70500,1,6,1,1
1851652,230,98000,4,1,2,2
739750,551,8400,3,3,1,0
1643999,1447,99000,2,1,2,2
956815,591,38500,2,1,2,2
482368,1221,18500,4,1,2,2
590112,177,8300,1,6,1,0
1414766,297,61000,1,6,2,1
2780421,543,0,1,0,1,0
1467961,529,80000,1,4,1,1
2301329,953,107500,3,3,2,2
2156769,719,135030,2,1,2,2
2468746,639,195500,6,1,4,5
680888,309,26300,2,1,2,0
43571,393,24000,1,4,1,0
1009328,942,45500,2,1,1,2
1341594,65,35400,2,3,0,0
2404733,1381,160000,3,1,2,2
1835188,1163,77800,4,1,2,1
944808,1012,30500,2,7,2,1
2442776,1333,133100,4,1,2,2
1277943,1137,44000,1,6,1,0
1985248,935,86000,2,1,2,1
1828155,541,86000,4,2,2,1
1234051,10,53800,7,1,1,2
1575327,1182,70100,2,1,2,2
1406984,8,60000,1,4,0,0
1582735,1281,80000,2,1,3,2
688419,759,26400,2,1,2,0
2821763,8,0,1,0,0,1
2319788,554,621000,3,1,3,3
2706458,131,195400,2,1,2,1
1250974,366,57340,5,1,2,4
528884,759,9400,1,6,1,0
2593002,1053,115000,4,1,2,2
1464064,416,81000,1,4,1,1
1658440,1217,77000,3,3,2,0
2582173,718,130110,4,1,2,2
1380997,476,46100,3,1,3,1
965657,906,43300,2,3,3,2
2220550,1440,192150,2,1,2,2
12127,725,11600,1,4,1,0
136811,372,0,1,4,1,1
1665975,91,90100,3,1,2,2
1615904,394,68420,2,1,1,2
1564408,1025,86000,2,1,2,2
1790220,332,62860,9,3,1,3
1258968,1394,50000,5,1,3,3
1048545,971,52720,2,3,1,2
714269,934,4310,2,1,2,0
1583677,1291,82700,2,1,3,2
2255812,456,115000,2,1,1,2
1979604,1280,61600,2,1,2,1
432948,274,0,4,3,1,0
1520212,777,77000,2,1,2,1
1477445,1136,81000,1,4,1,1
272843,837,27000,2,2,1,2
2513380,726,133000,5,1,2,4
1451867,81,80000,1,6,1,1
1876395,1090,72600,4,1,2,2
1187881,1060,51500,4,1,2,1
189841,140,0,2,1,1,0
1224352,1138,45600,4,1,2,2
1447421,39,83000,1,4,1,1
140296,422,21270,1,4,1,1
1687302,302,92200,3,1,2,3
373466,435,21000,3,1,2,1
1406606,1366,62000,1,6,2,0
2590109,918,415000,4,1,2,2
443879,501,10500,5,1,2,1
856232,400,36000,1,6,1,1
1462463,379,63000,1,6,3,1
84825,715,15000,1,6,2,1
1936493,742,98000,5,1,2,3
2029456,93,105050,1,4,1,1
2776475,355,0,1,0,1,0
2556693,246,116800,4,1,2,2
2599951,1160,143630,4,1,2,2
2342695,1350,122000,3,5,3,3
2857913,924,0,1,0,1,0
89079,861,23400,1,6,0,1
1837176,1185,79130,6,1,2,1
2528022,493,389500,4,1,2,1
409148,568,29700,5,3,2,2
1491696,306,70000,2,5,2,1
2425059,700,102600,4,1,2,1
2665600,1233,100000,4,1,4,3
1818851,1409,93400,4,5,3,3
831705,61,38200,1,6,2,1
2791106,837,0,1,0,2,0
2777785,378,0,1,0,0,0
2423221,454,122100,4,3,2,1
212639,144,11700,2,1,1,1
2267519,1021,103000,2,1,1,2
591530,221,28600,1,4,1,0
1787431,179,79000,5,3,2,3
474581,181,26000,4,1,3,2
2376000,361,129000,3,3,2,2
1432517,1084,63000,1,4,2,1
1335236,1260,54000,2,1,2,0
165085,970,21000,1,4,0,1
366437,987,23000,3,3,1,1
1297174,1212,33000,1,6,1,0
1213283,583,54600,10,1,2,2
711039,558,4310,2,1,0,0
1713652,1166,80050,3,1,2,1
783022,506,40000,1,4,1,1
2495686,1143,172010,5,1,2,5
1451078,73,70000,1,6,1,1
202403,189,0,2,2,0,0
2760918,9,0,1,0,0,0
2739588,523,250900,3,2,3,3
2594784,1094,100000,5,1,2,2
802096,1087,36800,1,4,1,1
1777395,708,91500,5,1,4,2
2332178,1079,108860,3,2,3,3
593112,265,25500,1,6,1,0
1135236,1377,54490,4,2,3,0
942549,842,38400,2,5,2,1
29879,17,9000,1,4,1,0
537883,993,19700,1,6,1,0
1058984,563,54100,3,1,3,1
453516,1218,16200,4,1,2,1
754690,950,8620,4,3,2,3
2705764,1348,169000,2,1,1,0
1698158,1280,79200,3,1,4,3
1644782,744,72000,2,3,2,0
1448211,44,73000,1,4,0,1
2734250,177,122550,3,3,2,2
1509231,1355,99500,2,3,2,1
216803,575,17700,2,3,1,1
538692,1012,18000,1,6,1,0
105963,1394,14300,1,6,2,1
1251605,550,40000,9,1,3,3
1251380,500,42300,4,1,4,3
1994947,605,95200,2,3,1,2
1481926,1448,85000,1,6,2,1
2647252,771,181300,6,2,4,3
94518,1081,16500,1,6,0,1
1858712,525,65000,4,2,2,2
2811579,1313,0,1,0,1,0
2135635,462,107000,2,1,1,2
2065461,1121,100000,1,4,1,1
957163,613,42900,2,1,2,2
1033238,1344,50000,2,2,3,1
1317149,209,43400,2,1,2,0
275049,946,28000,2,1,1,2
2716285,1422,101200,2,1,2,1
1099173,1418,58830,3,3,1,1
2674539,1397,150140,5,3,3,3
2150053,661,151000,2,5,2,2
1215293,701,35400,4,1,2,2
1011923,1000,47000,2,5,1,2
82997,652,12000,1,4,1,1
2319928,566,159100,3,5,4,3
2670724,1318,132100,5,1,4,4
847846,255,45000,1,6,1,1
1711126,653,65000,3,1,2,1
953706,347,30400,2,3,4,2
2144951,563,190000,2,1,2,2
1616712,413,65500,2,1,2,2
833783,75,42000,1,6,0,1
416294,774,1200,8,2,2,2
2439033,832,123600,4,5,2,2
1927666,1295,66000,5,1,4,3
428067,713,20500,4,1,1,0
1331984,1134,35800,2,1,1,0
159907,921,17400,1,6,1,1
