household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
841891,126,48000,1,4,1,1,0_tours
990869,134,48000,2,1,2,2,0_tours
125886,113,25900,1,4,1,1,0_tours
727893,8,26100,2,1,0,1,0_tours
2741769,150,121600,4,1,2,1,0_tours
1061466,167,54430,3,1,2,2,0_tours
1757084,70,63600,3,1,1,3,0_tours
2763396,44,0,1,0,1,0,0_tours
1448863,46,79400,1,6,1,1,0_tours
1450206,62,60500,1,4,1,1,0_tours
1821179,37,80000,4,1,1,0,0_tours
2025282,17,61740,5,1,1,4,0_tours
774737,181,51000,1,6,1,1,0_tours
2508315,101,159800,4,5,1,4,0_tours
826226,32,37500,1,6,1,1,0_tours
1451940,81,86050,1,4,1,1,0_tours
110274,13,21000,1,4,0,1,0_tours
2835246,91,0,1,0,0,0,0_tours
1082417,128,30000,3,7,0,3,0_tours
1645765,102,89000,2,3,0,1,0_tours
31153,46,800,1,4,0,0,0_tours
2241458,114,112000,2,1,1,2,0_tours
1307774,32,39600,1,6,1,1,0_tours
824764,28,40010,1,6,1,1,0_tours
1451714,79,63500,1,4,1,1,0_tours
2370945,170,185290,3,1,2,2,0_tours
590020,176,8000,1,6,1,0,0_tours
258654,64,27650,2,3,2,2,0_tours
431928,8,14400,4,3,1,0,0_tours
115213,40,10000,1,4,1,1,0_tours
567570,10,14000,1,4,0,0,0_tours
230049,177,14000,2,1,1,1,0_tours
2223402,11,158000,2,1,0,2,0_tours
1602899,89,76500,2,7,1,2,0_tours
1606646,122,82200,2,1,2,2,1_Disc
1061588,179,58000,3,2,1,2,0_tours
1908579,165,89012,5,1,1,3,0_tours
2628704,121,686000,5,1,2,3,1_Shop
658792,17,8100,1,6,0,1,0_tours
458278,149,3200,4,3,1,1,0_tours
418532,149,27500,4,1,4,3,0_tours
2428592,172,118000,5,3,2,2,0_tours
28547,11,0,1,4,1,0,0_tours
1994016,68,99800,2,1,0,2,0_tours
950601,184,48800,2,2,2,2,0_tours
1605304,105,85200,2,5,0,2,0_tours
833670,73,43000,1,6,1,1,0_tours
580091,69,6400,1,6,0,0,0_tours
2237625,93,107500,2,7,1,2,0_tours
574691,38,19000,1,6,1,0,0_tours
578088,51,10800,1,6,1,0,0_tours
834665,80,33000,1,6,0,1,0_tours
2765740,92,0,1,0,1,0,0_tours
508010,173,16500,1,6,0,0,0_tours
2285349,105,447500,3,3,2,1,0_tours
1721920,80,71500,3,1,2,2,0_tours
1700340,54,63400,3,3,0,3,0_tours
985374,62,58000,2,5,0,2,0_tours
2349142,174,155700,3,5,2,3,0_tours
1748480,68,99500,3,1,2,2,0_tours
584757,89,10800,1,6,1,0,0_tours
1600741,73,83020,2,1,1,2,0_tours
2235881,85,328410,2,1,2,2,0_tours
1173905,8,45000,4,1,1,0,1_Shop
2766406,102,0,1,0,0,0,0_tours
2836503,188,0,1,0,0,0,0_tours
32332,79,7300,1,6,0,0,0_tours
457267,89,21000,8,3,1,1,0_tours
32052,78,8100,1,6,1,0,0_tours
504112,61,27700,1,6,1,0,0_tours
1266295,63,36100,1,6,1,0,0_tours
2832537,21,0,1,0,1,0,0_tours
2345549,39,203420,3,1,1,3,1_Main
2228827,44,227000,2,5,1,2,0_tours
1308940,51,56600,1,6,0,1,0_tours
948762,60,42000,2,1,0,2,0_tours
2224345,17,242500,2,5,0,2,0_tours
1099937,58,36300,3,3,1,1,0_tours
1070526,84,30300,3,3,0,2,0_tours
112798,19,20000,1,4,1,1,0_tours
572403,30,22000,1,6,0,0,0_tours
2053483,71,325000,1,4,1,1,0_tours
2029315,71,114800,1,6,1,1,0_tours
2369665,71,170200,3,1,2,2,0_tours
829582,46,54200,1,6,1,1,0_tours
986958,83,47000,2,7,0,2,0_tours
362212,133,7600,3,3,0,1,0_tours
1686070,185,80200,3,2,1,3,0_tours
2427358,178,241320,5,1,1,1,0_tours
2447200,161,138600,4,1,2,4,0_tours
1511694,46,88500,2,1,1,1,0_tours
121226,88,18100,1,4,0,1,0_tours
988326,96,51690,2,7,2,2,0_tours
258228,42,15600,2,7,2,2,0_tours
305047,58,23700,2,3,0,1,0_tours
704805,61,6600,2,1,1,0,0_tours
2369346,49,155100,3,1,1,2,0_tours
1722006,95,92000,3,1,2,2,0_tours
350837,110,29000,3,5,0,3,0_tours
2769303,188,0,1,0,0,0,0_tours
2349181,176,108000,3,7,0,3,0_tours
772328,97,52000,1,4,0,1,0_tours
1061100,127,30000,3,3,1,2,0_tours
27307,9,0,1,4,0,0,0_tours
2240545,109,157000,2,1,2,2,0_tours
1645698,70,61200,2,2,1,1,0_tours
2410066,64,162900,3,1,2,2,0_tours
474349,155,15000,5,1,3,2,0_tours
1407562,96,90100,1,4,1,0,0_tours
837307,89,35000,1,6,1,1,0_tours
2507325,66,143850,4,1,2,4,0_tours
126446,123,23560,1,4,1,1,0_tours
2516257,71,164000,4,1,2,0,0_tours
843603,177,50000,1,4,1,1,0_tours
33213,88,14000,1,6,1,0,0_tours
1061323,157,50000,3,1,2,2,0_tours
116047,45,25000,1,4,1,1,0_tours
111289,16,21000,1,4,1,1,0_tours
2027861,71,150400,1,6,0,0,0_tours
124703,109,2800,1,4,1,1,0_tours
1300030,89,58000,1,4,1,1,0_tours
2110775,173,317000,2,1,2,2,0_tours
2820489,8,0,1,0,0,1,0_tours
1605433,105,90200,2,5,1,2,0_tours
32204,79,26000,1,6,1,0,0_tours
989716,109,40000,2,5,1,2,0_tours
565921,7,2400,1,4,0,0,0_tours
74642,181,20000,1,4,1,1,0_tours
933318,81,51010,2,5,0,1,0_tours
32947,85,8400,1,6,0,0,0_tours
228446,80,7110,2,3,0,1,0_tours
268,91,1200,1,4,1,0,0_tours
