tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
25820,258200,629,629,school,mandatory,12.0,131.0,12.0,21.0,WALK_HVY,,,,121,,1out_0in
52265,522650,1274,1274,school,mandatory,10.0,166.0,10.0,11.0,WALK_LRF,,,,86,,0out_0in
1117937,11179370,27266,27266,school,mandatory,12.0,9.0,17.0,18.0,WALK_LRF,,,,163,,0out_0in
1148523,11485230,28012,28012,school,mandatory,5.0,10.0,8.0,10.0,WALK_LRF,,,,56,,1out_0in
1208547,12085470,29476,29476,school,mandatory,13.0,16.0,8.0,15.0,WALK_LOC,,,,61,,1out_0in
1225849,12258490,29898,29898,school,mandatory,5.0,17.0,19.0,22.0,WALK_LRF,,,,178,,0out_1in
1277304,12773040,31153,31153,school,mandatory,108.0,46.0,17.0,19.0,WALK_LOC,,,,164,,0out_0in
1356229,13562290,33078,33078,school,mandatory,133.0,86.0,8.0,10.0,DRIVEALONEFREE,,,,56,,0out_1in
1467421,14674210,35790,35790,school,mandatory,5.0,119.0,17.0,17.0,WALK_HVY,,,,162,,0out_1in
2961920,29619200,72241,72241,work,mandatory,9.0,17.0,6.0,22.0,WALK_LRF,,,,35,no_subtours,0out_0in
2970120,29701200,72441,72441,work,mandatory,100.0,60.0,7.0,21.0,DRIVEALONEFREE,,,,51,no_subtours,2out_1in
2998943,29989430,73144,73144,work,mandatory,77.0,125.0,6.0,15.0,WALK_LOC,,,,28,maint,0out_0in
3013252,30132520,73493,73493,work,mandatory,117.0,133.0,7.0,17.0,WALK_HVY,,,,47,no_subtours,0out_0in
3015794,30157940,73555,73555,work,mandatory,167.0,136.0,8.0,13.0,WALK_LRF,,,,59,no_subtours,0out_0in
3021985,30219850,73706,73706,work,mandatory,168.0,144.0,9.0,18.0,DRIVEALONEFREE,,,,79,no_subtours,0out_0in
3022354,30223540,73715,73715,work,mandatory,86.0,146.0,9.0,18.0,WALK_LOC,,,,79,no_subtours,0out_0in
3025019,30250190,73780,73780,work,mandatory,173.0,152.0,5.0,20.0,DRIVEALONEFREE,,,,15,no_subtours,1out_0in
3055523,30555230,74524,74524,work,mandatory,72.0,177.0,14.0,18.0,DRIVEALONEFREE,,,,139,no_subtours,0out_0in
3060361,30603610,74642,74642,work,mandatory,165.0,181.0,6.0,17.0,DRIVEALONEFREE,,,,30,eat,0out_0in
3065773,30657730,74774,74774,work,mandatory,26.0,183.0,5.0,6.0,WALK_LRF,,,,1,no_subtours,0out_0in
3065774,30657740,74774,74774,work,mandatory,26.0,183.0,8.0,22.0,WALK_LRF,,,,68,no_subtours,1out_0in
4416272,44162720,107713,107713,work,mandatory,190.0,6.0,7.0,17.0,WALK_LRF,,,,47,no_subtours,0out_0in
4418937,44189370,107778,107778,work,mandatory,21.0,7.0,17.0,22.0,WALK,,,,167,no_subtours,0out_0in
4422914,44229140,107875,107875,work,mandatory,161.0,7.0,13.0,22.0,WALK_LOC,,,,133,eat,0out_0in
4440298,44402980,108299,108299,work,mandatory,112.0,9.0,9.0,18.0,BIKE,,,,79,maint,0out_0in
4461249,44612490,108810,108810,work,mandatory,63.0,10.0,9.0,18.0,WALK_LOC,,,,79,no_subtours,1out_0in
4468547,44685470,108988,108988,work,mandatory,171.0,10.0,5.0,20.0,WALK_LRF,,,,15,no_subtours,1out_0in
4471581,44715810,109062,109062,work,mandatory,58.0,10.0,8.0,18.0,TNC_SINGLE,,,,64,no_subtours,0out_0in
4480109,44801090,109270,109270,work,mandatory,116.0,10.0,7.0,18.0,DRIVEALONEFREE,,,,48,no_subtours,0out_0in
4487284,44872840,109445,109445,work,mandatory,87.0,10.0,6.0,17.0,TNC_SINGLE,,,,30,no_subtours,0out_0in
4496796,44967960,109677,109677,work,mandatory,181.0,10.0,8.0,18.0,WALK_LRF,,,,64,maint,2out_1in
4497739,44977390,109700,109700,work,mandatory,84.0,10.0,20.0,23.0,WALK,,,,183,no_subtours,0out_0in
4501757,45017570,109798,109798,work,mandatory,181.0,10.0,7.0,18.0,WALK_LRF,,,,48,no_subtours,0out_0in
4507538,45075380,109939,109939,work,mandatory,112.0,11.0,13.0,20.0,WALK_HVY,,,,131,no_subtours,1out_0in
4521273,45212730,110274,110274,work,mandatory,164.0,13.0,5.0,21.0,WALK_HVY,,,,16,maint,1out_0in
4562888,45628880,111289,111289,work,mandatory,147.0,16.0,7.0,13.0,DRIVEALONEFREE,,,,43,no_subtours,0out_0in
4587775,45877750,111896,111896,work,mandatory,188.0,16.0,7.0,10.0,WALK_LRF,,,,40,no_subtours,0out_0in
4601059,46010590,112220,112220,work,mandatory,119.0,16.0,8.0,17.0,DRIVEALONEFREE,,,,63,no_subtours,0out_0in
4602699,46026990,112260,112260,work,mandatory,78.0,16.0,9.0,20.0,WALK_LOC,,,,81,no_subtours,0out_0in
4612088,46120880,112489,112489,work,mandatory,175.0,17.0,6.0,16.0,DRIVEALONEFREE,,,,29,no_subtours,0out_0in
4624306,46243060,112787,112787,work,mandatory,5.0,19.0,9.0,21.0,WALK_LOC,,,,82,no_subtours,1out_1in
