trip_id,survey_trip_id,person_id,household_id,survey_tour_id,outbound,purpose,destination,origin,depart,trip_mode,tour_id,trip_num
54497,544970,166,166,68120,True,eatout,72,71,12.0,WALK,6812,1
54501,545010,166,166,68120,False,Home,71,72,18.0,WALK,6812,1
64881,648810,197,197,81100,True,shopping,47,80,12.0,WALK,8110,1
64885,648850,197,197,81100,False,Home,80,47,12.0,WALK,8110,1
88105,881050,268,268,110130,True,othdiscr,32,91,18.0,DRIVEALONEFREE,11013,1
88109,881090,268,268,110130,False,Home,91,32,18.0,DRIVEALONEFREE,11013,1
88129,881290,268,268,110160,True,othmaint,71,91,12.0,DRIVEALONEFREE,11016,1
88133,881330,268,268,110160,False,Home,91,71,15.0,DRIVEALONEFREE,11016,1
123225,1232250,375,375,154030,True,othmaint,67,105,11.0,DRIVEALONEFREE,15403,1
123229,1232290,375,375,154030,False,shopping,69,67,11.0,DRIVEALONEFREE,15403,1
123230,1232300,375,375,154030,False,eatout,106,69,11.0,TNC_SHARED,15403,2
123231,1232310,375,375,154030,False,Home,105,106,11.0,DRIVEALONEFREE,15403,3
127009,1270090,387,387,158760,True,escort,122,112,7.0,DRIVEALONEFREE,15876,1
127013,1270130,387,387,158760,False,Home,112,122,8.0,DRIVEALONEFREE,15876,1
127137,1271370,387,387,158920,True,othdiscr,86,112,15.0,SHARED3FREE,15892,1
127141,1271410,387,387,158920,False,Home,112,86,16.0,DRIVEALONEFREE,15892,1
206561,2065610,629,629,258200,True,escort,9,131,12.0,WALK_HVY,25820,1
206562,2065620,629,629,258200,True,univ,12,9,17.0,WALK_LRF,25820,2
206565,2065650,629,629,258200,False,Home,131,12,21.0,WALK_LRF,25820,1
230129,2301290,701,701,287660,True,othdiscr,4,134,12.0,WALK_HVY,28766,1
230133,2301330,701,701,287660,False,Home,134,4,14.0,WALK_LRF,28766,1
230153,2301530,701,701,287690,True,othmaint,108,134,15.0,DRIVEALONEFREE,28769,1
230157,2301570,701,701,287690,False,Home,134,108,16.0,DRIVEALONEFREE,28769,1
265401,2654010,809,809,331750,True,eatout,173,138,15.0,DRIVEALONEFREE,33175,1
265405,2654050,809,809,331750,False,Home,138,173,16.0,DRIVEALONEFREE,33175,1
265617,2656170,809,809,332020,True,shopping,141,138,11.0,DRIVEALONEFREE,33202,1
265618,2656180,809,809,332020,True,shopping,117,141,12.0,TNC_SINGLE,33202,2
265621,2656210,809,809,332020,False,othmaint,127,117,12.0,TNC_SINGLE,33202,1
265622,2656220,809,809,332020,False,Home,138,127,12.0,TNC_SHARED,33202,2
270497,2704970,824,824,338120,True,othmaint,137,139,13.0,TNC_SHARED,33812,1
270501,2705010,824,824,338120,False,Home,139,137,14.0,DRIVEALONEFREE,33812,1
270561,2705610,824,824,338200,True,social,96,139,14.0,DRIVEALONEFREE,33820,1
270565,2705650,824,824,338200,False,Home,139,96,18.0,DRIVEALONEFREE,33820,1
410201,4102010,1250,1250,512750,True,othdiscr,163,165,10.0,TNC_SINGLE,51275,1
410205,4102050,1250,1250,512750,False,Home,165,163,10.0,DRIVEALONEFREE,51275,1
418121,4181210,1274,1274,522650,True,univ,10,166,10.0,WALK_LRF,52265,1
418125,4181250,1274,1274,522650,False,Home,166,10,11.0,WALK_LRF,52265,1
525505,5255050,1602,1602,656880,True,eatout,184,177,18.0,DRIVEALONEFREE,65688,1
525509,5255090,1602,1602,656880,False,Home,177,184,23.0,DRIVEALONEFREE,65688,1
525721,5257210,1602,1602,657150,True,eatout,102,177,11.0,TNC_SINGLE,65715,1
525722,5257220,1602,1602,657150,True,shopping,18,102,12.0,TNC_SINGLE,65715,2
525725,5257250,1602,1602,657150,False,othmaint,31,18,14.0,TNC_SINGLE,65715,1
525726,5257260,1602,1602,657150,False,Home,177,31,14.0,WALK_LOC,65715,2
564361,5643610,1720,1720,705450,True,escort,7,181,8.0,SHARED2FREE,70545,1
564362,5643620,1720,1720,705450,True,escort,12,7,9.0,SHARED2FREE,70545,2
564363,5643630,1720,1720,705450,True,othdiscr,7,12,9.0,WALK,70545,3
564365,5643650,1720,1720,705450,False,eatout,181,7,10.0,SHARED2FREE,70545,1
564366,5643660,1720,1720,705450,False,Home,181,181,10.0,WALK,70545,2
564425,5644250,1720,1720,705530,True,shopping,184,181,11.0,DRIVEALONEFREE,70553,1
564426,5644260,1720,1720,705530,True,shopping,189,184,14.0,DRIVEALONEFREE,70553,2
564429,5644290,1720,1720,705530,False,Home,181,189,14.0,DRIVEALONEFREE,70553,1
8541649,85416490,26041,26041,10677060,True,othdiscr,41,7,12.0,WALK,1067706,1
8541653,85416530,26041,26041,10677060,False,Home,7,41,14.0,WALK,1067706,1
8557065,85570650,26088,26088,10696330,True,othdiscr,125,8,11.0,SHARED2FREE,1069633,1
8557069,85570690,26088,26088,10696330,False,Home,8,125,14.0,SHARED2FREE,1069633,1
8887777,88877770,27096,27096,11109720,True,social,106,9,10.0,WALK,1110972,1
8887781,88877810,27096,27096,11109720,False,Home,9,106,21.0,WALK,1110972,1
8943497,89434970,27266,27266,11179370,True,univ,12,9,17.0,WALK_LRF,1117937,1
8943501,89435010,27266,27266,11179370,False,Home,9,12,18.0,WALK_LRF,1117937,1
8956897,89568970,27307,27307,11196120,True,othdiscr,150,9,8.0,SHARED3FREE,1119612,1
8956901,89569010,27307,27307,11196120,False,Home,9,150,10.0,SHARED3FREE,1119612,1
9188185,91881850,28012,28012,11485230,True,work,90,10,8.0,WALK_LRF,1148523,1
9188186,91881860,28012,28012,11485230,True,univ,5,90,8.0,WALK_LRF,1148523,2
9188189,91881890,28012,28012,11485230,False,Home,10,5,10.0,WALK_LRF,1148523,1
9267185,92671850,28253,28253,11583980,True,othdiscr,75,11,11.0,WALK,1158398,1
9267189,92671890,28253,28253,11583980,False,Home,11,75,14.0,WALK,1158398,1
9267249,92672490,28253,28253,11584060,True,shopping,39,11,17.0,WALK,1158406,1
9267253,92672530,28253,28253,11584060,False,Home,11,39,19.0,WALK,1158406,1
9363617,93636170,28547,28547,11704520,True,othdiscr,3,11,5.0,WALK,1170452,1
9363621,93636210,28547,28547,11704520,False,Home,11,3,18.0,WALK,1170452,1
9363705,93637050,28547,28547,11704630,True,social,89,11,21.0,WALK_LRF,1170463,1
9363709,93637090,28547,28547,11704630,False,Home,11,89,21.0,WALK_LRF,1170463,1
9513841,95138410,29005,29005,11892300,True,othdiscr,88,16,14.0,SHARED2FREE,1189230,1
9513845,95138450,29005,29005,11892300,False,Home,16,88,18.0,SHARED2FREE,1189230,1
9513905,95139050,29005,29005,11892380,True,shopping,189,16,11.0,DRIVEALONEFREE,1189238,1
9513909,95139090,29005,29005,11892380,False,Home,16,189,11.0,DRIVEALONEFREE,1189238,1
9607713,96077130,29291,29291,12009640,True,escort,27,16,11.0,WALK_LOC,1200964,1
9607714,96077140,29291,29291,12009640,True,shopping,26,27,11.0,WALK,1200964,2
9607717,96077170,29291,29291,12009640,False,Home,16,26,11.0,WALK_LOC,1200964,1
9620769,96207690,29331,29331,12025960,True,othdiscr,119,16,14.0,WALK_HVY,1202596,1
9620773,96207730,29331,29331,12025960,False,eatout,9,119,20.0,WALK_HVY,1202596,1
9620774,96207740,29331,29331,12025960,False,escort,3,9,20.0,WALK_LRF,1202596,2
9620775,96207750,29331,29331,12025960,False,Home,16,3,20.0,WALK_LOC,1202596,3
9632905,96329050,29368,29368,12041130,True,othdiscr,87,16,17.0,TNC_SINGLE,1204113,1
9632909,96329090,29368,29368,12041130,False,Home,16,87,20.0,WALK_LOC,1204113,1
9632969,96329690,29368,29368,12041210,True,shopping,30,16,11.0,WALK_LOC,1204121,1
9632973,96329730,29368,29368,12041210,False,Home,16,30,13.0,WALK_LOC,1204121,1
9632993,96329930,29368,29368,12041240,True,social,107,16,9.0,TNC_SINGLE,1204124,1
