tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
25820,629,629,school,mandatory,133.0,131.0,12.0,15.0,WALK,
52265,1274,1274,school,mandatory,188.0,166.0,9.0,15.0,WALK_LOC,
1117937,27266,27266,school,mandatory,133.0,9.0,17.0,18.0,WALK_HVY,
1148523,28012,28012,school,mandatory,12.0,10.0,17.0,22.0,WALK_LRF,
1208547,29476,29476,school,mandatory,13.0,16.0,8.0,15.0,WALK_LOC,
1225849,29898,29898,school,mandatory,9.0,17.0,19.0,23.0,WALK_LRF,
1277304,31153,31153,school,mandatory,9.0,46.0,17.0,18.0,WALK_LOC,
1356229,33078,33078,school,mandatory,12.0,86.0,8.0,14.0,WALK_LOC,
1467421,35790,35790,school,mandatory,91.0,119.0,16.0,23.0,SHARED2FREE,
2961920,72241,72241,work,mandatory,1.0,17.0,6.0,19.0,WALK_LRF,
2970120,72441,72441,work,mandatory,34.0,60.0,8.0,13.0,DRIVEALONEFREE,
2998943,73144,73144,work,mandatory,115.0,125.0,6.0,18.0,WALK_LOC,
3013252,73493,73493,work,mandatory,115.0,133.0,7.0,17.0,WALK_HVY,
3015794,73555,73555,work,mandatory,19.0,136.0,8.0,13.0,WALK_LOC,
3021985,73706,73706,work,mandatory,115.0,144.0,9.0,19.0,DRIVEALONEFREE,
3022354,73715,73715,work,mandatory,139.0,146.0,9.0,19.0,WALK_LOC,
3025019,73780,73780,work,mandatory,152.0,152.0,5.0,23.0,WALK,
3055523,74524,74524,work,mandatory,4.0,177.0,14.0,18.0,WALK_LOC,
3060361,74642,74642,work,mandatory,82.0,181.0,6.0,20.0,WALK_LRF,
3065773,74774,74774,work,mandatory,21.0,183.0,5.0,6.0,WALK_LRF,
3065774,74774,74774,work,mandatory,21.0,183.0,8.0,23.0,WALK_LRF,
4416272,107713,107713,work,mandatory,14.0,6.0,6.0,21.0,WALK_HVY,
4418937,107778,107778,work,mandatory,1.0,7.0,17.0,21.0,WALK,
4422914,107875,107875,work,mandatory,13.0,7.0,14.0,18.0,WALK,
4440298,108299,108299,work,mandatory,21.0,9.0,9.0,18.0,WALK_LOC,
4461249,108810,108810,work,mandatory,47.0,10.0,9.0,22.0,BIKE,
4468547,108988,108988,work,mandatory,13.0,10.0,6.0,15.0,WALK_LRF,
4471581,109062,109062,work,mandatory,16.0,10.0,8.0,19.0,TNC_SINGLE,
4480109,109270,109270,work,mandatory,2.0,10.0,7.0,18.0,BIKE,
4487284,109445,109445,work,mandatory,13.0,10.0,6.0,20.0,WALK_LRF,
4496796,109677,109677,work,mandatory,2.0,10.0,8.0,18.0,WALK_LRF,
4497739,109700,109700,work,mandatory,30.0,10.0,20.0,23.0,WALK,
4501757,109798,109798,work,mandatory,106.0,10.0,7.0,17.0,WALK_LOC,
4507538,109939,109939,work,mandatory,13.0,11.0,13.0,21.0,WALK,
4521273,110274,110274,work,mandatory,6.0,13.0,5.0,20.0,WALK_LRF,
4562888,111289,111289,work,mandatory,4.0,16.0,7.0,16.0,WALK,
4587775,111896,111896,work,mandatory,23.0,16.0,6.0,20.0,WALK,
4601059,112220,112220,work,mandatory,2.0,16.0,8.0,19.0,WALK,
4602699,112260,112260,work,mandatory,91.0,16.0,9.0,19.0,WALK_LRF,
4612088,112489,112489,work,mandatory,50.0,17.0,6.0,16.0,DRIVEALONEFREE,
