TAZ,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index
1,1,1,1,46,82,20.3,1.0,15.0,27318,7,224,21927,2137,2254,18,758,284.01965,932.83514,0,0.0,0.0,0.0,3,5.89564,2.875,1707.375,2.8701670077474053
2,1,1,1,134,240,31.1,1.0,24.79297,42078,19,453,33422,4399,2948,56,800,269.6431,885.61682,0,0.0,0.0,0.0,1,5.84871,5.195214044757156,1631.3747505618778,5.178722083182309
3,1,1,1,267,476,14.7,1.0,2.31799,2445,38,93,1159,950,211,0,32,218.08298,716.27252,0,0.0,0.0,0.0,1,5.53231,80.47040527548305,736.8919134777381,72.5479870569897
4,1,1,1,151,253,19.3,1.0,18.0,22434,20,403,15430,3200,1907,116,1378,191.0,314.0,0,0.0,0.0,0.0,2,5.6433,7.947368421052632,1180.7368421052631,7.894233480535521
5,1,1,1,611,1069,52.7,1.0,15.0,15662,86,2175,6356,5443,1292,5,391,191.0087,314.01431,0,0.0,72.14684,0.0,1,5.52555,38.1875,978.875,36.75367940760769
6,1,1,1,2240,3963,29.0,7.0,8.0,3789,226,151,924,1997,672,1,44,150.0,546.0,0,0.0,0.0,0.0,1,5.00004,149.33333333333334,252.6,93.85038978271686
7,1,1,1,3762,6032,45.0,13.0,14.0,11300,425,252,5535,4593,799,1,120,318.85754,933.24158,0,0.0,0.0,0.0,1,5.35435,139.33333333333334,418.51851851851853,104.5323772849998
8,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022
9,1,1,1,5545,10171,112.0,9.79332,47.0,31248,1034,123,8750,9500,12434,4,437,181.05391,299.21539,0,26.92893,2035.58118,20.60887,2,5.22542,97.63472182996169,550.2055523431277,82.92038669699788
10,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872
11,1,1,1,2902,5163,81.0,12.58862,38.0,10581,456,2267,2971,2736,2351,2,254,116.0,259.0,0,0.0,0.0,0.0,3,4.6473900000000015,57.364680040688995,209.1577117541455,45.017850590412394
12,1,1,1,793,1207,53.3,1.0,16.0,15184,15,537,5932,4702,3699,13,301,203.38792,893.98761,0,0.0,3434.2146,2376.73853,3,5.46202,46.64705882352941,893.1764705882352,44.33178576556742
13,1,1,1,102,166,26.5,1.0,19.79609,20289,2,792,15418,2402,1485,5,187,202.04991,888.1063800000003,0,348.71741000000014,1719.16077,3824.83545,3,5.51319,4.904768155937005,975.6160893706461,4.880233491040455
14,1,1,1,476,728,30.6,1.0,27.39873,28433,8,216,19167,2702,4286,14,2048,237.35252000000003,981.77643,0,0.0,851.33472,251.48717,3,5.52147,16.761312917866398,1001.2067441044019,16.485330180694433
15,1,1,1,279,470,28.5,3.0,14.0,16111,6,151,11256,2005,2175,9,515,262.41342000000003,1085.43726,0,0.0,0.0,0.0,3,5.5902400000000005,16.41176470588235,947.7058823529412,16.13239421454976
16,1,1,1,6164,10272,123.4,13.73247,72.0,23407,279,2791,11982,4588,3569,65,412,164.00706,532.0228900000002,0,0.0,0.0,0.0,2,4.75017,71.8980801556283,273.02374467923295,56.91110757846511
17,1,1,1,4075,7119,152.3,23.84518,36.0,9077,193,287,3374,1494,3691,5,226,109.0,477.0,1,0.0,0.0,0.0,1,4.58156,68.09236767271817,151.67470462951235,46.99470965368482
18,1,1,1,1034,2069,107.3,2.09941,50.0,6772,137,326,2273,1250,2431,25,467,95.0,273.0,1,0.0,0.0,0.0,3,4.1701,19.846673887477806,129.98227811025114,17.217739631821637
19,1,1,1,843,1608,125.4,14.19946,74.0,10248,106,929,2892,1130,4388,0,909,82.00709,225.01944,1,0.0,0.0,0.0,3,4.1848,9.557881646894437,116.19118756509393,8.831410253121827
20,1,1,1,2006,3691,98.3,15.35359,35.0,3610,210,274,995,1046,903,0,392,82.0,225.0,1,0.0,0.0,0.0,3,3.99027,39.838271710120374,71.69300143246987,25.608290753834503
21,1,1,1,3472,6203,78.9,15.189429999999998,44.0,7211,352,381,2802,1840,1975,0,213,123.0,355.0,1,0.0,0.0,0.0,3,4.29617,58.659122076357214,121.82918470409328,39.59477012942168
22,1,1,1,1195,1925,87.7,9.0,46.0,19848,40,310,13956,3965,1218,10,389,191.0,525.0,0,0.0,0.0,0.0,3,4.93813,21.727272727272727,360.8727272727273,20.493413918685977
23,1,1,1,565,906,90.8,4.413,20.0,11296,19,230,5968,1799,1870,2,1427,164.0,409.0,1,0.0,0.0,0.0,1,5.11702,23.14340720108139,462.7042968910007,22.040968530765987
24,1,1,1,604,979,39.0,2.0,20.40358,16572,47,202,10872,2074,2825,13,586,242.73199,784.69391,0,0.0,0.0,0.0,1,5.35851,26.959976932258147,739.7032081479834,26.011919988436304
25,1,1,1,1551,3416,21.0,4.0,4.0,1608,435,302,369,630,220,0,87,232.0,341.0,0,0.0,0.0,0.0,1,4.89113,193.875,201.0,98.68660968660969
26,1,1,1,738,1606,13.0,2.0,5.0,3812,180,143,2577,732,269,2,89,232.0,341.0,0,0.0,0.0,0.0,1,5.31643,105.42857142857143,544.5714285714286,88.32828885400313
27,1,1,1,1522,3157,26.0,8.0,6.0,1568,357,134,315,789,298,0,32,318.82208,468.61349,0,0.0,0.0,0.0,1,4.60532,108.71428571428571,112.0,55.1663430420712
28,1,1,1,1964,3502,44.0,20.0,5.0,567,170,42,235,155,124,0,11,150.0,546.0,0,0.0,0.0,0.0,1,4.05281,78.56,22.68,17.59917819043856
29,1,1,1,3223,5258,37.0,15.0,4.0,3184,225,37,543,2393,196,2,13,256.36072,933.15295,0,0.0,0.0,0.0,1,5.34511,169.6315789473684,167.57894736842104,84.29950793950694
30,1,1,1,4160,7606,46.0,14.0,10.0,2222,694,112,428,843,780,0,59,116.23898,159.06387,1,0.0,0.0,0.0,1,4.49777,173.33333333333334,92.58333333333333,60.3488979421289
31,1,1,1,2728,4140,32.0,8.53555,9.0,2308,257,63,962,1064,175,0,44,121.60844,166.41154,1,0.0,0.0,0.0,1,4.59279,155.5696855815757,131.61834102722753,71.29762397185796
32,1,1,1,3097,5248,58.0,21.0,13.0,3094,376,204,731,1673,402,0,84,95.0,130.0,1,0.0,0.0,0.0,1,4.5433,91.08823529411765,91.0,45.522048134388626
33,1,1,1,2783,5472,59.0,24.02261,9.0,2248,437,212,434,730,745,0,127,133.8934,143.75923,1,0.0,0.0,0.0,1,4.57532,84.27559178393228,68.07457072593596,37.65683369713372
34,1,1,1,2767,4586,60.0,29.0,4.0,702,174,215,131,254,80,0,22,82.0,102.0,1,0.0,0.0,0.0,1,4.34149,83.84848484848484,21.272727272727273,16.967897481590185
35,1,1,1,2404,4746,58.0,30.0,2.0,380,439,86,129,104,33,0,28,109.0,109.0,1,0.0,0.0,0.0,1,4.39405,75.125,11.875,10.254130747126437
36,1,1,1,2833,5749,47.0,14.0,7.0,2689,543,288,507,942,856,1,95,171.0,239.0,1,0.0,0.0,0.0,1,4.86096,134.9047619047619,128.04761904761904,65.69339093841084
37,1,1,1,2131,4151,43.0,12.0,8.0,3070,404,169,1460,918,336,1,186,171.0,239.0,1,0.0,421.5498,0.0,1,4.86028,106.55,153.5,62.89338588732935
38,1,1,1,2614,4832,83.0,37.0,6.0,2425,311,303,1042,358,649,1,72,166.66141000000005,688.0517,1,0.0,0.0,0.0,1,4.8947,60.7906976744186,56.395348837209305,29.255297055063526
39,1,1,1,2152,4125,67.0,31.0,6.0,375,288,103,104,85,78,0,5,109.0,450.0,2,0.0,548.32013,94.81975,1,3.66092,58.16216216216216,10.135135135135135,8.631108354100045
40,1,1,1,2764,4538,128.0,43.0,28.0,5619,140,954,776,1928,672,3,1286,182.22881,593.4975,2,2480.03442,0.0,0.0,1,4.43027,38.929577464788736,79.14084507042253,26.093915755057605
41,1,1,1,2111,3808,183.0,20.0,90.0,13568,263,709,3975,5915,1886,8,1075,157.58542,789.3728,1,0.0,0.0,0.0,2,4.2409300000000005,19.19090909090909,123.34545454545454,16.607070256103995
42,1,1,1,3783,12685,628.0,147.44588000000005,484.0,694,1792,1,98,132,410,1,52,0.0,0.0,3,0.0,0.0,0.0,2,1.28955,5.991012246370188,1.0990648953161275,0.9286938796026156
43,2,2,1,3446,5651,199.0,57.0,5.0,2499,167,323,379,934,804,2,57,0.0,0.0,2,0.0,0.0,0.0,3,4.19276,55.58064516129032,40.306451612903224,23.36350416451884
44,2,2,1,3845,6414,136.0,56.0,14.0,1537,190,138,473,775,125,0,26,75.0,102.0,2,0.0,0.0,0.0,2,4.03144,54.92857142857143,21.957142857142856,15.686587567022348
