segment,model_selector,TOTHH,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,AGE0519,HSENROLL,COLLFTE,COLLPTE
work_low,workplace,0.0,0.129,0.193,0.38299999999999995,0.12,0.01,0.16399999999999998,0.0,0.0,0.0,0.0
work_med,workplace,0.0,0.12,0.19699999999999998,0.325,0.139,0.008,0.21,0.0,0.0,0.0,0.0
work_high,workplace,0.0,0.11,0.207,0.284,0.154,0.006,0.239,0.0,0.0,0.0,0.0
work_veryhigh,workplace,0.0,0.09300000000000001,0.27,0.24100000000000002,0.146,0.004,0.24600000000000002,0.0,0.0,0.0,0.0
university,school,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.408
gradeschool,school,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
highschool,school,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
escort,non_mandatory,0.0,0.225,0.0,0.14400000000000002,0.0,0.0,0.0,0.465,0.166,0.0,0.0
shopping,non_mandatory,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eatout,non_mandatory,0.0,0.742,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
othmaint,non_mandatory,0.0,0.48200000000000004,0.0,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,non_mandatory,0.0,0.522,0.0,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
othdiscr,non_mandatory,0.252,0.212,0.0,0.272,0.165,0.0,0.0,0.0,0.098,0.0,0.0
atwork,atwork,0.0,0.742,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,trip,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
escort,trip,0.001,0.225,0.0,0.14400000000000002,0.0,0.0,0.0,0.46399999999999997,0.166,0.0,0.0
shopping,trip,0.001,0.9990000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eatout,trip,0.0,0.742,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
othmaint,trip,0.001,0.48100000000000004,0.0,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,trip,0.001,0.521,0.0,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
othdiscr,trip,0.252,0.212,0.0,0.272,0.165,0.0,0.0,0.0,0.098,0.0,0.0
univ,trip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920000000000001,0.408
