person_id,model_choice
73062,92
73212,130
73712,108
73752,20
73998,161
74775,166
107842,29
107867,101
107989,176
108151,8
108332,17
108422,12
108815,3
108901,78
109061,138
109936,88
110068,108
110316,176
110475,71
110688,115
110912,24
110948,173
111245,144
111260,108
111524,150
112395,70
112461,90
112699,91
113141,72
113493,67
113518,120
113571,49
113733,68
114298,7
114305,75
114563,80
115091,16
115237,6
115285,79
115297,56
115447,21
115643,151
115868,173
115904,118
115958,15
116059,190
116444,155
116785,148
117152,125
117265,149
117582,175
117754,147
117797,163
117815,78
117902,45
117932,109
118147,149
118485,96
118874,17
118875,1
119113,102
119234,92
119256,174
119382,124
119417,78
119655,97
119991,82
120544,125
120765,143
120803,122
121103,57
121191,109
121434,173
121437,17
121630,149
121914,138
122097,132
122232,142
122283,10
122567,39
122619,113
122746,13
122970,190
123041,103
123043,12
123108,38
123238,97
123377,9
123441,52
123516,83
123604,63
123621,110
123623,134
123787,78
123795,176
123843,48
123991,93
124072,79
124161,163
124383,148
124401,123
124698,9
124854,159
124900,81
125050,151
125294,7
125488,58
125517,72
125721,130
125879,32
126002,98
126279,144
126294,69
126411,135
126642,6
127315,67
127465,165
127531,15
127728,47
127827,134
128367,45
128610,146
128827,80
128892,26
128929,104
129230,85
129307,76
129488,85
234975,34
235630,31
236053,156
236738,121
264133,26
265075,14
266923,156
267871,133
268565,74
268616,154
268943,33
269883,131
269885,24
270153,98
270351,39
271128,92
304591,115
304592,89
304645,96
304646,28
304985,136
304986,182
323009,142
323010,81
323139,112
323140,107
323635,21
323636,98
324313,82
324314,175
324929,125
324930,184
324997,35
324998,57
325177,81
325178,95
325883,112
325884,132
326333,16
326334,13
326909,109
326910,9
327281,80
327282,144
328123,15
328124,115
328347,40
328348,179
329103,133
329104,21
329705,161
329706,128
329879,159
329880,134
330087,81
330088,39
330233,1
330234,187
330473,132
330474,46
330653,17
330654,76
330659,23
330660,67
332057,21
332058,92
332459,74
332460,118
332835,109
332836,121
332875,158
332876,188
333065,179
333066,119
333697,104
333698,162
334265,95
334266,40
334483,187
334484,31
335413,9
335414,186
335651,160
335652,26
405223,42
405331,102
405601,58
417705,16
417973,106
418141,64
418331,79
418413,29
418761,183
419033,128
419255,153
419789,72
420341,40
420635,174
420669,35
421151,88
421989,99
422279,172
422939,170
423125,160
423317,69
423749,44
480279,120
495124,40
495778,43
497137,33
510421,128
510422,186
510928,94
510929,174
511057,72
511058,69
520210,129
520211,7
536797,27
536798,85
536799,25
570880,92
571763,86
572005,37
596537,5
597139,141
598232,134
598238,4
599221,108
600124,92
600448,168
600536,175
633292,39
633294,31
633445,155
633446,119
644722,134
644723,122
645004,17
645006,128
645379,165
645380,135
645418,58
645419,188
