MAZ,TAZ
100004,4
100027,27
100028,28
100029,29
100030,30
100031,31
100032,32
100033,33
100034,34
100035,35
100036,36
100037,37
100038,38
100039,39
100080,80
100286,286
100287,287
100288,288
100321,321
100322,322
100330,330
100331,331
100332,332
100333,333
100334,334
100335,335
100336,336
100337,337
100338,338
100339,339
100341,341
100342,342
100343,343
100344,344
100345,345
100346,346
100347,347
100348,348
100349,349
100350,350
100351,351
100352,352
100353,353
100354,354
100355,355
100356,356
100357,357
100358,358
100379,379
100380,380
100381,381
100382,382
100383,383
100384,384
100385,385
100386,386
100387,387
100388,388
100389,389
100390,390
100391,391
100392,392
100393,393
100394,394
100395,395
100396,396
100397,397
100398,398
100399,399
100400,400
100409,409
100410,410
100411,411
100412,412
100413,413
100417,417
100418,418
100419,419
100541,541
100542,542
100543,543
100552,552
100555,555
100556,556
100557,557
100558,558
100559,559
100562,562
100563,563
100570,570
100575,575
100576,576
100577,577
100578,578
100579,579
100580,580
100581,581
100582,582
100583,583
100584,584
100585,585
100586,586
100587,587
100588,588
100589,589
100590,590
100591,591
100592,592
100595,595
100636,636
