model_selector,segment,TOTHH,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,AGE0519,HSENROLL,COLLFTE,COLLPTE
workplace,work_low,0,0.129,0.193,0.383,0.12,0.01,0.164,0,0,0,0
workplace,work_med,0,0.12,0.197,0.325,0.139,0.008,0.21,0,0,0,0
workplace,work_high,0,0.11,0.207,0.284,0.154,0.006,0.239,0,0,0,0
workplace,work_veryhigh,0,0.093,0.27,0.241,0.146,0.004,0.246,0,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0.592,0.408
school,gradeschool,0,0,0,0,0,0,0,1,0,0,0
school,highschool,0,0,0,0,0,0,0,0,1,0,0
non_mandatory,escort,0,0.225,0,0.144,0,0,0,0.465,0.166,0,0
#non_mandatory,escort_kids,0,0.225,0,0.144,0,0,0,0.465,0.166,0,0
#non_mandatory,escort_nokids,0,0.225,0,0.144,0,0,0,0.465,0.166,0,0
non_mandatory,shopping,0,1,0,0,0,0,0,0,0,0,0
non_mandatory,eatout,0,0.742,0,0.258,0,0,0,0,0,0,0
non_mandatory,othmaint,0,0.482,0,0.518,0,0,0,0,0,0,0
non_mandatory,social,0,0.522,0,0.478,0,0,0,0,0,0,0
non_mandatory,othdiscr,0.252,0.212,0,0.272,0.165,0,0,0,0.098,0,0
atwork,atwork,0,0.742,0,0.258,0,0,0,0,0,0,0
trip,work,0,1,1,1,1,1,1,0,0,0,0
trip,escort,0.001,0.225,0,0.144,0,0,0,0.464,0.166,0,0
trip,shopping,0.001,0.999,0,0,0,0,0,0,0,0,0
trip,eatout,0,0.742,0,0.258,0,0,0,0,0,0,0
trip,othmaint,0.001,0.481,0,0.518,0,0,0,0,0,0,0
trip,social,0.001,0.521,0,0.478,0,0,0,0,0,0,0
trip,othdiscr,0.252,0.212,0,0.272,0.165,0,0,0,0.098,0,0
trip,univ,0.001,0,0,0,0,0,0,0,0,0.592,0.408
# not needed as school is not chosen as an intermediate trip destination,,,,,,,,,,,,
#trip,gradeschool,0,0,0,0,0,0,0,1,0,0,0
#trip,highschool,0,0,0,0,0,0,0,0,1,0,0
