Label                          ,Description                                                 ,Expression                                                                   ,AUTO_1YR,AUTO_2YR                  ,AUTO_3YR                  ,AUTO_4YR                  ,AUTO_5YR                  ,AUTO_6YR                  ,AUTO_7YR                  ,AUTO_8YR                  ,AUTO_9YR                  ,AUTO_10YR                 ,AUTO_11YR                 ,AUTO_12YR                 ,AUTO_13YR                 ,AUTO_14YR                 ,AUTO_15YR                 ,AUTO_16YR                 ,AUTO_17YR                 ,AUTO_18YR                 ,AUTO_19YR                 ,AUTO_20PLUSYR             ,VAN_1YR                 ,VAN_2YR                   ,VAN_3YR                   ,VAN_4YR                   ,VAN_5YR                   ,VAN_6YR                   ,VAN_7YR                   ,VAN_8YR                   ,VAN_9YR                   ,VAN_10YR                  ,VAN_11YR                  ,VAN_12YR                  ,VAN_13YR                  ,VAN_14YR                  ,VAN_15YR                  ,VAN_16YR                  ,VAN_17YR                  ,VAN_18YR                  ,VAN_19YR                  ,VAN_20PLUSYR              ,SUV_1YR                 ,SUV_2YR                   ,SUV_3YR                   ,SUV_4YR                   ,SUV_5YR                   ,SUV_6YR                   ,SUV_7YR                   ,SUV_8YR                   ,SUV_9YR                   ,SUV_10YR                  ,SUV_11YR                  ,SUV_12YR                  ,SUV_13YR                  ,SUV_14YR                  ,SUV_15YR                  ,SUV_16YR                  ,SUV_17YR                  ,SUV_18YR                  ,SUV_19YR                  ,SUV_20PLUSYR              ,TRUCK_1YR                 ,TRUCK_2YR                 ,TRUCK_3YR                 ,TRUCK_4YR                 ,TRUCK_5YR                 ,TRUCK_6YR                 ,TRUCK_7YR                 ,TRUCK_8YR                 ,TRUCK_9YR                 ,TRUCK_10YR                ,TRUCK_11YR                ,TRUCK_12YR                ,TRUCK_13YR                ,TRUCK_14YR                ,TRUCK_15YR                ,TRUCK_16YR                ,TRUCK_17YR                ,TRUCK_18YR                ,TRUCK_19YR                ,TRUCK_20PLUSYR            ,MOTORCYCLE_1YR           ,MOTORCYCLE_2YR            ,MOTORCYCLE_3YR            ,MOTORCYCLE_4YR            ,MOTORCYCLE_5YR            ,MOTORCYCLE_6YR            ,MOTORCYCLE_7YR            ,MOTORCYCLE_8YR            ,MOTORCYCLE_9YR            ,MOTORCYCLE_10YR           ,MOTORCYCLE_11YR           ,MOTORCYCLE_12YR           ,MOTORCYCLE_13YR           ,MOTORCYCLE_14YR           ,MOTORCYCLE_15YR           ,MOTORCYCLE_16YR           ,MOTORCYCLE_17YR           ,MOTORCYCLE_18YR           ,MOTORCYCLE_19YR           ,MOTORCYCLE_20PLUSYR       
util_hhinc_0_24k               ,household income $0-24k                                     ,(income < 25000) & (income > -1)                                             ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_VAN    ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_VAN      ,coef_hhinc_0_24k_SUV    ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_SUV      ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_TRUCK    ,coef_hhinc_0_24k_MOTO    ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     ,coef_hhinc_0_24k_MOTO     
util_hhinc_0_24k_2YR           ,household income $0-24k x 2YR age                           ,((income < 25000) & (income > -1)) * 2                                       ,        ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_3YR           ,household income $0-24k x 3YR age                           ,((income < 25000) & (income > -1)) * 3                                       ,        ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_4YR           ,household income $0-24k x 4YR age                           ,((income < 25000) & (income > -1)) * 4                                       ,        ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_5YR           ,household income $0-24k x 5YR age                           ,((income < 25000) & (income > -1)) * 5                                       ,        ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_6YR           ,household income $0-24k x 6YR age                           ,((income < 25000) & (income > -1)) * 6                                       ,        ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_7YR           ,household income $0-24k x 7YR age                           ,((income < 25000) & (income > -1)) * 7                                       ,        ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_8YR           ,household income $0-24k x 8YR age                           ,((income < 25000) & (income > -1)) * 8                                       ,        ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_9YR           ,household income $0-24k x 9YR age                           ,((income < 25000) & (income > -1)) * 9                                       ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hhinc_0_24k_10YR          ,household income $0-24k x 10YR age                          ,((income < 25000) & (income > -1)) * 10                                      ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hhinc_0_24k_AGE      ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
