coefficient_name,value,constrain
coef_one,1,T
coef_nest_root,1.00,T
coef_nest_AUTO,0.72,F
coef_nest_AUTO_OLD,0.35,F
coef_nest_AUTO_RECENT,0.35,F
coef_nest_AUTO_NEW,0.35,F
coef_nest_VAN,0.72,F
coef_nest_VAN_OLD,0.35,F
coef_nest_VAN_RECENT,0.35,F
coef_nest_VAN_NEW,0.35,F
coef_nest_SUV,0.72,F
coef_nest_SUV_OLD,0.35,F
coef_nest_SUV_RECENT,0.35,F
coef_nest_SUV_NEW,0.35,F
coef_nest_TRUCK,0.72,F
coef_nest_TRUCK_OLD,0.35,F
coef_nest_TRUCK_RECENT,0.35,F
coef_nest_TRUCK_NEW,0.35,F
coef_nest_MOTORCYCLE,0.72,F
coef_nest_MOTORCYCLE_OLD,0.35,F
coef_nest_MOTORCYCLE_RECENT,0.35,F
coef_nest_MOTORCYCLE_NEW,0.35,F
coef_nest_OTHER,0.72,F
coef_nest_OTHER_OLD,0.35,F
coef_nest_OTHER_RECENT,0.35,F
coef_nest_OTHER_NEW,0.35,F
coef_veh_in_hh,1,F
coef_fte_in_hh,1,F
coef_pte_in_hh,1,F
coef_uni_stdnt_in_hh,1,F
coef_no_work_adults_in_hh,1,F
coef_no_work_seniors_in_hh,1,F
coef_children_over_16_in_hh,1,F
coef_children_5_to_15_in_hh,1,F
coef_children_under_5_in_hh,1,F
coef_tot_hh_commute,1,F
coef_hh_income,1,F
coef_density_index,1,F
coef_commuter_rail_available,1,F
asc_AUTO_RECENT_GAS,1,F
asc_AUTO_OLD_GAS,1,F
asc_AUTO_NEW_DIESEL,1,F
asc_AUTO_RECENT_DIESEL,1,F
asc_AUTO_OLD_DIESEL,1,F
asc_AUTO_NEW_HEV,1,F
asc_AUTO_RECENT_HEV,1,F
asc_AUTO_OLD_HEV,1,F
asc_AUTO_NEW_PEV,1,F
asc_AUTO_RECENT_PEV,1,F
asc_AUTO_OLD_PEV,1,F
asc_AUTO_NEW_PHEV,1,F
asc_AUTO_RECENT_PHEV,1,F
asc_AUTO_OLD_PHEV,1,F
asc_AUTO_NEW_OTHER_FUEL,1,F
asc_AUTO_RECENT_OTHER_FUEL,1,F
asc_AUTO_OLD_OTHER_FUEL,1,F
asc_VAN_NEW_GAS,1,F
asc_VAN_RECENT_GAS,1,F
asc_VAN_OLD_GAS,1,F
asc_VAN_NEW_DIESEL,1,F
asc_VAN_RECENT_DIESEL,1,F
asc_VAN_OLD_DIESEL,1,F
asc_VAN_NEW_HEV,1,F
asc_VAN_RECENT_HEV,1,F
asc_VAN_OLD_HEV,1,F
asc_VAN_NEW_PEV,1,F
asc_VAN_RECENT_PEV,1,F
asc_VAN_OLD_PEV,1,F
asc_VAN_NEW_PHEV,1,F
asc_VAN_RECENT_PHEV,1,F
asc_VAN_OLD_PHEV,1,F
asc_VAN_NEW_OTHER_FUEL,1,F
asc_VAN_RECENT_OTHER_FUEL,1,F
asc_VAN_OLD_OTHER_FUEL,1,F
asc_SUV_NEW_GAS,1,F
asc_SUV_RECENT_GAS,1,F
asc_SUV_OLD_GAS,1,F
asc_SUV_NEW_DIESEL,1,F
asc_SUV_RECENT_DIESEL,1,F
asc_SUV_OLD_DIESEL,1,F
asc_SUV_NEW_HEV,1,F
asc_SUV_RECENT_HEV,1,F
asc_SUV_OLD_HEV,1,F
asc_SUV_NEW_PEV,1,F
asc_SUV_RECENT_PEV,1,F
asc_SUV_OLD_PEV,1,F
asc_SUV_NEW_PHEV,1,F
asc_SUV_RECENT_PHEV,1,F
asc_SUV_OLD_PHEV,1,F
asc_SUV_NEW_OTHER_FUEL,1,F
asc_SUV_RECENT_OTHER_FUEL,1,F
asc_SUV_OLD_OTHER_FUEL,1,F
asc_TRUCK_NEW_GAS,1,F
asc_TRUCK_RECENT_GAS,1,F
asc_TRUCK_OLD_GAS,1,F
asc_TRUCK_NEW_DIESEL,1,F
asc_TRUCK_RECENT_DIESEL,1,F
asc_TRUCK_OLD_DIESEL,1,F
asc_TRUCK_NEW_HEV,1,F
asc_TRUCK_RECENT_HEV,1,F
asc_TRUCK_OLD_HEV,1,F
asc_TRUCK_NEW_PEV,1,F
asc_TRUCK_RECENT_PEV,1,F
asc_TRUCK_OLD_PEV,1,F
asc_TRUCK_NEW_PHEV,1,F
asc_TRUCK_RECENT_PHEV,1,F
asc_TRUCK_OLD_PHEV,1,F
asc_TRUCK_NEW_OTHER_FUEL,1,F
asc_TRUCK_RECENT_OTHER_FUEL,1,F
asc_TRUCK_OLD_OTHER_FUEL,1,F
asc_MOTORCYCLE_NEW_GAS,1,F
asc_MOTORCYCLE_RECENT_GAS,1,F
asc_MOTORCYCLE_OLD_GAS,1,F
asc_MOTORCYCLE_NEW_DIESEL,1,F
asc_MOTORCYCLE_RECENT_DIESEL,1,F
asc_MOTORCYCLE_OLD_DIESEL,1,F
asc_MOTORCYCLE_NEW_HEV,1,F
asc_MOTORCYCLE_RECENT_HEV,1,F
asc_MOTORCYCLE_OLD_HEV,1,F
asc_MOTORCYCLE_NEW_PEV,1,F
asc_MOTORCYCLE_RECENT_PEV,1,F
asc_MOTORCYCLE_OLD_PEV,1,F
asc_MOTORCYCLE_NEW_PHEV,1,F
asc_MOTORCYCLE_RECENT_PHEV,1,F
asc_MOTORCYCLE_OLD_PHEV,1,F
asc_MOTORCYCLE_NEW_OTHER_FUEL,1,F
asc_MOTORCYCLE_RECENT_OTHER_FUEL,1,F
asc_MOTORCYCLE_OLD_OTHER_FUEL,1,F
asc_OTHER_BODY_NEW_GAS,1,F
asc_OTHER_BODY_RECENT_GAS,1,F
asc_OTHER_BODY_OLD_GAS,1,F
