coefficient_name,value,constrain
coef_hhinc_0_24k_VAN,0.179082794,F
coef_hhinc_0_24k_SUV,-0.264760893,F
coef_hhinc_0_24k_TRUCK,-0.14590359,F
coef_hhinc_0_24k_MOTORCYCLE,-0.235189126,F
coef_hhinc_0_24k_HYBRID,-0.994002807,F
coef_hhinc_0_24k_EV,-0.262515743,F
coef_hhinc_0_24k_AGE,0.099005323,F
coef_hhinc_25_49k_VAN,0.08662185,F
coef_hhinc_25_49k_SUV,-0.123891084,F
coef_hhinc_25_49k_TRUCK,-0.006402318,F
coef_hhinc_25_49k_MOTORCYCLE,-0.022997031,F
coef_hhinc_25_49k_HYBRID,-0.521188521,F
coef_hhinc_25_49k_EV,-0.604404501,F
coef_hhinc_25_49k_AGE,0.041365178,F
coef_hhinc_100k_VAN,-0.132267217,F
coef_hhinc_100k_SUV,0.113869362,F
coef_hhinc_100k_TRUCK,-0.183875504,F
coef_hhinc_100k_MOTORCYCLE,-0.133410116,F
coef_hhinc_100k_HYBRID,0.411304212,F
coef_hhinc_100k_EV,1.009450426,F
coef_hhinc_100k_AGE,-0.040243534,F
coef_hhinc_missing_VAN,0.161672641,F
coef_hhinc_missing_SUV,-0.008949045,F
coef_hhinc_missing_TRUCK,-0.07072213,F
coef_hhinc_missing_MOTORCYCLE,-0.528764747,F
coef_hhinc_missing_HYBRID,-0.079807406,F
coef_hhinc_missing_EV,-0.002464839,F
coef_hhinc_missing_AGE,0.004258014,F
coef_hh_rural_VAN,0.269196279,F
coef_hh_rural_SUV,0.28092014,F
coef_hh_rural_TRUCK,0.821788628,F
coef_hh_rural_MOTORCYCLE,0.003786889,F
coef_hh_rural_HYBRID,-0.151894189,F
coef_hh_rural_EV,-0.674429476,F
coef_hh_rural_AGE,-0.004330061,F
coef_hh_1veh_VAN,-0.361953547,F
coef_hh_1veh_SUV,-0.150976304,F
coef_hh_1veh_TRUCK,-0.983223316,F
coef_hh_1veh_MOTORCYCLE,-1.418566425,F
coef_hh_1veh_HYBRID,0.105627202,F
coef_hh_1veh_EV,-0.216583955,F
coef_hh_1veh_AGE,-0.023359073,F
coef_hh_veh_lt_drivers_VAN,0.060089681,F
coef_hh_veh_lt_drivers_SUV,-0.185863906,F
coef_hh_veh_lt_drivers_TRUCK,-0.355276736,F
coef_hh_veh_lt_drivers_MOTORCYCLE,0.110819492,F
coef_hh_veh_lt_drivers_HYBRID,-0.123274294,F
coef_hh_veh_lt_drivers_EV,-0.277329596,F
coef_hh_veh_lt_drivers_AGE,0.019917239,F
coef_hh_veh_gt_drivers_VAN,-0.045294943,F
coef_hh_veh_gt_drivers_SUV,-0.055228952,F
coef_hh_veh_gt_drivers_TRUCK,0.292423206,F
coef_hh_veh_gt_drivers_MOTORCYCLE,2.854099826,F
coef_hh_veh_gt_drivers_HYBRID,-0.191751997,F
coef_hh_veh_gt_drivers_EV,0.393257226,F
coef_hh_veh_gt_drivers_AGE,0.069702353,F
coef_num_kids_VAN,0.571776625,F
coef_num_kids_SUV,0.180487373,F
coef_num_kids_TRUCK,0.053846948,F
coef_num_kids_MOTORCYCLE,0.023673004,F
coef_num_kids_HYBRID,-0.031880099,F
coef_num_kids_EV,0.205229799,F
coef_num_kids_AGE,-0.000618549,F
coef_hh_dist_work_VAN,-0.006018241,F
coef_hh_dist_work_SUV,-0.001853485,F
coef_hh_dist_work_TRUCK,-0.00111387,F
coef_hh_dist_work_MOTORCYCLE,-0.0018725,F
coef_hh_dist_work_HYBRID,-0.001297548,F
coef_hh_dist_work_EV,-0.00376596,F
coef_hh_dist_work_AGE,-0.000157252,F
asc_VAN,-2.621123387,F
asc_SUV,-0.315654186,F
asc_TRUCK,-1.693882872,F
asc_MOTORCYCLE,-4.743200096,F
asc_DIESEL,-4.449848458,F
asc_HYBRID,-2.43259008,F
asc_PEV,-4.139312258,F
asc_BEV,-4.12629689,F
asc_2YR,0.106753034,F
asc_3YR,0.074784735,F
asc_4YR,0.053817827,F
asc_5YR,-0.063580111,F
asc_6YR,-0.26495706,F
asc_7YR,-0.296568515,F
asc_8YR,-0.478879684,F
asc_9YR,-0.21721964,F
asc_10YR,-0.240064744,F
asc_11YR,-0.302785803,F
asc_12YR,-0.369372472,F
asc_13YR,-0.505447277,F
asc_14YR,-0.658825276,F
asc_15YR,-0.826569244,F
asc_16YR,-0.977017273,F
asc_17YR,-1.147703113,F
asc_18YR,-1.441323662,F
asc_19YR,-1.738781676,F
asc_20YR_PLUS,-0.110801973,F
asc_VAN_DIESEL,-0.328611924,F
asc_VAN_HYBRID,-3.481704016,F
asc_VAN_EV,-3.15228365,F
asc_SUV_DIESEL,-0.499247285,F
asc_SUV_HYBRID,-1.672234585,F
asc_SUV_EV,-2.991501564,F
asc_TRUCK_DIESEL,2.538766811,F
asc_TRUCK_HYBRID,-4.77472524,F
asc_TRUCK_EV,-5.303048026,F
asc_MOTORCYCLE_DIESEL,-99,F
asc_MOTORCYCLE_HYBRID,-99,F
asc_MOTORCYCLE_PEV,-99,F
asc_MOTORCYCLE_BEV,-0.267619097,F
asc_VAN_AGE,0.028580441,F
asc_SUV_AGE,-0.041727158,F
asc_TRUCK_AGE,0.045967429,F
asc_MOTORCYCLE_AGE,0.014624235,F
asc_VAN_AGE_20PLUS,-0.556972529,F
asc_SUV_AGE_20PLUS,-0.320880494,F
asc_TRUCK_AGE_20PLUS,0.210307625,F
asc_MOTORCYCLE_AGE_20PLUS,0.235450702,F
asc_DIESEL_AGE,-0.012446758,F
asc_HYBRID_AGE,-0.087173796,F
asc_EV_AGE,-0.347985872,F
asc_DIESEL_AGE_20PLUS,-0.248617867,F
asc_HYBRID_AGE_20PLUS,-3.432297717,F
asc_EV_AGE_20PLUS,1.51012632,F
