body_type,fuel_type,vehicle_year,BT-FT-Year,NumMakes,NumModels,MPG,Range,NewPrice
Car,Gas,2017,Car_Gas_2017,39,738,24,0,32926.61346
Car,Gas,2016,Car_Gas_2016,39,734,23.7,0,33383.61537
Car,Gas,2015,Car_Gas_2015,39,740,23.4,0,33369.12233
Car,Gas,2014,Car_Gas_2014,41,717,23.2,0,32571.33539
Car,Gas,2013,Car_Gas_2013,40,702,23.1,0,32976.62731
Car,Gas,2012,Car_Gas_2012,42,668,22.4,0,32959.56219
Car,Gas,2011,Car_Gas_2011,42,617,21.7,0,34409.88113
Car,Gas,2010,Car_Gas_2010,44,641,21.5,0,35279.71318
Car,Gas,2009,Car_Gas_2009,45,637,21,0,35638.52401
Car,Gas,2008,Car_Gas_2008,46,649,20.5,0,35745.78309
Car,Gas,2007,Car_Gas_2007,43,594,20.3,0,37613.76774
Car,Gas,2006,Car_Gas_2006,43,595,20.2,0,38581.65596
Car,Gas,2005,Car_Gas_2005,41,661,20.4,0,37537.36453
Car,Gas,2004,Car_Gas_2004,43,628,20.6,0,37988.14511
Car,Gas,2003,Car_Gas_2003,42,573,20.5,0,37597.37624
Car,Gas,2002,Car_Gas_2002,42,543,20.8,0,37380.8733
Car,Gas,2001,Car_Gas_2001,39,505,21,0,37361.09207
Car,Gas,2000,Car_Gas_2000,39,473,21,0,38856.86312
Car,Gas,1999,Car_Gas_1999,40,483,21.2,0,38447.21363
Car,Gas,1998,Car_Gas_1998,42,464,21.3,0,38952.55256
Car,Diesel,2017,Car_Diesel_2017,3,9,35.2,0,38787.1746
Car,Diesel,2016,Car_Diesel_2016,2,8,31.4,0,39325.51763
Car,Diesel,2015,Car_Diesel_2015,4,23,32.8,0,39308.445
Car,Diesel,2014,Car_Diesel_2014,4,20,31.5,0,38368.66109
Car,Diesel,2013,Car_Diesel_2013,2,12,31.8,0,38846.09034
Car,Diesel,2012,Car_Diesel_2012,2,8,32.3,0,38825.98783
Car,Diesel,2011,Car_Diesel_2011,3,8,31.4,0,40534.44697
Car,Diesel,2010,Car_Diesel_2010,3,8,31.4,0,41559.0992
Car,Diesel,2009,Car_Diesel_2009,3,6,30.2,0,41981.77425
Car,Diesel,2008,Car_Diesel_2008,1,1,26,0,42108.12422
Car,Diesel,2007,Car_Diesel_2007,1,1,26,0,44308.58881
Car,Diesel,2006,Car_Diesel_2006,2,7,32.3,0,45448.75007
Car,Diesel,2005,Car_Diesel_2005,2,13,32,0,44218.5867
Car,Diesel,2004,Car_Diesel_2004,1,10,32.6,0,44749.60108
Car,Diesel,2003,Car_Diesel_2003,1,8,35.6,0,44289.27981
Car,Diesel,2002,Car_Diesel_2002,1,8,35.6,0,44034.24182
Car,Diesel,2001,Car_Diesel_2001,1,6,35.5,0,44010.93975
Car,Diesel,2000,Car_Diesel_2000,1,6,35.5,0,45772.94097
Car,Diesel,1999,Car_Diesel_1999,2,8,34.5,0,45290.37855
Car,Diesel,1998,Car_Diesel_1998,2,8,33.8,0,45885.66203
Car,Hybrid,2017,Car_Hybrid_2017,11,29,40.4,0,34769.7517
Car,Hybrid,2016,Car_Hybrid_2016,14,31,36.8,0,35252.33528
Car,Hybrid,2015,Car_Hybrid_2015,12,33,35.5,0,35237.03096
Car,Hybrid,2014,Car_Hybrid_2014,15,40,34.8,0,34394.58617
Car,Hybrid,2013,Car_Hybrid_2013,15,34,35.3,0,34822.56518
Car,Hybrid,2012,Car_Hybrid_2012,12,25,34.2,0,34804.54481
Car,Hybrid,2011,Car_Hybrid_2011,11,20,33.6,0,36336.04847
Car,Hybrid,2010,Car_Hybrid_2010,8,13,34.5,0,37254.57126
Car,Hybrid,2009,Car_Hybrid_2009,6,8,32.3,0,37633.4673
Car,Hybrid,2008,Car_Hybrid_2008,6,8,31.8,0,37746.73043
Car,Hybrid,2007,Car_Hybrid_2007,5,7,33.3,0,39719.27956
Car,Hybrid,2006,Car_Hybrid_2006,2,5,42.4,0,40741.3474
Car,Hybrid,2005,Car_Hybrid_2005,2,8,41.9,0,39638.59951
Car,Hybrid,2004,Car_Hybrid_2004,2,7,43.9,0,40114.61351
Car,Hybrid,2003,Car_Hybrid_2003,2,7,43.3,0,39701.9705
Car,Hybrid,2002,Car_Hybrid_2002,2,3,47,0,39473.34834
Car,Hybrid,2001,Car_Hybrid_2001,2,4,47,0,39452.45982
Car,Hybrid,2000,Car_Hybrid_2000,1,1,53,0,41031.95988
Car,Hybrid,1999,Car_Hybrid_1999,0,0,0,0,40599.37938
Car,Hybrid,1998,Car_Hybrid_1998,0,0,0,0,41133.00574
Car,PEV,2017,Car_PEV_2017,9,14,35.1,0,56882.64178
Car,PEV,2016,Car_PEV_2016,8,14,33.8,0,65356.24918
Car,PEV,2015,Car_PEV_2015,8,11,32.1,0,55150.60558
Car,PEV,2014,Car_PEV_2014,8,10,35.1,0,44172.85443
Car,PEV,2013,Car_PEV_2013,3,4,40.8,0,52370.99125
Car,PEV,2012,Car_PEV_2012,3,3,35.7,0,47444.73245
Car,PEV,2011,Car_PEV_2011,1,1,37,0,38741.26195
Car,PEV,2010,Car_PEV_2010,0,0,0,0,38741.26195
Car,PEV,2009,Car_PEV_2009,0,0,0,0,38741.26195
Car,PEV,2008,Car_PEV_2008,0,0,0,0,38741.26195
Car,PEV,2007,Car_PEV_2007,0,0,0,0,38741.26195
Car,PEV,2006,Car_PEV_2006,0,0,0,0,38741.26195
Car,PEV,2005,Car_PEV_2005,0,0,0,0,38741.26195
Car,PEV,2004,Car_PEV_2004,0,0,0,0,38741.26195
Car,PEV,2003,Car_PEV_2003,0,0,0,0,38741.26195
Car,PEV,2002,Car_PEV_2002,0,0,0,0,38741.26195
Car,PEV,2001,Car_PEV_2001,0,0,0,0,38741.26195
Car,PEV,2000,Car_PEV_2000,0,0,0,0,38741.26195
Car,PEV,1999,Car_PEV_1999,0,0,0,0,38741.26195
Car,PEV,1998,Car_PEV_1998,0,0,0,0,38741.26195
Car,BEV,2017,Car_BEV_2017,13,23,108.7,169,65091.20275
Car,BEV,2016,Car_BEV_2016,11,25,103.1,173,74787.61065
Car,BEV,2015,Car_BEV_2015,10,18,103.2,157,63109.22167
Car,BEV,2014,Car_BEV_2014,10,13,106.1,115,50547.30465
Car,BEV,2013,Car_BEV_2013,9,12,104.3,105,59928.48966
Car,BEV,2012,Car_BEV_2012,5,5,95.6,113,54291.33743
Car,BEV,2011,Car_BEV_2011,3,4,93.8,73,44331.89559
Car,BEV,2010,Car_BEV_2010,0,0,0,0,44331.89559
Car,BEV,2009,Car_BEV_2009,0,0,0,0,44331.89559
Car,BEV,2008,Car_BEV_2008,0,0,0,0,44331.89559
Car,BEV,2007,Car_BEV_2007,0,0,0,0,44331.89559
Car,BEV,2006,Car_BEV_2006,0,0,0,0,44331.89559
Car,BEV,2005,Car_BEV_2005,0,0,0,0,44331.89559
Car,BEV,2004,Car_BEV_2004,0,0,0,0,44331.89559
Car,BEV,2003,Car_BEV_2003,0,0,0,0,44331.89559
