vehicle_type_id,vehicle_type
1,AUTO_NEW_GAS
2,AUTO_RECENT_GAS
3,AUTO_OLD_GAS
4,AUTO_NEW_DIESEL
5,AUTO_RECENT_DIESEL
6,AUTO_OLD_DIESEL
7,AUTO_NEW_HEV
8,AUTO_RECENT_HEV
9,AUTO_OLD_HEV
10,AUTO_NEW_PEV
11,AUTO_RECENT_PEV
12,AUTO_OLD_PEV
13,AUTO_NEW_PHEV
14,AUTO_RECENT_PHEV
15,AUTO_OLD_PHEV
16,AUTO_NEW_OTHER_FUEL
17,AUTO_RECENT_OTHER_FUEL
18,AUTO_OLD_OTHER_FUEL
19,VAN_NEW_GAS
20,VAN_RECENT_GAS
21,VAN_OLD_GAS
22,VAN_NEW_DIESEL
23,VAN_RECENT_DIESEL
24,VAN_OLD_DIESEL
25,VAN_NEW_HEV
26,VAN_RECENT_HEV
27,VAN_OLD_HEV
28,VAN_NEW_PEV
29,VAN_RECENT_PEV
30,VAN_OLD_PEV
31,VAN_NEW_PHEV
32,VAN_RECENT_PHEV
33,VAN_OLD_PHEV
34,VAN_NEW_OTHER_FUEL
35,VAN_RECENT_OTHER_FUEL
36,VAN_OLD_OTHER_FUEL
37,SUV_NEW_GAS
38,SUV_RECENT_GAS
39,SUV_OLD_GAS
40,SUV_NEW_DIESEL
41,SUV_RECENT_DIESEL
42,SUV_OLD_DIESEL
43,SUV_NEW_HEV
44,SUV_RECENT_HEV
45,SUV_OLD_HEV
46,SUV_NEW_PEV
47,SUV_RECENT_PEV
48,SUV_OLD_PEV
49,SUV_NEW_PHEV
50,SUV_RECENT_PHEV
51,SUV_OLD_PHEV
52,SUV_NEW_OTHER_FUEL
53,SUV_RECENT_OTHER_FUEL
54,SUV_OLD_OTHER_FUEL
55,TRUCK_NEW_GAS
56,TRUCK_RECENT_GAS
57,TRUCK_OLD_GAS
58,TRUCK_NEW_DIESEL
59,TRUCK_RECENT_DIESEL
60,TRUCK_OLD_DIESEL
61,TRUCK_NEW_HEV
62,TRUCK_RECENT_HEV
63,TRUCK_OLD_HEV
64,TRUCK_NEW_PEV
65,TRUCK_RECENT_PEV
66,TRUCK_OLD_PEV
67,TRUCK_NEW_PHEV
68,TRUCK_RECENT_PHEV
69,TRUCK_OLD_PHEV
70,TRUCK_NEW_OTHER_FUEL
71,TRUCK_RECENT_OTHER_FUEL
72,TRUCK_OLD_OTHER_FUEL
73,MOTORCYCLE_NEW_GAS
74,MOTORCYCLE_RECENT_GAS
75,MOTORCYCLE_OLD_GAS
76,MOTORCYCLE_NEW_DIESEL
77,MOTORCYCLE_RECENT_DIESEL
78,MOTORCYCLE_OLD_DIESEL
79,MOTORCYCLE_NEW_HEV
80,MOTORCYCLE_RECENT_HEV
81,MOTORCYCLE_OLD_HEV
82,MOTORCYCLE_NEW_PEV
83,MOTORCYCLE_RECENT_PEV
84,MOTORCYCLE_OLD_PEV
85,MOTORCYCLE_NEW_PHEV
86,MOTORCYCLE_RECENT_PHEV
87,MOTORCYCLE_OLD_PHEV
88,MOTORCYCLE_NEW_OTHER_FUEL
89,MOTORCYCLE_RECENT_OTHER_FUEL
90,MOTORCYCLE_OLD_OTHER_FUEL
91,OTHER_BODY_NEW_GAS
92,OTHER_BODY_RECENT_GAS
93,OTHER_BODY_OLD_GAS
94,OTHER_BODY_NEW_DIESEL
95,OTHER_BODY_RECENT_DIESEL
96,OTHER_BODY_OLD_DIESEL
97,OTHER_BODY_NEW_HEV
98,OTHER_BODY_RECENT_HEV
99,OTHER_BODY_OLD_HEV
100,OTHER_BODY_NEW_PEV
101,OTHER_BODY_RECENT_PEV
102,OTHER_BODY_OLD_PEV
103,OTHER_BODY_NEW_PHEV
104,OTHER_BODY_RECENT_PHEV
105,OTHER_BODY_OLD_PHEV
106,OTHER_BODY_NEW_OTHER_FUEL
107,OTHER_BODY_RECENT_OTHER_FUEL
108,OTHER_BODY_OLD_OTHER_FUEL
