body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost
Car,Gas,2017,39,738,24,0,32926.61346,0.13
Car,Gas,2016,39,734,23.7,0,33383.61537,0.13
Car,Gas,2015,39,740,23.4,0,33369.12233,0.13
Car,Gas,2014,41,717,23.2,0,32571.33539,0.13
Car,Gas,2013,40,702,23.1,0,32976.62731,0.13
Car,Gas,2012,42,668,22.4,0,32959.56219,0.13
Car,Gas,2011,42,617,21.7,0,34409.88113,0.14
Car,Gas,2010,44,641,21.5,0,35279.71318,0.14
Car,Gas,2009,45,637,21,0,35638.52401,0.14
Car,Gas,2008,46,649,20.5,0,35745.78309,0.15
Car,Gas,2007,43,594,20.3,0,37613.76774,0.15
Car,Gas,2006,43,595,20.2,0,38581.65596,0.15
Car,Gas,2005,41,661,20.4,0,37537.36453,0.15
Car,Gas,2004,43,628,20.6,0,37988.14511,0.15
Car,Gas,2003,42,573,20.5,0,37597.37624,0.15
Car,Gas,2002,42,543,20.8,0,37380.8733,0.14
Car,Gas,2001,39,505,21,0,37361.09207,0.14
Car,Gas,2000,39,473,21,0,38856.86312,0.14
Car,Gas,1999,40,483,21.2,0,38447.21363,0.14
Car,Gas,1998,42,464,21.3,0,38952.55256,0.14
Car,Diesel,2017,3,9,35.2,0,38787.1746,0.09
Car,Diesel,2016,2,8,31.4,0,39325.51763,0.10
Car,Diesel,2015,4,23,32.8,0,39308.445,0.09
Car,Diesel,2014,4,20,31.5,0,38368.66109,0.10
Car,Diesel,2013,2,12,31.8,0,38846.09034,0.09
Car,Diesel,2012,2,8,32.3,0,38825.98783,0.09
Car,Diesel,2011,3,8,31.4,0,40534.44697,0.10
Car,Diesel,2010,3,8,31.4,0,41559.0992,0.10
Car,Diesel,2009,3,6,30.2,0,41981.77425,0.10
Car,Diesel,2008,1,1,26,0,42108.12422,0.12
Car,Diesel,2007,1,1,26,0,44308.58881,0.12
Car,Diesel,2006,2,7,32.3,0,45448.75007,0.09
Car,Diesel,2005,2,13,32,0,44218.5867,0.09
Car,Diesel,2004,1,10,32.6,0,44749.60108,0.09
Car,Diesel,2003,1,8,35.6,0,44289.27981,0.08
Car,Diesel,2002,1,8,35.6,0,44034.24182,0.08
Car,Diesel,2001,1,6,35.5,0,44010.93975,0.08
Car,Diesel,2000,1,6,35.5,0,45772.94097,0.08
Car,Diesel,1999,2,8,34.5,0,45290.37855,0.09
Car,Diesel,1998,2,8,33.8,0,45885.66203,0.09
Car,Hybrid,2017,11,29,40.4,0,34769.7517,0.07
Car,Hybrid,2016,14,31,36.8,0,35252.33528,0.08
Car,Hybrid,2015,12,33,35.5,0,35237.03096,0.08
Car,Hybrid,2014,15,40,34.8,0,34394.58617,0.09
Car,Hybrid,2013,15,34,35.3,0,34822.56518,0.08
Car,Hybrid,2012,12,25,34.2,0,34804.54481,0.09
Car,Hybrid,2011,11,20,33.6,0,36336.04847,0.09
Car,Hybrid,2010,8,13,34.5,0,37254.57126,0.09
Car,Hybrid,2009,6,8,32.3,0,37633.4673,0.09
Car,Hybrid,2008,6,8,31.8,0,37746.73043,0.09
Car,Hybrid,2007,5,7,33.3,0,39719.27956,0.09
Car,Hybrid,2006,2,5,42.4,0,40741.3474,0.07
Car,Hybrid,2005,2,8,41.9,0,39638.59951,0.07
