PERID,household_id,age,RELATE,ESR,GRADE,PNUM,PAUG,DDP,sex,WEEKS,HOURS,MSP,POVERTY,EARNS,pagecat,pemploy,pstudent,ptype,padkid
25671,25671,47,1,6,0,1,0,0,1,0,0,6,39,0,6,3,3,4,2
25675,25675,27,1,6,7,1,0,0,2,52,40,2,84,7200,5,3,2,3,2
25678,25678,30,1,6,0,1,0,0,2,0,0,6,84,0,5,3,3,4,2
25683,25683,23,1,6,0,1,0,0,1,0,0,6,1,0,4,3,3,4,2
25684,25684,52,1,6,0,1,0,0,1,0,0,6,94,0,7,3,3,4,2
25691,25691,19,1,6,6,1,0,0,1,0,0,6,1,0,4,3,2,3,2
25692,25692,54,1,6,0,1,0,0,1,0,0,4,106,0,7,3,3,4,2
25704,25704,37,1,6,0,1,0,0,1,0,0,6,208,0,6,3,3,4,2
25725,25725,51,1,6,0,1,0,0,2,0,0,3,90,0,7,3,3,4,2
25734,25734,55,1,6,0,1,0,0,1,0,0,6,232,0,7,3,3,4,2
25751,25751,38,1,6,0,1,0,0,1,0,0,6,104,0,6,3,3,4,2
25754,25754,35,1,3,6,1,0,0,1,30,8,6,113,9800,6,3,2,3,2
25761,25761,44,1,3,0,1,0,0,1,4,40,6,67,800,6,3,3,4,2
25763,25763,46,1,6,0,1,0,0,1,0,0,6,180,0,6,3,3,4,2
25769,25769,52,1,6,0,1,0,0,2,0,0,4,94,0,7,3,3,4,2
25775,25775,30,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
25783,25783,55,1,6,0,1,0,0,1,0,0,5,109,0,7,3,3,4,2
25796,25796,26,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
25806,25806,22,1,6,6,1,0,0,1,5,40,6,162,4000,4,3,2,3,2
25816,25816,51,1,6,6,1,0,0,1,0,0,4,237,0,7,3,2,3,2
25834,25834,60,1,6,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
25839,25839,40,1,6,0,1,0,0,1,0,0,6,8,0,6,3,3,4,2
25844,25844,51,1,3,0,1,0,0,2,15,40,6,35,3000,7,3,3,4,2
25872,25872,40,1,6,6,1,0,0,1,13,50,6,95,4000,6,3,2,3,2
25876,25876,43,1,6,6,1,0,0,2,0,0,6,1,0,6,3,2,3,2
25887,25887,48,1,6,0,1,0,0,1,0,0,6,108,0,6,3,3,4,2
25890,25890,50,1,6,0,1,0,0,1,0,0,6,98,0,7,3,3,4,2
25894,25894,31,1,3,6,1,0,0,1,0,0,6,1,0,5,3,2,3,2
25897,25897,42,1,6,0,1,0,0,1,0,0,6,113,0,6,3,3,4,2
25911,25911,63,1,6,0,1,0,0,1,0,0,3,89,0,7,3,3,4,2
25926,25926,63,1,6,0,1,0,0,1,0,0,4,18,0,7,3,3,4,2
25951,25951,36,1,6,0,1,0,0,2,0,0,6,52,0,6,3,3,4,2
25954,25954,49,1,3,6,1,0,0,1,0,0,6,231,0,6,3,2,3,2
25959,25959,24,1,6,6,1,0,0,2,0,0,6,289,0,4,3,2,3,2
25963,25963,60,1,6,0,1,0,0,1,0,0,4,83,0,7,3,3,4,2
25968,25968,59,1,6,0,1,0,0,1,0,0,5,65,0,7,3,3,4,2
25983,25983,55,1,6,0,1,0,0,1,0,0,6,115,0,7,3,3,4,2
25986,25986,53,1,6,0,1,0,0,1,0,0,4,171,0,7,3,3,4,2
26008,26008,48,1,3,0,1,0,0,1,39,27,6,314,25000,6,3,3,4,2
26011,26011,39,1,6,0,1,0,0,1,0,0,6,105,0,6,3,3,4,2
26019,26019,31,1,6,0,1,0,0,1,37,40,6,289,25000,5,3,3,4,2
26044,26044,23,1,6,7,1,0,0,1,0,0,6,1,0,4,3,2,3,2
26056,26056,57,1,6,0,1,0,0,1,0,0,6,94,0,7,3,3,4,2
26060,26060,26,1,6,0,1,0,0,1,0,0,6,4,0,5,3,3,4,2
26089,26089,54,1,6,0,1,0,0,1,0,0,6,109,0,7,3,3,4,2
26098,26098,40,1,3,0,1,0,0,1,48,32,6,280,23000,6,3,3,4,2
26103,26103,44,1,6,0,1,0,0,1,0,0,6,185,0,6,3,3,4,2
26116,26116,59,1,6,0,1,0,0,2,0,0,3,103,0,7,3,3,4,2
26117,26117,50,1,6,0,1,0,0,1,40,40,6,81,7000,7,3,3,4,2
26133,26133,26,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
26143,26143,61,1,6,0,1,0,0,1,0,0,6,111,0,7,3,3,4,2
26147,26147,52,1,6,0,1,0,0,1,0,0,6,104,0,7,3,3,4,2
26162,26162,58,1,6,6,1,0,0,1,0,0,6,89,0,7,3,2,3,2
26166,26166,26,1,6,6,1,0,0,2,24,52,4,260,22500,5,3,2,3,2
26170,26170,44,1,6,0,1,0,0,1,0,0,6,84,0,6,3,3,4,2
26177,26177,48,1,6,0,1,0,0,1,0,0,6,146,0,6,3,3,4,2
26178,26178,24,1,3,6,1,0,0,1,0,0,6,1,0,4,3,2,3,2
26188,26188,27,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
26201,26201,35,1,6,0,1,0,0,1,0,0,5,102,0,6,3,3,4,2
26204,26204,23,1,6,6,1,0,0,1,0,0,6,1,0,4,3,2,3,2
26208,26208,60,1,6,0,1,0,0,1,29,40,6,316,27000,7,3,3,4,2
26212,26212,21,1,6,7,1,0,0,2,0,0,6,1,0,4,3,2,3,2
26229,26229,30,1,6,0,1,0,0,1,49,43,6,204,17600,5,3,3,4,2
26264,26264,42,1,6,0,1,0,0,1,0,0,6,71,0,6,3,3,4,2
26278,26278,32,1,6,0,1,0,0,2,26,40,6,15,1300,5,3,3,4,2
26300,26300,49,1,6,0,1,0,0,2,0,0,3,73,0,6,3,3,4,2
26308,26308,44,1,3,0,1,0,0,1,4,40,6,67,800,6,3,3,4,2
26323,26323,52,1,6,0,1,0,0,1,0,0,6,21,0,7,3,3,4,2
26331,26331,37,1,6,0,1,0,0,1,0,0,6,208,0,6,3,3,4,2
26337,26337,50,1,6,0,1,0,0,1,40,40,6,81,7000,7,3,3,4,2
26354,26354,47,1,6,0,1,0,0,1,0,0,6,39,0,6,3,3,4,2
26363,26363,26,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
26374,26374,55,1,6,0,1,0,0,1,0,0,6,162,0,7,3,3,4,2
26376,26376,58,1,6,0,1,0,0,1,0,0,2,179,0,7,3,3,4,2
26380,26380,49,1,6,0,1,0,0,1,0,0,4,127,0,6,3,3,4,2
26399,26399,48,1,6,0,1,0,0,1,0,0,6,216,0,6,3,3,4,2
26415,26415,63,1,3,0,1,0,0,2,0,0,6,67,0,7,3,3,4,2
