OMAZ,DMAZ,DIST,DISTBIKE
1000,1000,0.12,0.12
1000,2000,0.37,0.37
1000,3000,0.57,0.57
1000,4000,0.34,0.34
1000,5000,0.7,0.7
1000,6000,0.97,0.97
1000,7000,1.02,1.02
1000,8000,1.05,1.05
1000,9000,1.49,1.49
1000,10000,1.57,1.57
1000,11000,1.08,1.08
1000,12000,0.62,0.62
1000,13000,0.4,0.4
1000,14000,0.27,0.27
1000,15000,0.36,0.36
1000,16000,0.51,0.51
1000,17000,0.99,0.99
1000,18000,1.51,1.51
1000,19000,2.03,2.03
1000,20000,1.69,1.69
1000,21000,1.13,1.13
1000,22000,0.29,0.29
1000,23000,0.95,0.95
1000,24000,0.68,0.68
1000,25000,0.73,0.73
2000,1000,0.24,0.24
2000,2000,0.14,0.14
2000,3000,0.28,0.28
2000,4000,0.24,0.24
2000,5000,0.64,0.64
2000,6000,0.81,0.81
2000,7000,0.96,0.96
2000,8000,0.99,0.99
2000,9000,1.43,1.43
2000,10000,1.51,1.51
2000,11000,1.02,1.02
2000,12000,0.56,0.56
2000,13000,0.48,0.48
2000,14000,0.42,0.42
2000,15000,0.57,0.57
2000,16000,0.66,0.66
2000,17000,1.13,1.13
2000,18000,1.45,1.45
2000,19000,1.97,1.97
2000,20000,1.63,1.63
2000,21000,1.07,1.07
2000,22000,0.57,0.57
2000,23000,0.97,0.97
2000,24000,0.4,0.4
2000,25000,0.45,0.45
3000,1000,0.44,0.44
3000,2000,0.28,0.28
3000,3000,0.14,0.14
3000,4000,0.33,0.33
3000,5000,0.52,0.52
3000,6000,0.63,0.63
3000,7000,0.85,0.85
3000,8000,0.92,0.92
3000,9000,1.36,1.36
3000,10000,1.44,1.44
3000,11000,0.95,0.95
3000,12000,0.55,0.55
3000,13000,0.67,0.67
3000,14000,0.62,0.62
3000,15000,0.76,0.76
3000,16000,0.85,0.85
3000,17000,1.32,1.32
3000,18000,1.38,1.38
3000,19000,1.9,1.9
3000,20000,1.56,1.56
3000,21000,1.0,1.0
3000,22000,0.76,0.76
3000,23000,1.15,1.15
3000,24000,0.57,0.57
3000,25000,0.41,0.41
4000,1000,0.41,0.41
4000,2000,0.29,0.29
4000,3000,0.46,0.46
4000,4000,0.12,0.12
4000,5000,0.4,0.4
4000,6000,0.7,0.7
4000,7000,0.76,0.76
4000,8000,0.8,0.8
4000,9000,1.23,1.23
4000,10000,1.32,1.32
4000,11000,0.82,0.82
4000,12000,0.42,0.42
4000,13000,0.34,0.34
4000,14000,0.45,0.45
4000,15000,0.65,0.65
4000,16000,0.68,0.68
4000,17000,0.99,0.99
4000,18000,1.26,1.26
4000,19000,1.78,1.78
4000,20000,1.44,1.44
4000,21000,0.88,0.88
4000,22000,0.66,0.66
4000,23000,1.14,1.14
4000,24000,0.58,0.58
4000,25000,0.63,0.63
5000,1000,0.68,0.68
5000,2000,0.59,0.59
5000,3000,0.45,0.45
5000,4000,0.35,0.35
5000,5000,0.2,0.2
5000,6000,0.44,0.44
5000,7000,0.46,0.46
5000,8000,0.6,0.6
5000,9000,1.04,1.04
5000,10000,1.14,1.14
5000,11000,0.66,0.66
5000,12000,0.31,0.31
5000,13000,0.51,0.51
5000,14000,0.71,0.71
5000,15000,0.92,0.92
5000,16000,0.93,0.93
5000,17000,1.16,1.16
5000,18000,1.14,1.14
5000,19000,1.63,1.63
5000,20000,1.28,1.28
5000,21000,0.77,0.77
5000,22000,0.93,0.93
5000,23000,1.41,1.41
5000,24000,0.88,0.88
5000,25000,0.61,0.61
6000,1000,0.97,0.97
6000,2000,0.81,0.81
6000,3000,0.63,0.63
6000,4000,0.61,0.61
6000,5000,0.58,0.58
6000,6000,0.1,0.1
6000,7000,0.29,0.29
6000,8000,0.43,0.43
6000,9000,0.88,0.88
6000,10000,1.14,1.14
6000,11000,0.84,0.84
6000,12000,0.79,0.79
6000,13000,0.95,0.95
6000,14000,1.05,1.05
6000,15000,1.25,1.25
6000,16000,1.29,1.29
6000,17000,1.6,1.6
6000,18000,1.52,1.52
6000,19000,1.64,1.64
6000,20000,1.29,1.29
6000,21000,1.1,1.1
6000,22000,1.26,1.26
6000,23000,1.68,1.68
6000,24000,1.1,1.1
6000,25000,0.78,0.78
7000,1000,0.98,0.98
7000,2000,0.88,0.88
7000,3000,0.7,0.7
7000,4000,0.64,0.64
7000,5000,0.4,0.4
7000,6000,0.34,0.34
7000,7000,0.15,0.15
7000,8000,0.25,0.25
7000,9000,0.72,0.72
7000,10000,0.98,0.98
7000,11000,0.66,0.66
7000,12000,0.6,0.6
7000,13000,0.8,0.8
7000,14000,1.01,1.01
7000,15000,1.21,1.21
7000,16000,1.22,1.22
7000,17000,1.45,1.45
7000,18000,1.33,1.33
7000,19000,1.48,1.48
7000,20000,1.13,1.13
7000,21000,0.91,0.91
7000,22000,1.22,1.22
7000,23000,1.7,1.7
7000,24000,1.18,1.18
7000,25000,0.86,0.86
8000,1000,1.15,1.15
8000,2000,1.06,1.06
8000,3000,0.99,0.99
8000,4000,0.81,0.81
8000,5000,0.6,0.6
8000,6000,0.69,0.69
8000,7000,0.51,0.51
8000,8000,0.12,0.12
8000,9000,0.53,0.53
8000,10000,0.78,0.78
8000,11000,0.45,0.45
8000,12000,0.77,0.77
8000,13000,0.97,0.97
