OMAZ,DMAZ,DIST,TIME
1,1,0.12,0.72
1,2,0.37,2.2199999999999998
1,3,0.57,3.42
1,4,0.34,2.04
1,5,0.7,4.199999999999999
1,6,0.97,5.82
1,7,1.02,6.12
1,8,1.05,6.300000000000001
1,9,1.49,8.94
1,10,1.57,9.42
1,11,1.08,6.48
1,12,0.62,3.7199999999999998
1,13,0.4,2.4000000000000004
1,14,0.27,1.62
1,15,0.36,2.16
1,16,0.51,3.06
1,17,0.99,5.9399999999999995
1,18,1.51,9.06
1,19,2.03,12.18
1,20,1.69,10.14
1,21,1.13,6.779999999999999
1,22,0.29,1.7399999999999998
1,23,0.95,5.699999999999999
1,24,0.68,4.08
1,25,0.73,4.38
2,1,0.24,1.44
2,2,0.14,0.8400000000000001
2,3,0.28,1.6800000000000002
2,4,0.24,1.44
2,5,0.64,3.84
2,6,0.81,4.86
2,7,0.96,5.76
2,8,0.99,5.9399999999999995
2,9,1.43,8.58
2,10,1.51,9.06
2,11,1.02,6.12
2,12,0.56,3.3600000000000003
2,13,0.48,2.88
2,14,0.42,2.52
2,15,0.57,3.42
2,16,0.66,3.96
2,17,1.13,6.779999999999999
2,18,1.45,8.7
2,19,1.97,11.82
2,20,1.63,9.78
2,21,1.07,6.42
2,22,0.57,3.42
2,23,0.97,5.82
2,24,0.4,2.4000000000000004
2,25,0.45,2.7
3,1,0.44,2.64
3,2,0.28,1.6800000000000002
3,3,0.14,0.8400000000000001
3,4,0.33,1.98
3,5,0.52,3.12
3,6,0.63,3.7800000000000002
3,7,0.85,5.1
3,8,0.92,5.5200000000000005
3,9,1.36,8.16
3,10,1.44,8.64
3,11,0.95,5.699999999999999
3,12,0.55,3.3000000000000003
3,13,0.67,4.0200000000000005
3,14,0.62,3.7199999999999998
3,15,0.76,4.5600000000000005
3,16,0.85,5.1
3,17,1.32,7.92
3,18,1.38,8.28
3,19,1.9,11.399999999999999
3,20,1.56,9.36
3,21,1.0,6.0
3,22,0.76,4.5600000000000005
3,23,1.15,6.8999999999999995
3,24,0.57,3.42
3,25,0.41,2.46
4,1,0.41,2.46
4,2,0.29,1.7399999999999998
4,3,0.46,2.7600000000000002
4,4,0.12,0.72
4,5,0.4,2.4000000000000004
4,6,0.7,4.199999999999999
4,7,0.76,4.5600000000000005
4,8,0.8,4.800000000000001
4,9,1.23,7.38
4,10,1.32,7.92
4,11,0.82,4.92
4,12,0.42,2.52
4,13,0.34,2.04
4,14,0.45,2.7
4,15,0.65,3.9000000000000004
4,16,0.68,4.08
4,17,0.99,5.9399999999999995
4,18,1.26,7.5600000000000005
4,19,1.78,10.68
4,20,1.44,8.64
4,21,0.88,5.28
4,22,0.66,3.96
4,23,1.14,6.84
4,24,0.58,3.4799999999999995
4,25,0.63,3.7800000000000002
5,1,0.68,4.08
5,2,0.59,3.54
5,3,0.45,2.7
