OMAZ,DMAZ,DISTWALK
1000,1000,0.12
1000,2000,0.37
1000,3000,0.57
1000,4000,0.34
1000,5000,0.7
1000,6000,0.97
1000,12000,0.62
1000,13000,0.4
1000,14000,0.27
1000,15000,0.36
1000,16000,0.51
1000,17000,0.99
1000,22000,0.29
1000,23000,0.95
1000,24000,0.68
1000,25000,0.73
2000,1000,0.24
2000,2000,0.14
2000,3000,0.28
2000,4000,0.24
2000,5000,0.64
2000,6000,0.81
2000,7000,0.96
2000,8000,0.99
2000,12000,0.56
2000,13000,0.48
2000,14000,0.42
2000,15000,0.57
2000,16000,0.66
2000,22000,0.57
2000,23000,0.97
2000,24000,0.4
2000,25000,0.45
3000,1000,0.44
3000,2000,0.28
3000,3000,0.14
3000,4000,0.33
3000,5000,0.52
3000,6000,0.63
3000,7000,0.85
3000,8000,0.92
3000,11000,0.95
3000,12000,0.55
3000,13000,0.67
3000,14000,0.62
3000,15000,0.76
3000,16000,0.85
3000,21000,1.0
3000,22000,0.76
3000,24000,0.57
3000,25000,0.41
4000,1000,0.41
4000,2000,0.29
4000,3000,0.46
4000,4000,0.12
4000,5000,0.4
4000,6000,0.7
4000,7000,0.76
4000,8000,0.8
4000,11000,0.82
4000,12000,0.42
4000,13000,0.34
4000,14000,0.45
4000,15000,0.65
4000,16000,0.68
4000,17000,0.99
4000,21000,0.88
4000,22000,0.66
4000,24000,0.58
4000,25000,0.63
5000,1000,0.68
5000,2000,0.59
5000,3000,0.45
5000,4000,0.35
5000,5000,0.2
5000,6000,0.44
5000,7000,0.46
5000,8000,0.6
5000,11000,0.66
5000,12000,0.31
5000,13000,0.51
5000,14000,0.71
5000,15000,0.92
5000,16000,0.93
5000,21000,0.77
5000,22000,0.93
5000,24000,0.88
5000,25000,0.61
6000,1000,0.97
6000,2000,0.81
6000,3000,0.63
6000,4000,0.61
6000,5000,0.58
6000,6000,0.1
6000,7000,0.29
6000,8000,0.43
6000,9000,0.88
6000,11000,0.84
6000,12000,0.79
6000,13000,0.95
6000,25000,0.78
7000,1000,0.98
7000,2000,0.88
7000,3000,0.7
7000,4000,0.64
7000,5000,0.4
7000,6000,0.34
7000,7000,0.15
7000,8000,0.25
7000,9000,0.72
7000,10000,0.98
7000,11000,0.66
7000,12000,0.6
7000,13000,0.8
7000,21000,0.91
7000,25000,0.86
8000,3000,0.99
8000,4000,0.81
8000,5000,0.6
8000,6000,0.69
8000,7000,0.51
8000,8000,0.12
8000,9000,0.53
8000,10000,0.78
8000,11000,0.45
8000,12000,0.77
8000,13000,0.97
8000,20000,0.93
8000,21000,0.71
9000,6000,0.9
9000,7000,0.86
9000,8000,0.53
9000,9000,0.17
9000,10000,0.49
9000,11000,0.65
9000,20000,0.78
10000,7000,0.94
10000,8000,0.73
10000,9000,0.33
10000,10000,0.21
10000,11000,0.49
10000,19000,0.94
10000,20000,0.47
10000,21000,0.92
11000,3000,0.99
11000,4000,0.79
11000,5000,0.61
11000,6000,0.84
11000,7000,0.65
11000,8000,0.54
11000,9000,0.63
11000,10000,0.49
11000,11000,0.23
11000,12000,0.52
11000,13000,0.71
11000,14000,0.92
11000,18000,0.87
11000,19000,0.98
11000,20000,0.64
11000,21000,0.45
12000,1000,0.66
12000,2000,0.57
12000,3000,0.74
12000,4000,0.32
12000,5000,0.57
12000,6000,0.89
12000,7000,0.77
12000,8000,0.72
12000,11000,0.52
12000,12000,0.12
12000,13000,0.24
12000,14000,0.45
12000,15000,0.65
12000,16000,0.67
12000,17000,0.89
12000,18000,0.95
12000,21000,0.57
12000,22000,0.91
12000,24000,0.86
12000,25000,0.91
13000,1000,0.45
13000,2000,0.56
13000,3000,0.74
13000,4000,0.32
13000,5000,0.58
13000,6000,0.88
13000,7000,0.9
13000,8000,0.91
13000,11000,0.71
13000,12000,0.24
13000,13000,0.11
13000,14000,0.23
13000,15000,0.43
13000,16000,0.46
13000,17000,0.82
13000,21000,0.76
13000,22000,0.68
13000,24000,0.85
13000,25000,0.91
14000,1000,0.31
14000,2000,0.58
14000,3000,0.77
14000,4000,0.44
14000,5000,0.78
14000,11000,0.92
14000,12000,0.45
14000,13000,0.23
14000,14000,0.11
14000,15000,0.24
14000,16000,0.33
14000,17000,0.87
14000,21000,0.97
14000,22000,0.49
14000,23000,1.0
14000,24000,0.88
14000,25000,0.94
15000,1000,0.36
15000,2000,0.63
15000,3000,0.83
15000,4000,0.62
15000,5000,0.98
15000,12000,0.65
15000,13000,0.43
15000,14000,0.24
15000,15000,0.12
15000,16000,0.47
15000,17000,0.87
15000,22000,0.55
15000,23000,0.78
15000,24000,0.94
15000,25000,0.99
16000,1000,0.68
16000,2000,0.83
16000,4000,0.68
16000,5000,1.0
16000,12000,0.67
16000,13000,0.46
16000,14000,0.47
16000,15000,0.62
16000,16000,0.17
16000,17000,0.63
16000,21000,0.71
16000,22000,0.87
17000,1000,0.94
17000,4000,0.97
17000,12000,0.89
17000,13000,0.82
17000,14000,0.73
17000,15000,0.87
17000,16000,0.55
17000,17000,0.29
17000,18000,0.58
17000,21000,0.93
18000,11000,0.87
18000,12000,0.96
18000,17000,0.58
18000,18000,0.26
18000,19000,0.62
18000,20000,0.99
18000,21000,0.57
19000,10000,0.87
19000,11000,0.99
19000,18000,0.62
19000,19000,0.29
19000,20000,0.67
19000,21000,0.93
20000,9000,0.62
20000,10000,0.42
20000,11000,0.72
20000,18000,1.0
20000,19000,0.63
20000,20000,0.23
20000,21000,0.82
21000,4000,0.84
21000,5000,0.68
21000,7000,0.88
21000,8000,0.79
21000,10000,0.91
21000,11000,0.45
21000,12000,0.58
21000,13000,0.76
21000,14000,0.97
21000,16000,0.96
21000,18000,0.61
21000,19000,0.92
21000,20000,0.58
21000,21000,0.23
22000,1000,0.68
22000,2000,0.57
22000,3000,0.76
22000,4000,0.68
22000,12000,1.0
22000,13000,0.92
22000,14000,0.8
22000,15000,0.58
22000,22000,0.15
22000,23000,0.62
22000,24000,0.62
22000,25000,0.68
23000,2000,0.95
23000,14000,1.0
23000,15000,0.78
23000,22000,0.89
23000,23000,0.19
23000,24000,0.61
24000,1000,0.49
24000,2000,0.37
24000,3000,0.57
24000,4000,0.48
24000,5000,0.89
24000,12000,0.8
24000,13000,0.72
24000,14000,0.67
24000,15000,0.75
24000,16000,0.9
24000,22000,0.32
24000,23000,0.62
24000,24000,0.2
24000,25000,0.48
25000,1000,0.87
25000,2000,0.59
25000,3000,0.41
25000,4000,0.77
25000,5000,0.94
25000,6000,0.78
25000,12000,0.98
25000,22000,0.84
25000,24000,0.5
25000,25000,0.13
