MAZ,TAP,DISTBIKE,bike_time
1000,90002,0.24,144.0
1000,90005,0.68,408.00000000000006
1000,90006,0.97,582.0
1000,90007,0.98,588.0
1000,90008,1.15,690.0
1000,90009,1.56,936.0
1000,90010,1.59,954.0
1000,90011,1.13,677.9999999999999
1000,90012,0.66,396.0
1000,90014,0.31,186.0
1000,90016,0.68,408.00000000000006
1000,90017,0.94,564.0
1000,90018,1.55,930.0
1000,90019,2.08,1248.0
1000,90020,1.82,1092.0
1000,90021,1.18,708.0
1000,90022,0.68,408.00000000000006
1000,90023,1.07,642.0
1000,90024,0.49,294.0
1000,90025,0.87,522.0
2000,90002,0.14,84.00000000000001
2000,90005,0.59,354.0
2000,90006,0.81,486.00000000000006
2000,90007,0.88,528.0
2000,90008,1.06,636.0
2000,90009,1.47,882.0
2000,90010,1.49,894.0
2000,90011,1.04,624.0
2000,90012,0.57,341.99999999999994
2000,90014,0.58,348.0
2000,90016,0.83,498.0
2000,90017,1.21,726.0
2000,90018,1.46,876.0
2000,90019,1.99,1194.0
2000,90020,1.73,1038.0
2000,90021,1.08,648.0
2000,90022,0.57,341.99999999999994
2000,90023,0.95,570.0
2000,90024,0.37,222.0
2000,90025,0.59,354.0
3000,90002,0.28,168.00000000000003
3000,90005,0.45,270.0
3000,90006,0.63,378.0
3000,90007,0.7,420.0
3000,90008,0.99,594.0
3000,90009,1.4,840.0
3000,90010,1.43,858.0
3000,90011,0.99,594.0
3000,90012,0.74,444.0
3000,90014,0.77,462.0
3000,90016,1.03,618.0
3000,90017,1.39,833.9999999999999
3000,90018,1.44,864.0
3000,90019,1.97,1182.0
3000,90020,1.7,1020.0
3000,90021,1.06,636.0
3000,90022,0.76,456.0
3000,90023,1.15,690.0
3000,90024,0.57,341.99999999999994
3000,90025,0.41,245.99999999999997
4000,90002,0.24,144.0
4000,90005,0.35,210.0
4000,90006,0.61,366.0
4000,90007,0.64,384.0
4000,90008,0.81,486.00000000000006
4000,90009,1.22,732.0
4000,90010,1.25,750.0
4000,90011,0.79,474.0
4000,90012,0.32,192.0
4000,90014,0.44,264.0
4000,90016,0.68,408.00000000000006
4000,90017,0.97,582.0
4000,90018,1.22,732.0
4000,90019,1.75,1050.0
4000,90020,1.49,894.0
4000,90021,0.84,504.0
4000,90022,0.68,408.00000000000006
4000,90023,1.06,636.0
4000,90024,0.48,288.0
4000,90025,0.77,462.0
5000,90002,0.64,384.0
5000,90005,0.2,120.0
5000,90006,0.58,348.0
5000,90007,0.4,240.0
5000,90008,0.6,360.0
5000,90009,1.01,606.0
5000,90010,1.04,624.0
5000,90011,0.61,366.0
5000,90012,0.57,341.99999999999994
5000,90014,0.78,468.0
5000,90016,1.0,600.0
5000,90017,1.23,738.0
5000,90018,1.05,630.0
5000,90019,1.58,948.0
5000,90020,1.32,792.0
5000,90021,0.68,408.00000000000006
5000,90022,1.08,648.0
5000,90023,1.46,876.0
5000,90024,0.89,534.0
5000,90025,0.94,564.0
6000,90002,0.81,486.00000000000006
6000,90005,0.44,264.0
6000,90006,0.1,60.0
6000,90007,0.34,204.00000000000003
6000,90008,0.69,413.99999999999994
6000,90009,0.9,540.0
6000,90010,1.11,666.0000000000001
6000,90011,0.84,504.0
6000,90012,0.89,534.0
6000,90014,1.07,642.0
6000,90016,1.3,780.0
6000,90017,1.53,918.0
6000,90018,1.42,852.0
6000,90019,1.67,1002.0
6000,90020,1.39,833.9999999999999
6000,90021,1.05,630.0
6000,90022,1.29,774.0
6000,90023,1.67,1002.0
6000,90024,1.09,654.0
6000,90025,0.78,468.0
7000,90002,0.96,576.0
7000,90005,0.46,276.0
7000,90006,0.29,174.0
7000,90007,0.15,90.0
7000,90008,0.51,306.0
7000,90009,0.86,516.0
7000,90010,0.94,564.0
7000,90011,0.65,390.0
7000,90012,0.77,462.0
7000,90014,1.1,660.0
7000,90016,1.32,792.0
7000,90017,1.55,930.0
7000,90018,1.26,756.0
7000,90019,1.49,894.0
7000,90020,1.22,732.0
7000,90021,0.88,528.0
7000,90022,1.4,840.0
7000,90023,1.78,1068.0
7000,90024,1.2,720.0
