MAZ,TAP,DIST,drive_time
1000,90002,0.24,360.0
1000,90005,0.68,1020.0000000000001
1000,90006,0.97,1455.0
1000,90007,0.98,1470.0
1000,90008,1.15,1724.9999999999998
1000,90009,1.56,2340.0
1000,90010,1.59,2385.0
1000,90011,1.13,1694.9999999999998
1000,90012,0.66,990.0
1000,90014,0.31,465.0
1000,90016,0.68,1020.0000000000001
1000,90017,0.94,1410.0
1000,90018,1.55,2325.0
1000,90019,2.08,3120.0
1000,90020,1.82,2730.0
1000,90021,1.18,1770.0
1000,90022,0.68,1020.0000000000001
1000,90023,1.07,1605.0
1000,90024,0.49,735.0
1000,90025,0.87,1305.0
2000,90002,0.14,210.00000000000003
2000,90005,0.59,885.0
2000,90006,0.81,1215.0
2000,90007,0.88,1320.0
2000,90008,1.06,1590.0
2000,90009,1.47,2205.0
2000,90010,1.49,2235.0
2000,90011,1.04,1560.0
2000,90012,0.57,854.9999999999999
2000,90014,0.58,869.9999999999999
2000,90016,0.83,1245.0
2000,90017,1.21,1815.0
2000,90018,1.46,2190.0
2000,90019,1.99,2985.0
2000,90020,1.73,2595.0
2000,90021,1.08,1620.0
2000,90022,0.57,854.9999999999999
2000,90023,0.95,1425.0
2000,90024,0.37,555.0
2000,90025,0.59,885.0
3000,90002,0.28,420.00000000000006
3000,90005,0.45,675.0
3000,90006,0.63,945.0
3000,90007,0.7,1050.0
3000,90008,0.99,1485.0
3000,90009,1.4,2100.0
3000,90010,1.43,2145.0
3000,90011,0.99,1485.0
3000,90012,0.74,1110.0
3000,90014,0.77,1155.0
3000,90016,1.03,1545.0
3000,90017,1.39,2085.0
3000,90018,1.44,2160.0
3000,90019,1.97,2955.0
3000,90020,1.7,2550.0
3000,90021,1.06,1590.0
3000,90022,0.76,1140.0
3000,90023,1.15,1724.9999999999998
3000,90024,0.57,854.9999999999999
3000,90025,0.41,615.0
4000,90002,0.24,360.0
4000,90005,0.35,525.0
4000,90006,0.61,915.0
4000,90007,0.64,960.0
4000,90008,0.81,1215.0
4000,90009,1.22,1830.0
4000,90010,1.25,1875.0
4000,90011,0.79,1185.0
4000,90012,0.32,480.0
4000,90014,0.44,660.0
4000,90016,0.68,1020.0000000000001
4000,90017,0.97,1455.0
4000,90018,1.22,1830.0
4000,90019,1.75,2625.0
4000,90020,1.49,2235.0
4000,90021,0.84,1260.0
4000,90022,0.68,1020.0000000000001
4000,90023,1.06,1590.0
4000,90024,0.48,720.0
4000,90025,0.77,1155.0
5000,90002,0.64,960.0
5000,90005,0.2,300.0
5000,90006,0.58,869.9999999999999
5000,90007,0.4,600.0
5000,90008,0.6,900.0
5000,90009,1.01,1515.0
5000,90010,1.04,1560.0
5000,90011,0.61,915.0
5000,90012,0.57,854.9999999999999
5000,90014,0.78,1170.0
5000,90016,1.0,1500.0
5000,90017,1.23,1845.0
5000,90018,1.05,1575.0
5000,90019,1.58,2370.0
5000,90020,1.32,1980.0
5000,90021,0.68,1020.0000000000001
5000,90022,1.08,1620.0
5000,90023,1.46,2190.0
5000,90024,0.89,1335.0
5000,90025,0.94,1410.0
6000,90002,0.81,1215.0
6000,90005,0.44,660.0
6000,90006,0.1,150.0
6000,90007,0.34,510.00000000000006
6000,90008,0.69,1035.0
6000,90009,0.9,1350.0
6000,90010,1.11,1665.0000000000002
6000,90011,0.84,1260.0
6000,90012,0.89,1335.0
6000,90014,1.07,1605.0
6000,90016,1.3,1950.0
6000,90017,1.53,2295.0
6000,90018,1.42,2130.0
6000,90019,1.67,2505.0
6000,90020,1.39,2085.0
6000,90021,1.05,1575.0
6000,90022,1.29,1935.0
6000,90023,1.67,2505.0
6000,90024,1.09,1635.0000000000002
6000,90025,0.78,1170.0
7000,90002,0.96,1440.0
7000,90005,0.46,690.0
7000,90006,0.29,434.99999999999994
7000,90007,0.15,225.0
7000,90008,0.51,765.0
7000,90009,0.86,1290.0
7000,90010,0.94,1410.0
7000,90011,0.65,975.0
7000,90012,0.77,1155.0
7000,90014,1.1,1650.0000000000002
7000,90016,1.32,1980.0
7000,90017,1.55,2325.0
7000,90018,1.26,1890.0
7000,90019,1.49,2235.0
7000,90020,1.22,1830.0
7000,90021,0.88,1320.0
7000,90022,1.4,2100.0
7000,90023,1.78,2670.0
7000,90024,1.2,1800.0
7000,90025,1.01,1515.0
8000,90002,0.99,1485.0
8000,90005,0.6,900.0
8000,90006,0.43,645.0
8000,90007,0.25,375.0
8000,90008,0.12,180.0
8000,90009,0.53,795.0
8000,90010,0.73,1095.0
8000,90011,0.54,810.0
8000,90012,0.72,1080.0
8000,90014,1.12,1680.0000000000002
8000,90016,1.34,2010.0000000000002
8000,90017,1.56,2340.0
8000,90018,1.21,1815.0
8000,90019,1.38,2070.0
8000,90020,1.02,1530.0
8000,90021,0.79,1185.0
8000,90022,1.43,2145.0
8000,90023,1.81,2715.0
8000,90024,1.24,1860.0
8000,90025,1.14,1709.9999999999998
9000,90002,1.43,2145.0
9000,90005,1.04,1560.0
9000,90006,0.88,1320.0
9000,90007,0.72,1080.0
9000,90008,0.53,795.0
9000,90009,0.17,255.00000000000003
9000,90010,0.33,495.0
9000,90011,0.63,945.0
9000,90012,1.15,1724.9999999999998
9000,90014,1.55,2325.0
9000,90016,1.74,2610.0
9000,90017,1.96,2940.0
9000,90018,1.47,2205.0
9000,90019,1.06,1590.0
9000,90020,0.62,930.0
9000,90021,1.05,1575.0
9000,90022,1.87,2805.0
9000,90023,2.25,3375.0
9000,90024,1.67,2505.0
9000,90025,1.59,2385.0
10000,90002,1.51,2265.0
10000,90005,1.14,1709.9999999999998
10000,90006,1.14,1709.9999999999998
10000,90007,0.98,1470.0
10000,90008,0.78,1170.0
10000,90009,0.49,735.0
10000,90010,0.21,315.0
10000,90011,0.49,735.0
10000,90012,1.01,1515.0
10000,90014,1.41,2115.0
10000,90016,1.6,2400.0
10000,90017,1.83,2745.0
10000,90018,1.33,1995.0
10000,90019,0.87,1305.0
10000,90020,0.42,630.0
10000,90021,0.91,1365.0
10000,90022,1.95,2925.0
10000,90023,2.33,3495.0
10000,90024,1.76,2640.0
10000,90025,1.69,2535.0
11000,90002,1.02,1530.0
11000,90005,0.66,990.0
11000,90006,0.84,1260.0
11000,90007,0.66,990.0
11000,90008,0.45,675.0
11000,90009,0.65,975.0
11000,90010,0.49,735.0
11000,90011,0.23,345.0
11000,90012,0.52,780.0
11000,90014,0.92,1380.0
11000,90016,1.13,1694.9999999999998
11000,90017,1.36,2040.0000000000002
11000,90018,0.87,1305.0
11000,90019,0.99,1485.0
11000,90020,0.72,1080.0
11000,90021,0.45,675.0
11000,90022,1.46,2190.0
11000,90023,1.84,2760.0
11000,90024,1.26,1890.0
11000,90025,1.21,1815.0
12000,90002,0.56,840.0000000000001
12000,90005,0.31,465.0
12000,90006,0.79,1185.0
12000,90007,0.6,900.0
12000,90008,0.77,1155.0
12000,90009,1.17,1755.0
12000,90010,1.01,1515.0
12000,90011,0.52,780.0
12000,90012,0.12,180.0
12000,90014,0.45,675.0
12000,90016,0.67,1005.0000000000001
12000,90017,0.89,1335.0
12000,90018,0.96,1440.0
12000,90019,1.49,2235.0
12000,90020,1.23,1845.0
12000,90021,0.58,869.9999999999999
12000,90022,1.0,1500.0
12000,90023,1.38,2070.0
12000,90024,0.8,1200.0
12000,90025,0.98,1470.0
13000,90002,0.48,720.0
13000,90005,0.51,765.0
13000,90006,0.95,1425.0
13000,90007,0.8,1200.0
13000,90008,0.97,1455.0
13000,90009,1.36,2040.0000000000002
13000,90010,1.2,1800.0
13000,90011,0.71,1065.0
13000,90012,0.24,360.0
13000,90014,0.23,345.0
13000,90016,0.46,690.0
13000,90017,0.82,1230.0
13000,90018,1.13,1694.9999999999998
13000,90019,1.67,2505.0
13000,90020,1.4,2100.0
13000,90021,0.76,1140.0
13000,90022,0.92,1380.0
13000,90023,1.18,1770.0
13000,90024,0.72,1080.0
13000,90025,1.1,1650.0000000000002
14000,90002,0.42,630.0
14000,90005,0.71,1065.0
14000,90006,1.05,1575.0
14000,90007,1.01,1515.0
14000,90008,1.18,1770.0
14000,90009,1.57,2355.0
14000,90010,1.41,2115.0
14000,90011,0.92,1380.0
14000,90012,0.45,675.0
14000,90014,0.11,165.0
14000,90016,0.47,705.0
14000,90017,0.73,1095.0
14000,90018,1.34,2010.0000000000002
14000,90019,1.87,2805.0
14000,90020,1.61,2415.0
14000,90021,0.97,1455.0
14000,90022,0.8,1200.0
14000,90023,1.0,1500.0
14000,90024,0.67,1005.0000000000001
14000,90025,1.05,1575.0
15000,90002,0.57,854.9999999999999
15000,90005,0.92,1380.0
15000,90006,1.25,1875.0
15000,90007,1.21,1815.0
15000,90008,1.38,2070.0
15000,90009,1.77,2655.0
15000,90010,1.61,2415.0
15000,90011,1.12,1680.0000000000002
15000,90012,0.65,975.0
15000,90014,0.24,360.0
15000,90016,0.62,930.0
15000,90017,0.87,1305.0
15000,90018,1.55,2325.0
15000,90019,2.08,3120.0
15000,90020,1.82,2730.0
15000,90021,1.17,1755.0
15000,90022,0.58,869.9999999999999
15000,90023,0.78,1170.0
15000,90024,0.75,1125.0
15000,90025,1.13,1694.9999999999998
16000,90002,0.66,990.0
16000,90005,0.93,1395.0
16000,90006,1.29,1935.0
16000,90007,1.22,1830.0
16000,90008,1.39,2085.0
16000,90009,1.77,2655.0
16000,90010,1.61,2415.0
16000,90011,1.13,1694.9999999999998
16000,90012,0.67,1005.0000000000001
16000,90014,0.33,495.0
16000,90016,0.17,255.00000000000003
16000,90017,0.55,825.0000000000001
16000,90018,1.07,1605.0
16000,90019,1.6,2400.0
16000,90020,1.49,2235.0
16000,90021,0.96,1440.0
16000,90022,1.01,1515.0
16000,90023,1.21,1815.0
16000,90024,0.9,1350.0
16000,90025,1.28,1920.0
17000,90002,1.13,1694.9999999999998
17000,90005,1.16,1739.9999999999998
17000,90006,1.6,2400.0
17000,90007,1.45,2175.0
17000,90008,1.61,2415.0
17000,90009,1.98,2970.0
17000,90010,1.83,2745.0
17000,90011,1.35,2025.0000000000002
17000,90012,0.89,1335.0
17000,90014,0.87,1305.0
17000,90016,0.63,945.0
17000,90017,0.29,434.99999999999994
17000,90018,0.58,869.9999999999999
17000,90019,1.12,1680.0000000000002
17000,90020,1.5,2250.0
17000,90021,1.11,1665.0000000000002
17000,90022,1.36,2040.0000000000002
17000,90023,1.56,2340.0
17000,90024,1.37,2055.0
17000,90025,1.75,2625.0
18000,90002,1.45,2175.0
18000,90005,1.14,1709.9999999999998
18000,90006,1.52,2280.0
18000,90007,1.33,1995.0
18000,90008,1.13,1694.9999999999998
18000,90009,1.5,2250.0
18000,90010,1.34,2010.0000000000002
18000,90011,0.87,1305.0
18000,90012,0.95,1425.0
18000,90014,1.34,2010.0000000000002
18000,90016,1.08,1620.0
18000,90017,0.58,869.9999999999999
18000,90018,0.26,390.0
18000,90019,0.62,930.0
18000,90020,1.0,1500.0
18000,90021,0.61,915.0
18000,90022,1.89,2835.0
18000,90023,2.16,3240.0
18000,90024,1.69,2535.0
18000,90025,1.81,2715.0
19000,90002,1.97,2955.0
19000,90005,1.63,2445.0
19000,90006,1.64,2460.0
19000,90007,1.48,2220.0
19000,90008,1.27,1905.0
19000,90009,1.13,1694.9999999999998
19000,90010,0.94,1410.0
19000,90011,0.98,1470.0
19000,90012,1.47,2205.0
19000,90014,1.87,2805.0
19000,90016,1.61,2415.0
19000,90017,1.12,1680.0000000000002
19000,90018,0.62,930.0
19000,90019,0.29,434.99999999999994
19000,90020,0.63,945.0
19000,90021,0.92,1380.0
19000,90022,2.41,3615.0
19000,90023,2.7,4050.0000000000005
19000,90024,2.22,3330.0000000000005
19000,90025,2.18,3270.0000000000005
20000,90002,1.63,2445.0
20000,90005,1.28,1920.0
20000,90006,1.29,1935.0
20000,90007,1.13,1694.9999999999998
20000,90008,0.93,1395.0
20000,90009,0.78,1170.0
20000,90010,0.47,705.0
20000,90011,0.64,960.0
20000,90012,1.13,1694.9999999999998
20000,90014,1.52,2280.0
20000,90016,1.26,1890.0
20000,90017,1.49,2235.0
20000,90018,0.99,1485.0
20000,90019,0.67,1005.0000000000001
20000,90020,0.23,345.0
20000,90021,0.58,869.9999999999999
20000,90022,2.07,3104.9999999999995
20000,90023,2.45,3675.0000000000005
20000,90024,1.87,2805.0
20000,90025,1.83,2745.0
21000,90002,1.07,1605.0
21000,90005,0.77,1155.0
21000,90006,1.1,1650.0000000000002
21000,90007,0.91,1365.0
21000,90008,0.71,1065.0
21000,90009,1.08,1620.0
21000,90010,0.92,1380.0
21000,90011,0.45,675.0
21000,90012,0.57,854.9999999999999
21000,90014,0.97,1455.0
21000,90016,0.71,1065.0
21000,90017,0.93,1395.0
21000,90018,0.57,854.9999999999999
21000,90019,0.93,1395.0
21000,90020,0.82,1230.0
21000,90021,0.23,345.0
21000,90022,1.51,2265.0
21000,90023,1.89,2835.0
21000,90024,1.32,1980.0
21000,90025,1.44,2160.0
22000,90002,0.57,854.9999999999999
22000,90005,0.93,1395.0
22000,90006,1.26,1890.0
22000,90007,1.22,1830.0
22000,90008,1.4,2100.0
22000,90009,1.8,2700.0
22000,90010,1.83,2745.0
22000,90011,1.37,2055.0
22000,90012,0.91,1365.0
22000,90014,0.49,735.0
22000,90016,0.87,1305.0
22000,90017,1.13,1694.9999999999998
22000,90018,1.8,2700.0
22000,90019,2.33,3495.0
22000,90020,2.07,3104.9999999999995
22000,90021,1.42,2130.0
22000,90022,0.15,225.0
22000,90023,0.89,1335.0
22000,90024,0.32,480.0
22000,90025,0.84,1260.0
23000,90002,0.97,1455.0
23000,90005,1.41,2115.0
23000,90006,1.68,2520.0
23000,90007,1.7,2550.0
23000,90008,1.87,2805.0
23000,90009,2.28,3419.9999999999995
23000,90010,2.31,3465.0
23000,90011,1.85,2775.0
23000,90012,1.38,2070.0
23000,90014,1.0,1500.0
23000,90016,1.37,2055.0
23000,90017,1.56,2340.0
23000,90018,2.16,3240.0
23000,90019,2.7,4050.0000000000005
23000,90020,2.55,3824.9999999999995
23000,90021,1.9,2850.0
23000,90022,0.62,930.0
23000,90023,0.19,285.0
23000,90024,0.62,930.0
23000,90025,1.03,1545.0
24000,90002,0.4,600.0
24000,90005,0.88,1320.0
24000,90006,1.1,1650.0000000000002
24000,90007,1.18,1770.0
24000,90008,1.35,2025.0000000000002
24000,90009,1.76,2640.0
