Description,value,coefficient_name
Middle to Low Income HH ,0.45,coef_middle_to_low_income_hh_
Number of eating tours tours undertaken by the person,-0.28,coef_number_of_eating_tours_tours_undertaken_by_the_person
Subtour departure less than or equal to 11AM,0.31,coef_subtour_departure_less_than_or_equal_to_11am
Subtour return time greater or equal to 2PM,0.34,coef_subtour_return_time_greater_or_equal_to_2pm
Subtour duration in hours (integer),0.56,coef_subtour_duration_in_hours_integer_
dummy for subtour origin (tour destination) at Exurban  or Rual (AreaTypes = 6 or 7),0.27,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_
Primary Destination Accessibility (LOG of it),0.18,coef_primary_destination_accessibility_log_of_it_
subtour distance in miles (from tour destination to subtour primary destination one way),0.02,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_
Alternative specific constant for return  stops,-3.671,coef_alternative_specific_constant_for_return_stops_0out_1in
Alternative specific constant for return  stops,-5.388,coef_alternative_specific_constant_for_return_stops_0out_2in
Alternative specific constant for the total number of stops,0,coef_alternative_specific_constant_for_the_total_number_of_stops_0out_2in
Alternative specific constant for return  stops,-6.21,coef_alternative_specific_constant_for_return_stops_0out_3in
Alternative specific constant for outbound stops,-3.896,coef_alternative_specific_constant_for_outbound_stops_1out_0in
Alternative specific constant for the total number of stops,2.127,coef_alternative_specific_constant_for_the_total_number_of_stops_1out_3in
Alternative specific constant for outbound stops,-5.709,coef_alternative_specific_constant_for_outbound_stops_2out_0in
Alternative specific constant for outbound stops,-7.361,coef_alternative_specific_constant_for_outbound_stops_3out_0in
Calibrated coefficient for stops 0 out and 1 in,-2.63434376,coef_calibration_for_0out_1in
Calibrated coefficient for stops 0 out and 2 in,-2.784737668,coef_calibration_for_0out_2in
Calibrated coefficient for stops 0 out and 3 in,-0.489626558,coef_calibration_for_0out_3in
Calibrated coefficient for stops 1 out and 0 in,-3.622571928,coef_calibration_for_1out_0in
Calibrated coefficient for stops 1 out and 1 in,-0.718600931,coef_calibration_for_1out_1in
Calibrated coefficient for stops 1 out and 2 in,-2.115702598,coef_calibration_for_1out_2in
Calibrated coefficient for stops 1 out and 3 in,-4.459844297,coef_calibration_for_1out_3in
Calibrated coefficient for stops 2 out and 0 in,-3.657486874,coef_calibration_for_2out_0in
Calibrated coefficient for stops 2 out and 1 in,0.273537757,coef_calibration_for_2out_1in
Calibrated coefficient for stops 2 out and 2 in,0.252608976,coef_calibration_for_2out_2in
Calibrated coefficient for stops 2 out and 3 in,-0.50657628,coef_calibration_for_2out_3in
Calibrated coefficient for stops 3 out and 0 in,-5.084387708,coef_calibration_for_3out_0in
Calibrated coefficient for stops 3 out and 1 in,0.390308574,coef_calibration_for_3out_1in
Calibrated coefficient for stops 3 out and 2 in,2.069420944,coef_calibration_for_3out_2in
Calibrated coefficient for stops 3 out and 3 in,2.886598497,coef_calibration_for_3out_3in
