tour_purpose,time_period,start,end
work,AM,9,10
work,MD,13,24
work,PM,25,27
work,NT,33,33
#,,,
school,AM,9,10
school,MD,13,24
school,PM,25,27
school,NT,33,33
#,,,
univ,AM,9,10
univ,MD,13,24
univ,PM,25,27
univ,NT,33,33
#,,,
shopping,AM,9,10
shopping,MD,13,24
shopping,PM,25,27
shopping,NT,33,33
#,,,
escort,AM,9,10
escort,MD,13,24
escort,PM,25,27
escort,NT,33,33
#,,,
othmaint,AM,9,10
othmaint,MD,13,24
othmaint,PM,25,27
othmaint,NT,33,33
#,,,
othdiscr,AM,9,10
othdiscr,MD,13,24
othdiscr,PM,25,27
othdiscr,NT,33,33
#,,,
social,AM,9,10
social,MD,13,24
social,PM,25,27
social,NT,33,33
#,,,
eatout,AM,9,10
eatout,MD,13,24
eatout,PM,25,27
eatout,NT,33,33
#,,,
atwork,AM,9,10
atwork,MD,13,24
atwork,PM,25,27
atwork,NT,33,33
