coefficient_name,value,constrain
coef_unavailable,-999,T
coef_one,1,T
coef_mode_choice_logsum,1.821,F
coef_distance_joint,-0.1238,F
coef_util_distance_work_outbound,-0.049725916,F
coef_util_distance_work_inbound,0.147813279,F
coef_util_distance_univ,-0.0613,F
coef_util_distance_school,-0.1056,F
coef_util_distance_escort,-0.1491,F
coef_util_distance_shopping,-0.1192,F
coef_util_distance_eatout,-0.1029,F
coef_util_distance_othmaint,-0.205,F
coef_util_distance_social,-0.1329,F
coef_util_distance_othdiscr,-0.146172224,F
coef_util_distance_atwork,-0.167334597,F
coef_prox_home_outbound_work,-0.38,F
coef_prox_home_inbound_work,-0.15,F
coef_prox_dest_outbound_work,-0.26,F
