coefficient_name,value,constrain
coef_unavailable,-999,T
coef_full_time_worker_mixed_party,-3.566,F
coef_full_time_worker_mixed_party_not,0.5,T
coef_part_time_worker_adults_only_party,-3.566,F
coef_part_time_worker_adults_only_party_not,0.5,T
coef_part_time_worker_mixed_party,-0.3655,F
coef_university_student_mixed_party,-3.041,F
coef_non_worker_adults_only_party,-3.164,F
coef_non_worker_mixed_party,0.7152,F
coef_child_too_young_for_school_children_only_party,-2.786,F
coef_child_too_young_for_school_mixed_party,-1.893,F
coef_pre_driving_age_student_children_only_party,-0.7217,F
coef_pre_driving_age_student_mixed_party,-1.752,F
coef_driving_age_student_children_only_party,-1.822,F
coef_driving_age_student_mixed_party,-1.353,F
#,,
coef_full_time_worker_specific_to_eating_out_joint_tours,0.7157,F
coef_full_time_worker_specific_to_eating_out_joint_tours_not,0.5,T
coef_full_time_worker_specific_to_discretionary_joint_tours,0.4392,F
coef_full_time_worker_specific_to_discretionary_joint_tours_not,0.5,T
coef_part_time_worker_specific_to_eating_out_joint_tours,2.188,F
coef_part_time_worker_specific_to_discretionary_joint_tours,0.285,F
coef_university_student_specific_to_eating_out_joint_tours,-0.82,F
coef_university_student_specific_to_discretionary_joint_tours,0,T
coef_non_worker_specific_to_eating_out_joint_tours,0.1617,F
coef_non_worker_specific_to_discretionary_joint_tours,-0.1835,F
coef_child_too_young_for_school_specific_to_eating_out_joint_tours,0.6589,F
coef_child_too_young_for_school_specific_to_discretionary_joint_tours,0.1284,F
coef_pre_driving_age_student_specific_to_eating_out_joint_tours,1.391,F
coef_pre_driving_age_student_specific_to_discretionary_joint_tours,0.6626,F
coef_driving_age_student_specific_to_eating_out_joint_tours,2.344,F
coef_driving_age_student_specific_to_discretionary_joint_tours,-0.6675,F
#,,
coef_household_in_urban_area_adult_adult_only_party,0,T
coef_household_in_urban_area_adult_mixed_party,-0.137,F
coef_household_in_urban_area_child_child_only_party,1.21,F
coef_household_in_urban_area_child_mixed_party,0.6265,F
coef_household_in_suburban_area_adult_adult_only_party,0,T
coef_household_in_suburban_area_adult_mixed_party,-0.06007,F
coef_household_in_suburban_area_child_child_only_party,0,T
coef_household_in_suburban_area_child_mixed_party,0,T
coef_adult_more_automobiles_than_workers_adult_only_party,-0.2133,F
coef_adult_more_automobiles_than_workers_mixed_party,-0.6031,F
coef_child_more_automobiles_than_workers_child_only_party,-0.4214,F
coef_child_more_automobiles_than_workers_mixed_party,-0.3776,F
#,,
coef_dummy_for_high_income_for_adult_in_adult_party,-0.1682,F
coef_dummy_for_high_income_for_adult_in_mixed_party,-0.02613,F
coef_dummy_for_high_income_for_child_in_children_party,-0.5619,F
coef_dummy_for_high_income_for_child_in_mixed_party,-0.1528,F
coef_adult_number_of_joint_tours_adult_only,-0.3242,F
coef_adult_number_of_joint_tours_mixed,-0.3584,F
coef_child_number_of_joint_tours_child_only,0.1047,F
coef_child_number_of_joint_tours_mixed,-0.5089,F
coef_adult_number_of_other_adults_in_the_household_adults_only_party,0,T
coef_adult_number_of_other_adults_in_the_household_mixed_party,0,T
coef_child_number_of_other_children_in_the_household_child_only_party,0,T
coef_child_number_of_other_children_in_the_household_mixed,0,T
#,,
coef_adult_log_of_max_window_overlap_with_an_adult_adult_only_party,0.8436,F
coef_adult_log_of_max_window_overlap_with_a_child_mixed,2.189,F
coef_child_log_of_max_window_overlap_with_an_adult_mixed,1.538,F
coef_child_log_of_max_window_overlap_with_a_child_child,1.296,F




