coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-8.9791,F
coef_total_number_of_tours_is_2,-12.0248,F
coef_total_number_of_tours_is_3,-14.8516,F
coef_total_number_of_tours_is_4,-17.7037,F
coef_total_number_of_tours_is_5,-999,T
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-0.6766,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-1.0518,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-1.0518,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,-0.1699,F
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.4285,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-0.6551,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-1.0411,F
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-1.0411,F
coef_number_of_joint_shopping_tours,-0.2391,F
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,-0.7727,F
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.7637,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.7928,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.7928,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.7928,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,1.7928,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.5709,F
coef_mediumlow_income_group_and_tour_frequency_is_2,0.8315,F
coef_mediumlow_income_group_and_tour_frequency_is_3,0.8315,F
coef_mediumlow_income_group_and_tour_frequency_is_4,0.8315,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0.8315,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.7426,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,0.8546,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.0792,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.0792,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,1.0792,F
coef_high_income_group_and_tour_frequency_is_1,1.0633,F
coef_high_income_group_and_tour_frequency_is_2,1.0633,F
coef_high_income_group_and_tour_frequency_is_3,1.7742,F
coef_high_income_group_and_tour_frequency_is_4,2.3941,F
coef_high_income_group_and_tour_frequency_is_5_plus,2.3941,F
coef_mediumlow_income_group_and_shopping_tour,0.7734,F
coef_mediumhigh_income_group_and_shopping_tour,0.8906,F
coef_high_income_group_and_shopping_tour,0.9776,F
coef_mediumlow_income_group_and_maintenance_tour,0,T
coef_mediumhigh_income_group_and_maintenance_tour,0,T
coef_high_income_group_and_maintenance_tour,0,T
coef_mediumlow_income_group_and_eating_out_tour,0.2766,F
coef_mediumhigh_income_group_and_eating_out_tour,0.4631,F
coef_high_income_group_and_eating_out_tour,0.7086,F
coef_mediumlow_income_group_and_discretionary_tour,0.1707,F
coef_mediumhigh_income_group_and_discretionary_tour,0.5009,F
coef_high_income_group_and_discretionary_tour,0.8846,F
coef_mediumlow_income_group_and_visiting_tour,-0.267,F
coef_mediumhigh_income_group_and_visiting_tour,-0.267,F
coef_high_income_group_and_visiting_tour,-0.9449,F
coef_female_and_tour_frequency_is_1,0.3902,F
coef_female_and_tour_frequency_is_2,0.5323,F
coef_female_and_tour_frequency_is_3,0.7452,F
coef_female_and_tour_frequency_is_4,1.1294,F
coef_female_and_tour_frequency_is_5,1.1294,F
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0,T
coef_female_and_maintenance_tour,-0.2464,F
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.3623,F
coef_zero_car_ownership_and_tour_frequency_is_2,-1.272,F
coef_zero_car_ownership_and_tour_frequency_is_3,-1.9307,F
coef_zero_car_ownership_and_tour_frequency_is_4,-1.9307,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-1.9307,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.3623,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-1.272,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-1.9307,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-1.9307,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-1.9307,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.7738,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0.7738,F
coef_presence_of_non_worker_and_tour_frequency_is_1,-0.3763,F
coef_presence_of_non_worker_and_tour_frequency_is_2,-0.719,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.0229,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.0229,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.0229,F
coef_presence_of_retiree_and_tour_frequency_is_1,-0.464,F
coef_presence_of_retiree_and_tour_frequency_is_2,-0.4795,F
coef_presence_of_retiree_and_tour_frequency_is_3,-0.4795,F
coef_presence_of_retiree_and_tour_frequency_is_4,-0.4795,F
coef_presence_of_retiree_and_tour_frequency_is_5,-0.4795,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-0.7161,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-0.7161,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0.1486,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0.484,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0.484,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0.484,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0.484,F
coef_presence_of_full_time_worker_and_escorting_tour,0.3947,F
coef_presence_of_part_time_worker_and_escorting_tour,-0.5861,F
coef_presence_of_non_worker_and_escorting_tour,0,T
coef_presence_of_retiree_and_escorting_tour,0,T
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.3773,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.7194,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,-1.148,F
coef_at_home_pre_school_kid_and_escorting_tour,-0.1373,F
coef_presence_of_full_time_worker_and_shopping_tour,0,T
coef_presence_of_part_time_worker_and_shopping_tour,0,T
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,0,T
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,0,T
coef_presence_of_part_time_worker_and_maintenance_tour,0,T
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,-0.4667,F
coef_presence_of_part_time_worker_and_eating_out_tour,0,T
coef_presence_of_non_worker_and_eating_out_tour,-0.4976,F
coef_presence_of_retiree_and_eating_out_tour,-0.6911,F
coef_presence_of_university_student_and_eating_out_tour,0,T
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_driving_school_kid_and_eating_out_tour,-0.3926,F
coef_at_home_pre_school_kid_and_eating_out_tour,-0.3926,F
coef_presence_of_full_time_worker_and_discretionary_tour,-0.3545,F
coef_presence_of_part_time_worker_and_discretionary_tour,-0.3545,F
coef_presence_of_non_worker_and_discretionary_tour,0,T
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,0,T
coef_presence_of_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0.0713,F
coef_walk_access_to_retail_and_tour_frequency_is_2,0.1256,F
coef_walk_access_to_retail_and_tour_frequency_is_3,0.1508,F
coef_walk_access_to_retail_and_tour_frequency_is_4,0.1508,F
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0.1508,F
