coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-8.5684,F
coef_total_number_of_tours_is_2,-12.7416,F
coef_total_number_of_tours_is_3,-15.0978,F
coef_total_number_of_tours_is_4,-19.5439,F
coef_total_number_of_tours_is_5,-20.7897,F
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-5.0196,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-5.0196,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.95,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-7.143,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_shopping_tours,-0.8072,F
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,0,T
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.8357,F
coef_logged_maximum_residual_window_tour_frequency_is_2,2.2707,F
coef_logged_maximum_residual_window_tour_frequency_is_3,4.4023,F
coef_logged_maximum_residual_window_tour_frequency_is_4,4.4023,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,4.4023,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0,T
coef_mediumlow_income_group_and_tour_frequency_is_2,0,T
coef_mediumlow_income_group_and_tour_frequency_is_3,0,T
coef_mediumlow_income_group_and_tour_frequency_is_4,0,T
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_1,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_2,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_3,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_4,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,0,T
coef_high_income_group_and_tour_frequency_is_1,0,T
coef_high_income_group_and_tour_frequency_is_2,0,T
coef_high_income_group_and_tour_frequency_is_3,0,T
coef_high_income_group_and_tour_frequency_is_4,0,T
coef_high_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumlow_income_group_and_shopping_tour,1.0949,F
coef_mediumhigh_income_group_and_shopping_tour,1.0949,F
coef_high_income_group_and_shopping_tour,1.0949,F
coef_mediumlow_income_group_and_maintenance_tour,0.7648,F
coef_mediumhigh_income_group_and_maintenance_tour,0.7648,F
coef_high_income_group_and_maintenance_tour,1.3795,F
coef_mediumlow_income_group_and_eating_out_tour,0.9769,F
coef_mediumhigh_income_group_and_eating_out_tour,1.181,F
coef_high_income_group_and_eating_out_tour,1.4842,F
coef_mediumlow_income_group_and_discretionary_tour,1.0095,F
coef_mediumhigh_income_group_and_discretionary_tour,1.0095,F
coef_high_income_group_and_discretionary_tour,1.0095,F
coef_mediumlow_income_group_and_visiting_tour,0,T
coef_mediumhigh_income_group_and_visiting_tour,-0.4368,F
coef_high_income_group_and_visiting_tour,-0.5137,F
coef_female_and_tour_frequency_is_1,-0.9348,F
coef_female_and_tour_frequency_is_2,-1.3028,F
coef_female_and_tour_frequency_is_3,-2.266,F
coef_female_and_tour_frequency_is_4,-2.266,F
coef_female_and_tour_frequency_is_5,-2.266,F
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0.9688,F
coef_female_and_maintenance_tour,0.7424,F
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0.4954,F
coef_zero_car_ownership_and_tour_frequency_is_1,0,T
coef_zero_car_ownership_and_tour_frequency_is_2,0,T
coef_zero_car_ownership_and_tour_frequency_is_3,0,T
coef_zero_car_ownership_and_tour_frequency_is_4,0,T
coef_zero_car_ownership_and_tour_frequency_is_5_plus,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_1,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_2,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_3,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_4,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.7965,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,2.1302,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,2.1302,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,2.1302,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,2.1302,F
coef_presence_of_non_worker_and_tour_frequency_is_1,0.224,F
coef_presence_of_non_worker_and_tour_frequency_is_2,0.2436,F
coef_presence_of_non_worker_and_tour_frequency_is_3,0.62,F
coef_presence_of_non_worker_and_tour_frequency_is_4,3.3742,F
coef_presence_of_non_worker_and_tour_frequency_is_5,3.3742,F
coef_presence_of_retiree_and_tour_frequency_is_1,-0.4458,F
coef_presence_of_retiree_and_tour_frequency_is_2,-0.5315,F
coef_presence_of_retiree_and_tour_frequency_is_3,-0.5315,F
coef_presence_of_retiree_and_tour_frequency_is_4,-0.5315,F
coef_presence_of_retiree_and_tour_frequency_is_5,-0.5315,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_full_time_worker_and_escorting_tour,0,T
coef_presence_of_part_time_worker_and_escorting_tour,0,T
coef_presence_of_non_worker_and_escorting_tour,0,T
coef_presence_of_retiree_and_escorting_tour,0,T
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.4903,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.5027,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,0,T
coef_at_home_pre_school_kid_and_escorting_tour,0,T
coef_presence_of_full_time_worker_and_shopping_tour,-0.3609,F
coef_presence_of_part_time_worker_and_shopping_tour,0,T
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,0,T
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,0,T
coef_presence_of_part_time_worker_and_maintenance_tour,0,T
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,-0.788,F
coef_presence_of_part_time_worker_and_eating_out_tour,-0.788,F
coef_presence_of_non_worker_and_eating_out_tour,-0.788,F
coef_presence_of_retiree_and_eating_out_tour,-0.9282,F
coef_presence_of_university_student_and_eating_out_tour,0,T
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_driving_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_school_kid_and_eating_out_tour,0,T
coef_presence_of_full_time_worker_and_discretionary_tour,-0.4835,F
coef_presence_of_part_time_worker_and_discretionary_tour,0,T
coef_presence_of_non_worker_and_discretionary_tour,-0.5603,F
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,0,T
coef_presence_of_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0.0616,F
coef_walk_access_to_retail_and_tour_frequency_is_2,0.0616,F
coef_walk_access_to_retail_and_tour_frequency_is_3,0.0616,F
coef_walk_access_to_retail_and_tour_frequency_is_4,0.0616,F
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0.0616,F
coef_transit_access_to_retail_and_tour_frequency_is_1,0,T
coef_transit_access_to_retail_and_tour_frequency_is_2,0,T
coef_transit_access_to_retail_and_tour_frequency_is_3,0,T
coef_transit_access_to_retail_and_tour_frequency_is_4,0,T
coef_transit_access_to_retail_and_tour_frequency_is_5_plus,0,T
