coefficient_name,value,constrain
coef_early_start_at_5,-7.765548476,F
coef_am_peak_start_at_6,-6.156717827,F
coef_am_peak_start_at_7,-4.061708142,F
coef_am_peak_start_at_8,-2.330535201,F
coef_am_peak_start_at_9,-1.881593386,F
coef_midday_start_at_10_11_12,0,T
coef_midday_start_at_13_14_15,-0.77502158,F
coef_pm_peak_start_at_16_17_18,-0.227528489,F
coef_evening_start_at_19_20_21,-1.015090023,F
coef_late_start_at_22_23,-0.737570054,F
coef_early_end_at_5_6,-2.928312295,F
coef_am_peak_end,-2.928312295,F
coef_midday_end_at_10_11_12,-2.297264374,F
coef_midday_end_at_13_14,0,T
coef_pm_peak_end_at_15,-0.578344457,F
coef_pm_peak_end_at_16,-1.09408722,F
coef_pm_peak_end_at_17,-1.1658466,F
coef_pm_peak_end_at_18,-1.496131081,F
coef_evening_end_at_19_20_21,-2.31998226,F
coef_late_end_at_22_23,-2.31998226,F
coef_duration_of_0_hours,-0.906681512,F
coef_duration_of_1_hour,0,T
coef_duration_of_2_to_3_hours,-1.362175802,F
coef_duration_of_4_to_5_hours,-0.819617616,F
coef_duration_of_6_to_7_hours,1.088111072,F
coef_duration_of_8_to_10_hours,1.734038505,F
coef_duration_of_11_to_13_hours,0.3,F
coef_duration_of_14_to_18_hours,0,T
coef_start_shift_for_outbound_auto_travel_time_off_peak,0.00065,F
coef_start_shift_for_inbound_auto_travel_time_off_peak,0.00065,F
coef_duration_shift_for_outbound_auto_travel_time_off_peak,0.00981,F
coef_duration_shift_for_inbound_auto_travel_time_off_peak,0.00981,F
coef_start_shift_for_business_related_,-0.1113,F
coef_duration_shift_for_business_related_,0.2646,F
coef_start_shift_for_first_sub_tour_of_same_work_tour,-0.5433,F
coef_duration_shift_for_first_sub_tour_of_same_work_tour,-0.3992,F
coef_start_shift_for_subsequent_sub_tour_of_same_work_tour,-0.1844,F
coef_duration_shift_for_subsequent_sub_tour_of_same_work_tour,-0.1844,F
coef_start_shift_for_number_of_mandatory_tours,-0.0193,F
coef_duration_shift_for_number_of_mandatory_tours,-0.7702,F
coef_start_shift_for_number_of_joint_tours,-0.0206,F
coef_duration_shift_for_number_of_joint_tours,-0.2497,F
coef_start_shift_for_number_of_individual_nonmandatory_tours,-0.0128,F
coef_duration_shift_for_number_of_individual_nonmandatory_tours,-0.0422,F
coef_dummy_for_business_related_purpose_and_duration_from_0_to_1,-1.543,F
coef_dummy_for_eating_out_purpose_and_duration_of_1_hour,0.3999,F
coef_dummy_for_eating_out_purpose_and_departure_at_11,1.511,F
coef_dummy_for_eating_out_purpose_and_departure_at_12,2.721,F
coef_dummy_for_eating_out_purpose_and_departure_at_13,2.122,F
