primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
work,True,5,8,PTYPE_FULL,0.198,0.004,0,0.466,0.083,0.086,0.093,0.004,0.066
work,True,5,8,PTYPE_PART,0.094,0,0,0.657,0.076,0.07,0.067,0.009,0.027
work,True,5,8,PTYPE_UNIVERSITY,0.067,0.081,0,0.433,0.005,0.038,0.153,0.108,0.115
work,True,9,23,PTYPE_FULL,0.278,0.008,0,0.172,0.18,0.193,0.107,0.016,0.046
work,True,9,23,PTYPE_PART,0.442,0,0,0.089,0.105,0.175,0.102,0.03,0.057
work,True,9,23,PTYPE_UNIVERSITY,0.049,0.086,0,0.392,0.159,0.157,0.069,0.073,0.015
work,True,5,23,PTYPE_DRIVING,0,0,0,0,0.2,0.2,0.2,0.2,0.2
univ,True,5,23,PTYPE_FULL,0.526,0.178,0,0.016,0.16,0.035,0.028,0.057,0
univ,True,5,23,PTYPE_PART,0.059,0.941,0,0,0,0,0,0,0
univ,True,5,23,PTYPE_UNIVERSITY,0.109,0.034,0,0.382,0.136,0.147,0.094,0.048,0.05
school,True,5,23,PTYPE_DRIVING,0,0,0,0.548,0.015,0.1,0.206,0.073,0.058
school,True,5,23,PTYPE_SCHOOL,0,0,0,0.53,0.025,0.084,0.112,0.048,0.201
school,True,5,23,PTYPE_PRESCHOOL,0,0,0,0.772,0.007,0.086,0.023,0.071,0.041
escort,True,5,23,PTYPE_FULL,0,0,0,0.55,0.153,0.084,0.104,0.049,0.06
escort,True,5,23,PTYPE_PART,0,0,0,0.449,0.194,0.07,0.167,0.059,0.061
escort,True,5,23,PTYPE_UNIVERSITY,0,0,0,0.509,0.193,0.158,0.048,0.058,0.034
escort,True,5,23,PTYPE_NONWORK,0,0,0,0.444,0.216,0.084,0.108,0.118,0.03
escort,True,5,23,PTYPE_RETIRED,0,0,0,0.37,0.204,0.192,0.03,0.068,0.136
escort,True,5,23,PTYPE_DRIVING,0,0,0,0.586,0.227,0,0.072,0.115,0
escort,True,5,23,PTYPE_SCHOOL,0,0,0,0.37,0.183,0.29,0.064,0.013,0.08
escort,True,5,23,PTYPE_PRESCHOOL,0,0,0,0.531,0.064,0,0.131,0.196,0.078
shopping,True,5,23,PTYPE_FULL,0,0,0,0.102,0.456,0.226,0.11,0.06,0.046
shopping,True,5,23,PTYPE_PART,0,0,0,0.182,0.291,0.311,0.108,0.031,0.077
shopping,True,5,23,PTYPE_UNIVERSITY,0,0,0,0.13,0.262,0.36,0.124,0.06,0.064
shopping,True,5,23,PTYPE_NONWORK,0,0,0,0.144,0.336,0.274,0.122,0.068,0.056
shopping,True,5,23,PTYPE_RETIRED,0,0,0,0.058,0.357,0.418,0.05,0.047,0.07
shopping,True,5,23,PTYPE_DRIVING,0,0,0,0.076,0.193,0.298,0.047,0.13,0.256
shopping,True,5,23,PTYPE_SCHOOL,0,0,0,0.121,0.142,0.232,0.291,0.03,0.184
shopping,True,5,23,PTYPE_PRESCHOOL,0,0,0,0.138,0.292,0.301,0.187,0.064,0.018
othmaint,True,5,23,PTYPE_FULL,0,0,0,0.201,0.252,0.366,0.117,0.032,0.032
othmaint,True,5,23,PTYPE_PART,0,0,0,0.27,0.259,0.325,0.109,0,0.037
othmaint,True,5,23,PTYPE_UNIVERSITY,0,0,0,0.489,0.13,0.167,0.025,0.15,0.039
othmaint,True,5,23,PTYPE_NONWORK,0,0,0,0.279,0.229,0.344,0.078,0.039,0.031
othmaint,True,5,23,PTYPE_RETIRED,0,0,0,0.224,0.139,0.321,0.098,0.064,0.154
