TAP,LINES
3,115108 11110 14106 115208 936203 14206 955102 215101 856203
73,1215 1111 856103 936103 215201 1211 1115 936203 215101 856203
1238,235101 60208
1333,235101 60208
1478,18102
1485,18102
1487,115208 14106 115108 14206
1500,530213 530113
1516,955102 955202 11110 11210
1551,13109 11110 11210 13209
1558,11110 11210
1559,11110 11210
1562,11110 11210
1584,1215 1111 215201 1211 1115 955202 955102 215101
1588,1215 1111 215201 1211 1115 215101
1592,1215 1111 215201 1211 1115 215101
1603,1215 1111 215201 1211 1115 215101
1604,1215 1111 215201 1211 1115 215101
1605,1215 1111 215201 1211 1115 215101
1606,1215 1111 215201 1211 1115 215101
1607,1215 1111 215201 1211 1115 215101
1608,60108 235201
1611,1215 1111 215201 1211 1115 215101
1612,1215 1111 13109 215201 1211 1115 13209 215101
1618,955102 955202
1633,10204 10104 856103 7210 936103 7111 936203 7110 856203 7211
1638,10204 10104 7210 7111 7110 7211
1652,10204 7112 10104 7111 7212 7110 7211 7210
1653,10204 965106 10104 7111 7112 7212 7110 7211 7210
1658,10204 965106 10104 7111 7212 7110 7211 7210
1660,10204 965106 10104 7210 13109 7111 7212 7110 13209 7211
1662,10204 10104 7210 7111 7212 7110 7211
1663,10204 10104 7210 7111 7212 7110 7211
1664,10204 10104 7210 7111 7212 7110 7211
1665,10204 7112 10104 7111 7212 7110 7211 7210
1666,10204 10104 7210 7111 7212 7110 7211
1673,10204 10104 7210 7111 7110 7211
1681,10204 7112 10104 7111 7212 7110 7211 7210
1682,10204 10104 7210 7212 7111 955202 7110 955102 7211
1694,965106
1695,965106 13209 13109
1698,965106
1712,916102 917104 917103 916103
1717,916102 917104 917103 916103
1718,917103 916102 955202 955102 917104 916103
1730,965106 13209 13109
1747,856103 936103 917103 916102 936203 917104 856203 916103
1748,60108 235201
1754,965106 13209 13109
1762,917103 916102 955202 955102 917104 916103
1767,965106
1773,965106
1784,965106
1798,917103 916102 955202 955102 917104 916103
1817,965106
1823,917103 916102 955202 955102 917104 916103
1835,916102 917104 917103 916103
1840,965106
1857,917103 916102 955202 955102 917104 916103
2043,856103 936103 11110 215201 955202 936203 11210 955102 215101 856203
