HHID,PERSONS,workers,VEHICL,TAZ,income,HHT,unittype,bldgsz
79298,2,0,0,2220,95429,1,0,2
79299,2,2,0,2220,270330,1,0,2
79310,4,2,0,2220,103810,1,0,3
79312,2,1,0,2220,26795,3,0,2
79320,2,1,0,2220,261651,3,0,3
79324,2,1,0,2220,108074,1,0,2
79337,1,0,0,2220,37624,6,0,2
79341,2,0,0,2220,6550,1,0,3
79344,2,0,0,2220,46737,1,0,2
79353,2,2,0,2220,228888,1,0,2
79359,5,1,0,2220,293546,3,0,2
79368,2,2,0,2220,187445,1,0,3
79374,3,3,0,2220,219341,1,0,2
79380,6,1,0,2220,83271,3,0,2
79387,2,2,0,2220,302876,5,0,2
79401,3,1,0,2220,221510,3,0,2
79405,5,2,0,2220,74263,1,0,2
79407,2,0,0,2220,292461,2,0,2
79410,2,0,0,2220,50965,2,0,2
79429,3,2,0,2220,175379,1,0,2
79442,2,1,0,2220,66022,1,0,2
79445,2,1,0,2220,116894,3,0,2
79455,2,0,0,2220,485,1,0,2
79463,2,1,0,2220,102634,3,0,2
79496,2,1,0,2220,33513,1,0,2
79497,5,1,0,2220,148265,3,0,2
79510,4,1,0,2220,61776,1,0,2
79521,4,1,0,2220,298102,5,0,2
79531,4,1,0,2220,170358,3,0,3
79540,2,1,0,2220,190483,2,0,2
79547,2,1,0,2220,38495,2,0,3
79553,3,2,0,2220,217604,1,0,2
79554,2,2,0,2220,238218,1,0,2
79556,4,1,0,2220,269028,1,0,3
79558,2,1,0,2220,106163,1,0,2
79563,2,0,0,2220,115976,3,0,2
79572,6,2,0,2220,189832,1,0,2
79580,3,2,0,2220,83759,1,0,2
79598,5,4,0,2220,156299,1,0,2
79607,2,1,0,2220,119344,1,0,2
79609,2,2,0,2220,43477,1,0,3
79616,2,1,0,2220,129447,1,0,2
79619,2,2,0,2220,246028,1,0,2
79621,4,1,0,2220,102045,1,0,2
79623,4,1,0,2220,27508,1,0,2
79624,2,2,0,2220,178140,5,0,2
79626,2,1,0,2220,62519,1,0,2
79627,2,2,0,2220,141989,1,0,3
79628,2,0,0,2220,19751,1,0,2
79639,2,2,0,2220,309168,1,0,2
79640,2,2,0,2220,307867,1,0,3
79653,3,2,0,2220,87411,1,0,2
79658,2,2,0,2220,63899,1,0,2
79665,2,0,0,2220,67296,1,0,2
79668,4,1,0,2220,61351,1,0,2
79671,4,1,0,2220,93076,1,0,2
79681,1,0,0,2220,17244,4,0,2
79685,2,1,0,2220,209143,7,0,2
79698,3,0,0,2220,259047,1,0,2
79701,1,0,0,2220,25286,6,0,2
79707,3,2,0,2220,2427,2,0,2
79721,1,0,0,2220,236048,4,0,3
79726,2,1,0,2220,31450,1,0,2
79737,3,1,0,2220,103663,1,0,3
79738,2,0,0,2220,197209,1,0,2
79743,2,1,0,2220,48791,3,0,2
79757,3,2,0,2220,201983,1,0,2
79765,3,2,0,2220,257745,1,0,2
79768,2,0,0,2220,66446,1,0,2
79786,2,2,0,2220,146758,5,0,2
79792,3,1,0,2220,28934,5,0,2
79797,3,2,0,2220,146256,1,0,2
79803,2,1,0,2220,1456,1,0,2
79808,4,1,0,2220,17767,1,0,2
79813,4,2,0,2220,200030,1,0,2
79819,2,1,0,2220,98075,7,0,2
79824,4,3,0,2220,104839,1,0,2
79836,2,1,0,2220,226717,3,0,2
79841,2,1,0,2220,41816,1,0,2
79852,6,0,0,2220,115057,3,0,2
79855,3,1,0,2220,7036,1,0,2
79864,4,2,0,2220,313291,1,0,2
79866,2,0,0,2220,102781,1,0,2
79876,1,1,0,2220,2507,4,0,2
79877,2,0,0,2220,256444,1,0,2
79882,2,1,0,2220,194389,1,0,2
82523,3,1,0,2217,70825,1,0,2
91573,2,0,0,2202,80908,7,0,8
91574,2,1,0,2202,33332,5,0,8
91575,3,2,0,2202,76329,5,0,8
91576,2,2,0,2202,106799,7,0,8
91577,4,2,0,2202,141719,1,0,8
91578,2,2,0,2202,14719,5,0,8
91580,2,1,0,2202,74039,7,0,8
91581,2,0,0,2202,133890,1,0,8
91582,2,2,0,2202,111024,5,0,3
91584,4,1,0,2202,61235,1,0,3
91585,2,2,0,2202,83962,5,0,8
91586,4,1,0,2202,158619,7,0,8
91587,2,2,0,2202,44440,7,0,8
91588,3,1,0,2202,9359,1,0,8
91591,2,1,0,2202,112883,3,0,8
91592,2,0,0,2202,22213,5,0,8
91593,3,0,0,2202,41609,1,0,8
91594,3,3,0,2202,6756,1,0,8
91597,3,2,0,2202,132108,1,0,8
91598,2,1,0,2202,1559,5,0,8
91599,3,0,0,2202,87014,7,0,8
91600,2,1,0,2202,137212,1,0,8
91601,2,2,0,2202,13345,7,0,8
91602,3,2,0,2202,97674,1,0,8
91603,3,3,0,2202,38440,7,0,3
91605,3,3,0,2202,103081,1,0,8
91606,4,2,0,2202,99195,7,0,8
91607,2,2,0,2202,46681,1,0,8
91608,1,0,0,2202,48493,4,0,8
91609,3,3,0,2202,38219,1,0,8
91610,2,1,0,2202,156366,3,0,8
91611,5,1,0,2202,98519,1,0,8
91612,3,2,0,2202,45845,1,0,8
91613,3,1,0,2202,5643,7,0,8
91614,3,0,0,2202,37115,2,0,8
91615,1,0,0,2202,16731,4,0,8
91616,2,0,0,2202,37336,1,0,8
91617,2,1,0,2202,1114,5,0,8
91618,1,0,0,2202,7573,6,0,8
91619,2,1,0,2202,159746,5,0,3
91620,2,2,0,2202,78619,1,0,8
91621,3,2,0,2202,85233,1,0,3
91622,3,2,0,2202,132464,3,0,8
91623,2,1,0,2202,29689,1,0,8
91624,3,1,0,2202,49887,5,0,8
91625,2,2,0,2202,52953,1,0,8
91626,2,0,0,2202,38550,7,0,8
91627,3,2,0,2202,48632,1,0,8
91628,2,0,0,2202,3044,1,0,8
91629,2,1,0,2202,61617,7,0,8
91630,3,3,0,2202,56833,5,0,8
91631,2,2,0,2202,74547,7,0,8
91632,2,1,0,2202,12137,1,0,8
91633,4,0,0,2202,104095,3,0,8
91634,3,2,0,2202,71748,1,0,8
91635,2,2,0,2202,132820,7,0,8
91636,3,2,0,2202,112207,1,0,8
91637,2,1,0,2202,219712,1,0,8
91638,2,2,0,2202,39434,1,0,8
91639,3,2,0,2202,817,5,0,8
91640,1,1,0,2202,223,4,0,8
91641,2,2,0,2202,136086,7,0,8
91642,3,2,0,2202,98350,1,0,8
