TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
2185,1,1,1,0,0,149.23149999999998,0.0,113.94058787,747,0,0,356,0,391,0,0,0.0,0.0,5,0,519.0,173.0,1,0.0
2186,1,1,1,0,0,34.9477,0.0,32.3881042,1016,0,13,143,0,511,0,349,0.0,0.0,5,0,0.0,0.0,1,0.0
2187,1,1,1,43,123,1440.2808,359.00423321,591.81403007,3,22,0,0,0,1,2,0,0.0,0.0,5,0,0.0,0.0,1,0.0
2188,1,1,1,0,0,24.7373,0.0,20.24559993,427,0,86,139,19,157,0,26,0.0,0.0,5,0,0.0,0.0,1,0.0
2189,1,1,1,0,0,31.493,0.0,25.05382102,392,0,83,211,13,44,0,41,0.0,0.0,5,0,0.0,0.0,1,0.0
2190,1,1,1,0,0,21.8202,0.0,18.26947742,650,0,0,142,0,375,0,133,0.0,0.0,5,0,0.0,0.0,1,0.0
2191,1,1,1,0,0,27.6437,0.0,27.6437678,732,0,187,50,52,178,0,265,0.0,0.0,5,0,0.0,0.0,1,0.0
2192,1,1,1,115,345,174.5488,134.44316694999998,0.34223916,10,94,0,8,0,2,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
2193,1,1,1,510,1990,126.8572,74.37043311,40.62570911,253,619,0,0,0,253,0,0,0.0,0.0,5,0,0.0,0.0,1,3.0
2194,1,1,1,0,0,38.0404,0.0,31.11251535,1308,0,21,475,182,456,0,174,0.0,0.0,5,0,0.0,0.0,1,0.0
2195,1,1,1,0,0,195.5881,0.0,155.56747105,1209,0,380,193,91,328,0,217,0.0,0.0,5,0,0.0,0.0,1,0.0
2196,1,1,1,0,0,23.0614,0.0,4.62030484,850,0,20,259,15,423,0,133,0.0,0.0,5,0,0.0,0.0,1,0.0
2197,1,1,1,0,0,43.7499,0.2476120425,35.9124636075,508,0,136,93,48,130,3,98,0.0,0.0,5,0,0.0,0.0,1,0.0
