MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,access_dist_transit
14751,334,1,1,1,62,180,18.038,5.08267202,0.0,3,34,0,0,2,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14752,334,1,1,1,112,342,29.1621,12.22558136,0.0,2,86,0,0,0,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14753,340,1,1,1,96,335,15.1374,10.37315508,0.0,1,76,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14754,334,1,1,1,104,299,27.139,11.2656113,0.0,10,68,0,0,8,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14755,340,1,1,1,274,809,35.7806,25.15392053,0.0,8,178,0,0,3,5,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14756,340,1,1,1,136,427,20.1045,15.30086607,0.0,8,96,0,3,0,5,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14774,339,1,1,1,159,510,32.2432,19.53872075,0.0,5,129,0,0,3,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14775,339,1,1,1,151,480,51.7444,21.94713527,0.0,28,115,0,12,3,13,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14776,339,1,1,1,0,0,41.1808,0.0,22.09013025,575,0,415,33,0,127,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14939,333,1,1,1,0,0,9.2869,0.0,8.57299589,213,0,30,7,0,176,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14940,333,1,1,1,536,1545,150.6795,88.8460865125,7.4409401575,45,291,0,16,19,10,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14941,341,1,1,1,366,1033,97.9033,31.88966572,4.46610252,22,220,0,5,3,14,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14944,341,1,1,1,165,485,30.3699,9.1988806575,3.0662935525,89,97,0,9,69,11,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14959,343,1,1,1,103,273,26.8478,13.77333588,0.0,3,50,0,1,0,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14960,349,1,1,1,32,82,18.0901,11.85898026,0.0,4,15,0,2,0,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14961,349,1,1,1,78,241,25.3258,21.10174476,0.0,10,54,0,1,8,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14962,343,1,1,1,77,221,23.5734,11.8363876,0.0,1,39,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14963,343,1,1,1,63,194,13.781,8.72223843,0.0,4,44,0,0,3,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14964,349,1,1,1,22,60,25.5121,5.31472603,0.0,0,9,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14965,349,1,1,1,0,9,36.4928,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14966,343,1,1,1,76,218,39.4447,10.09527489,0.0,8,39,0,7,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
14967,349,1,1,1,65,212,22.5527,16.29590269,0.0,4,49,0,0,3,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15065,344,1,1,1,0,0,65.698,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15067,344,1,1,1,1,2,28.9336,0.0,1.0,24,0,2,0,0,0,0,22,0.0,0,5,0,0,0.0,1,0.0,0.333
15073,344,1,1,1,0,30,239.6365,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15076,344,1,1,1,134,398,53.9655,24.86801427,0.0,27,69,0,8,15,4,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15078,344,1,1,1,0,0,104.1846,0.0,1.0,6,0,6,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15278,335,1,1,1,26,73,13.9552,4.18194936,0.0,0,6,0,0,0,0,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15279,335,1,1,1,49,133,12.587,7.92107472,0.0,1,30,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15280,335,1,1,1,81,264,12.3603,5.32361594,0.0,1,63,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15281,335,1,1,1,64,205,20.1692,6.0065610525,2.0021870175,6,39,0,0,5,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15283,335,1,1,1,59,185,12.2169,9.44949634,0.0,1,37,0,0,0,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15284,335,1,1,1,54,156,10.93,6.2596071375,2.0865357125,4,28,0,0,3,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15291,336,1,1,1,111,313,25.3961,18.8929855,0.0,3,62,0,0,2,1,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15292,336,1,1,1,168,418,47.509,27.10384074,0.0,2,75,0,0,0,2,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15293,336,1,1,1,486,1306,76.0808,69.40812579,0.0,13,254,0,1,5,7,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
15294,336,1,1,1,322,987,52.5815,46.2843038825,0.7145539075,11,204,0,2,2,7,0,0,0.0,0,5,0,0,0.0,1,0.0,0.333
