OMAZ,DMAZ,DISTWALK
14751,14751,0.1747
14751,14752,0.43635
14751,14753,1.3276
14751,14754,0.702
14751,14755,1.00795
14751,14756,0.75765
14751,14774,0.47685
14751,14775,0.5121
14751,14776,0.7197
14751,14939,0.9982
14751,14940,1.20695
14751,14941,2.2311
14751,14944,2.11995
14751,14959,1.3632
14751,14960,1.9766
14751,14961,1.78645
14751,14962,1.58915
14751,14963,1.7289
14751,14964,2.2743
14751,14965,2.5673
14751,14966,1.83245
14751,14967,2.3626
14751,15279,2.97245
14751,15280,2.87745
14751,15281,2.8027
14751,15284,2.9867
14751,15291,2.7059
14751,15292,2.57255
14751,15293,2.49455
14751,15294,2.1438
14751,15295,1.9505
14751,15296,2.28715
14751,15297,2.3011500000000003
14751,15298,2.8417000000000003
14751,15299,2.70105
14751,17047,2.7960000000000003
14751,17048,2.7491
14751,17068,2.34005
14751,17069,2.47195
14751,17070,2.73745
14751,17072,2.59135
14752,14751,0.43635
14752,14752,0.1691
14752,14753,1.6098500000000002
14752,14754,0.9842
14752,14755,1.2902
14752,14756,1.0398999999999998
14752,14774,0.75905
14752,14775,0.7943
14752,14776,1.0019
14752,14939,1.28045
14752,14940,1.4892
14752,14941,2.51335
14752,14944,2.4022
14752,14959,1.6454
14752,14960,2.2588
14752,14961,2.06865
14752,14962,1.8714
14752,14963,2.01115
14752,14964,2.55655
14752,14965,2.84955
14752,14966,2.11465
14752,14967,2.6448
14752,15291,2.9881
14752,15292,2.8548
14752,15293,2.7768
14752,15294,2.42605
14752,15295,2.23275
14752,15296,2.56935
14752,15297,2.5834
14752,15299,2.98325
14752,17068,2.6223
14752,17069,2.75415
14752,17072,2.87355
14753,14751,1.3276
14753,14752,1.6098500000000002
14753,14753,0.1647
14753,14754,1.43925
14753,14755,0.66935
14753,14756,0.91965
14753,14774,1.53255
14753,14775,1.3983
14753,14776,0.95765
14753,14939,0.3294
14753,14940,0.47035
14753,14941,1.6956
14753,14944,1.78985
14753,14959,0.82765
14753,14960,1.4411
14753,14961,1.25095
14753,14962,1.05365
14753,14963,1.1934
14753,14964,1.7388
14753,14965,2.0318
14753,14966,1.29695
14753,14967,1.8271
14753,15281,2.92925
14753,15291,2.83245
14753,15292,2.55765
14753,15293,2.6211
14753,15294,2.27035
14753,15295,2.0771
14753,15296,2.4137
14753,15297,2.4277
14753,15298,2.9682500000000003
14753,15299,2.8276
14753,17047,2.2605
14753,17048,2.2136
14753,17068,1.80455
14753,17069,1.9364
14753,17070,2.20195
14753,17072,2.05585
14754,14751,0.702
14754,14752,0.9842
14754,14753,1.43925
14754,14754,0.2115
14754,14755,0.76985
14754,14756,0.51955
14754,14774,0.60675
14754,14775,0.42295
14754,14776,0.4816
14754,14939,1.27125
14754,14940,0.9689
14754,14941,2.50415
14754,14944,1.8819
14754,14959,1.6362
14754,14960,2.2496
14754,14961,2.0595
14754,14962,1.8622
14754,14963,2.00195
14754,14964,2.4407
14754,14965,2.84035
14754,14966,2.1055
14754,14967,2.4126000000000003
14754,15278,2.89645
14754,15279,2.7344
14754,15280,2.63935
14754,15281,2.5646
14754,15283,2.9507000000000003
14754,15284,2.7486
14754,15291,2.4678
14754,15292,2.3345
14754,15293,2.25645
14754,15294,1.9057
14754,15295,1.71245
14754,15296,2.0490500000000003
14754,15297,2.06305
14754,15298,2.6036
14754,15299,2.46295
14754,17068,2.6131
14754,17069,2.74495
14754,17072,2.86435
14755,14751,1.00795
14755,14752,1.2902
14755,14753,0.66935
14755,14754,0.76985
14755,14755,0.0995
14755,14756,0.2503
14755,14774,0.9127
14755,14775,0.72895
14755,14776,0.28825
14755,14939,0.6354
14755,14940,0.199
14755,14941,2.00155
14755,14944,1.6261
14755,14959,1.1336499999999998
14755,14960,1.7470500000000002
14755,14961,1.5569000000000002
14755,14962,1.3596
14755,14963,1.4994
14755,14964,2.0448
14755,14965,2.33775
14755,14966,1.6029
14755,14967,2.13305
14755,15278,2.816
14755,15279,2.6539
14755,15280,2.5589
14755,15281,2.48415
14755,15283,2.87025
14755,15284,2.66815
14755,15291,2.38735
14755,15292,2.11255
14755,15293,2.176
14755,15294,1.82525
14755,15295,1.6319500000000002
14755,15296,1.9686
14755,15297,1.9826
14755,15298,2.52315
14755,15299,2.3825
14755,17047,2.56645
14755,17048,2.51955
14755,17068,2.1105
14755,17069,2.2424
14755,17070,2.5079
14755,17072,2.3618
14756,14751,0.75765
14756,14752,1.0398999999999998
14756,14753,0.91965
14756,14754,0.51955
14756,14755,0.2503
14756,14756,0.019
14756,14774,0.6624
14756,14775,0.47865
14756,14776,0.03795
14756,14939,0.8856999999999999
14756,14940,0.4493
14756,14941,2.25185
14756,14944,1.4382
14756,14959,1.38395
14756,14960,1.99735
14756,14961,1.8072
14756,14962,1.60995
14756,14963,1.7497
14756,14964,1.997
14756,14965,2.3477
14756,14966,1.8532
14756,14967,1.96895
14756,15278,2.62815
14756,15279,2.46605
14756,15280,2.371
14756,15281,2.29625
14756,15283,2.68235
14756,15284,2.48025
14756,15291,2.19945
14756,15292,1.92465
14756,15293,1.98815
14756,15294,1.63735
14756,15295,1.4441000000000002
14756,15296,1.7807
14756,15297,1.79475
14756,15298,2.33525
14756,15299,2.1946000000000003
14756,17047,2.81675
14756,17048,2.63395
14756,17068,2.3608
14756,17069,2.4927
14756,17070,2.7582
14756,17072,2.47695
14774,14751,0.47685
14774,14752,0.75905
14774,14753,1.53255
14774,14754,0.60675
14774,14755,0.9127
14774,14756,0.6624
14774,14774,0.1273
14774,14775,0.3557
14774,14776,0.6244500000000001
14774,14939,1.2031
14774,14940,1.11175
14774,14941,2.436
14774,14944,2.0247
14774,14959,1.5680999999999998
14774,14960,2.1815
14774,14961,1.99135
14774,14962,1.79405
14774,14963,1.93385
14774,14964,2.47925
14774,14965,2.7722
14774,14966,2.03735
14774,14967,2.5675
14774,15279,2.87725
14774,15280,2.7822
14774,15281,2.70745
14774,15284,2.89145
14774,15291,2.61065
14774,15292,2.4773
14774,15293,2.3993
14774,15294,2.04855
14774,15295,1.85525
14774,15296,2.1919
14774,15297,2.2059
14774,15298,2.7464500000000003
14774,15299,2.6058
14774,17048,2.954
14774,17068,2.54495
14774,17069,2.67685
14774,17070,2.94235
14774,17072,2.79625
14775,14751,0.5121
14775,14752,0.7943
14775,14753,1.3983
14775,14754,0.42295
14775,14755,0.72895
14775,14756,0.47865
14775,14774,0.3557
14775,14775,0.17785
14775,14776,0.4407
14775,14939,1.2303000000000002
14775,14940,0.92795
14775,14941,2.4632
14775,14944,1.84095
14775,14959,1.5953
14775,14960,2.2087
14775,14961,2.0185500000000003
14775,14962,1.82125
14775,14963,1.96105
14775,14964,2.39975
14775,14965,2.7994
14775,14966,2.06455
14775,14967,2.3717
14775,15278,2.85555
14775,15279,2.69345
14775,15280,2.59845
14775,15281,2.52365
14775,15283,2.9098
14775,15284,2.70765
14775,15291,2.4269
14775,15292,2.29355
14775,15293,2.21555
14775,15294,1.8648
14775,15295,1.6715
14775,15296,2.0081
14775,15297,2.02215
14775,15298,2.5627
14775,15299,2.42205
14775,17048,2.9812000000000003
14775,17068,2.57215
14775,17069,2.70405
14775,17070,2.96955
14775,17072,2.82345
14776,14751,0.7197
14776,14752,1.0019
14776,14753,0.95765
14776,14754,0.4816
14776,14755,0.28825
14776,14756,0.03795
14776,14774,0.6244500000000001
14776,14775,0.4407
14776,14776,0.019
14776,14939,0.92365
14776,14940,0.4872499999999999
14776,14941,2.27445
14776,14944,1.40025
14776,14959,1.4065
14776,14960,2.0199000000000003
