HHID,PERSONS,workers,VEHICL,MAZ,income,HHT,unittype,bldgsz
6913,2,2,0,100961,56004,1,0,2
6961,2,1,0,101015,38849,3,0,2
6972,4,2,0,100995,17002,3,0,8
7011,1,0,0,100543,16105,6,0,8
7070,2,1,0,100689,16906,3,0,8
7318,3,1,0,100924,58887,3,0,8
8302,2,1,0,100560,104751,5,0,8
8363,3,0,0,101004,8386,5,0,8
8487,4,1,0,101042,75759,3,0,2
8493,5,1,0,100661,13225,3,0,2
8539,1,1,0,100954,53351,4,0,2
10239,5,1,0,100984,1312,1,0,8
11076,5,2,0,100516,61714,1,0,3
11077,3,2,0,100514,313863,1,0,8
11078,3,2,0,100502,1716,1,0,8
11079,2,2,0,100515,175434,1,0,8
11080,2,2,0,100508,20473,1,0,2
11082,3,2,0,100502,32963,3,0,8
11083,3,2,0,100505,70365,1,0,8
11085,4,2,0,100515,37865,1,0,8
11086,2,1,0,100510,67462,1,0,8
11087,5,2,0,100504,43334,1,0,8
11089,3,1,0,100517,74857,3,0,8
11090,2,1,0,100504,173674,1,0,8
11091,3,1,0,100505,26437,7,0,8
11092,2,1,0,100514,58265,7,0,8
11093,3,2,0,100506,65424,1,0,8
11094,4,3,0,100504,18139,7,0,2
11096,3,2,0,100502,37329,1,0,8
11097,6,2,0,100508,104986,1,0,8
11100,3,2,0,100514,35297,1,0,8
11101,2,2,0,100502,13401,7,0,8
11103,6,2,0,100509,26868,1,0,8
11104,2,0,0,100514,29202,3,0,8
11106,2,1,0,100510,15947,5,0,3
11108,5,2,0,100505,20193,1,0,2
11111,2,2,0,100504,57638,1,0,8
11112,3,2,0,100517,31059,7,0,2
11113,5,2,0,100509,33616,1,0,8
11114,3,1,0,100509,32636,1,0,2
11115,2,1,0,100502,44047,5,0,8
11117,3,1,0,100505,4795,2,0,8
11119,2,2,0,100508,22434,5,0,2
11121,3,1,0,100515,41938,7,0,8
11123,3,3,0,100509,128529,2,0,8
11124,3,3,0,100504,25214,1,0,8
11126,2,0,0,100514,307115,3,0,8
11128,2,2,0,100513,50626,5,0,8
11129,7,1,0,100516,66208,1,0,8
11130,2,1,0,100511,4263,7,0,8
11133,2,2,0,100514,87769,5,0,8
11134,4,1,0,100509,70739,1,0,8
11135,2,1,0,100504,38321,1,0,8
