MAZ,TAZ
100500,3397
100501,3396
100502,3396
100503,3397
100504,3396
100505,3396
100506,3397
100507,3396
100508,3396
100509,3396
100510,3396
100511,3396
100512,3396
100513,3395
100514,3395
100515,3395
100516,3395
100517,3395
100518,3395
100519,3315
100520,3315
100521,3315
100522,3315
100523,3315
100524,3314
100525,3315
100526,3315
100527,3314
100528,3315
100529,3315
100530,3314
100531,3315
100532,3314
100533,3314
100534,3314
100535,3314
100536,3314
100537,3314
100538,3314
100539,3314
100540,3314
100541,3314
100542,3314
100543,3314
100544,3277
100545,3277
100546,3277
100547,3277
100548,3277
100549,3277
100550,3277
100551,3261
100552,3261
100553,3290
100554,3290
100555,3259
100556,3289
100557,3289
100558,3289
100559,3259
100560,3259
100561,3261
100562,3261
100563,3261
100564,3259
100565,3259
100566,3148
100567,3148
100568,3148
100569,3148
100570,3148
100571,3148
100572,3134
100573,3148
100574,3134
100575,3134
100576,3134
100577,3134
100578,3134
100579,3134
100580,3134
100581,3134
100582,3148
100583,3148
100584,3134
100585,3134
100586,3129
100587,3208
100588,3208
100589,3208
100590,3135
100591,3135
100592,3129
100593,3129
100594,3115
100595,3115
100596,3129
100597,3135
100598,3135
100599,3129
100600,3208
100601,3129
100602,3129
100603,3208
100604,3208
100605,3208
100606,3274
100607,3129
100608,3208
100609,3281
100610,3274
100611,3274
100612,3281
100613,3281
100614,3184
100615,3184
100616,3286
100617,3184
100618,3286
100619,3184
100620,3184
100621,3252
100622,3286
100623,3252
100624,3252
100625,3286
100626,3272
100627,3272
100628,3272
100629,3272
100630,3272
100631,3272
100632,3272
100633,3272
100634,3272
100635,3272
100636,3272
100637,3342
100638,3342
100639,3342
100640,3342
100641,3342
100642,3342
100643,3342
100644,3342
100645,3342
100646,3342
100647,3342
100648,3342
100649,3342
100650,3342
100651,3342
100652,3317
100653,3317
100654,3317
100655,3317
100656,3317
100657,3317
100658,3317
100659,3317
100660,3317
100661,3317
100662,3317
100663,3317
100664,3317
100665,3317
100666,3317
100667,3398
100668,3398
100669,3398
100670,3398
100671,3398
100672,3398
100673,3398
100674,3398
100675,3398
100676,3398
100677,3398
100678,3398
100679,3402
100680,3402
100681,3402
100682,3402
100683,3402
100684,3402
100685,3402
100686,3402
100687,3402
100688,3400
100689,3400
100690,3400
100691,3400
100692,3400
100693,3400
100694,3400
100695,3400
100696,3400
100697,3399
100698,3399
100699,3399
100700,3399
100701,3399
100702,3399
100703,3399
100704,3399
100705,3343
100706,3343
100707,3343
100708,3343
100709,3343
100710,3340
100711,3343
100712,3340
100713,3340
100714,3340
100715,3340
100716,3340
100717,3340
100718,3340
100719,3340
100720,3383
100721,3383
100722,3383
100723,3383
100724,3383
100725,3383
100726,3383
100727,3383
100728,3383
100729,3383
100730,3383
100731,3383
100732,3433
100733,3433
100734,3433
100735,3433
100736,3464
100737,3464
100738,3464
100739,3464
100740,3464
100741,3464
100742,3497
100743,3497
100744,3497
100745,3497
100746,3497
100747,3497
100748,3493
100749,3493
100750,3493
100751,3493
100752,3497
100753,3497
100754,3497
100755,3493
100756,3493
100757,3493
100758,3493
100759,3493
100760,3493
100761,3498
100762,3498
100763,3498
100764,3498
100765,3536
100766,3536
100767,3536
100768,3536
100769,3536
100770,3536
100771,3498
100772,3498
100773,3498
100774,3536
100775,3536
100776,3536
100777,3536
100778,3536
100779,3536
100780,3595
100781,3595
100782,3655
100783,3655
100784,3655
100785,3655
100786,3655
100787,3655
100788,3655
100789,3655
100790,3655
100791,3655
100792,3592
100793,3592
100794,3592
100795,3595
100796,3595
100797,3592
100798,3595
100799,3595
100800,3595
100801,3595
100802,3595
100803,3595
100804,3595
100805,3595
100806,3595
100807,3761
100808,3761
100809,3761
100810,3761
100811,3822
100812,3761
100813,3761
100814,3761
100815,3822
100816,3822
100817,3822
100818,3654
100819,3654
100820,3654
100821,3654
100822,3654
100823,3713
100824,3713
100825,3713
100826,3713
100827,3746
100828,3746
100829,3746
100830,3713
100831,3654
100832,3654
100833,3654
100834,3713
100835,3713
100836,3713
100837,3713
100838,3654
100839,3654
100840,3654
100841,3540
100842,3540
100843,3540
100844,3597
100845,3597
100846,3597
100847,3597
100848,3597
100849,3597
100850,3501
100851,3501
100852,3501
100853,3501
100854,3540
100855,3540
100856,3540
100857,3540
100858,3540
100859,3540
100860,3540
100861,3540
100862,3540
100863,3597
100864,3597
100865,3597
100866,3597
100867,3597
100868,3597
100869,3597
100870,3661
100871,3661
100872,3661
100873,3661
100874,3661
100875,3698
100876,3698
100877,3698
100878,3661
100879,3661
100880,3661
100881,3661
100882,3661
100883,3698
100884,3698
100885,3661
100886,3698
100887,3698
100888,3698
100889,3698
100890,3698
100891,3698
100892,3698
100893,3698
100894,3698
100895,3316
100896,3316
100897,3316
100898,3316
100899,3316
100900,3316
100901,3316
100902,3316
100903,3376
100904,3376
100905,3376
100906,3376
100907,3376
100908,3412
100909,3410
100910,3412
100911,3347
100912,3347
100913,3347
100914,3347
100915,3347
100916,3410
100917,3412
100918,3412
100919,3410
100920,3410
100921,3442
100922,3442
100923,3460
100924,3460
100925,3442
100926,3460
100927,3442
100928,3460
100929,3460
100930,3548
100931,3548
100932,3460
100933,3548
100934,3525
100935,3519
100936,3519
100937,3519
100938,3519
100939,3519
100940,3460
100941,3460
100942,3548
100943,3574
100944,3548
100945,3548
100946,3574
100947,3574
