PERID,household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ
17460,6913,46,1,2,1,3,1,13
17461,6913,51,2,1,2,3,2,9
17588,6961,36,1,2,1,3,1,9
17589,6961,61,2,2,3,3,4,1
17613,6972,34,1,1,2,3,2,1
17614,6972,40,2,2,2,3,2,1
17615,6972,4,3,2,4,3,8,1
17616,6972,1,4,1,4,3,8,1
17721,7011,62,1,2,3,3,4,9
17865,7070,22,1,2,2,2,3,9
17866,7070,63,2,2,3,3,4,9
18493,7318,18,1,1,2,1,6,1
18494,7318,18,2,2,3,1,6,1
18495,7318,59,3,2,3,3,4,1
21134,8302,37,1,2,3,2,3,13
21135,8302,43,2,1,1,3,1,13
21306,8363,11,1,2,4,1,7,1
21307,8363,47,2,2,3,3,4,1
21308,8363,34,3,1,3,3,4,13
21637,8487,11,1,1,4,1,7,1
21638,8487,10,2,2,4,1,7,1
21639,8487,16,3,1,3,1,6,1
21640,8487,45,4,2,1,3,1,13
21656,8493,12,1,2,4,1,7,1
21657,8493,12,2,2,4,1,7,1
21658,8493,10,3,1,4,1,7,1
21659,8493,34,4,1,1,3,1,9
21660,8493,45,5,2,3,3,4,9
21771,8539,57,1,1,1,3,1,9
26333,10239,11,1,1,4,1,7,1
26334,10239,13,2,1,4,1,7,1
26335,10239,7,3,1,4,1,7,1
26336,10239,56,4,1,3,3,4,1
26337,10239,46,5,2,1,3,1,1
28647,11076,10,1,1,4,1,7,1
28648,11076,10,2,2,4,1,7,1
28649,11076,42,3,1,1,3,1,13
28650,11076,33,4,2,2,3,2,9
28651,11076,1,5,1,4,3,8,1
28652,11077,33,1,1,1,3,1,13
28653,11077,40,2,2,1,3,1,13
28654,11077,5,3,2,4,1,8,1
28655,11078,49,1,1,1,3,1,13
28656,11078,36,2,2,2,3,2,13
28657,11078,5,3,1,4,1,8,1
28658,11079,46,1,2,1,3,1,13
28659,11079,56,2,1,1,3,1,13
28660,11080,46,1,2,1,3,1,9
28661,11080,57,2,1,1,3,1,1
28664,11082,8,1,2,4,1,7,1
28665,11082,32,2,1,1,3,1,13
28666,11082,46,3,2,2,3,2,1
28667,11083,10,1,2,4,1,7,1
28668,11083,60,2,2,1,3,1,13
28669,11083,51,3,1,1,3,1,1
28673,11085,16,1,2,3,1,6,1
28674,11085,16,2,1,3,1,6,1
28675,11085,57,3,2,1,3,1,9
28676,11085,59,4,1,1,3,1,9
28677,11086,49,1,2,3,3,4,9
28678,11086,50,2,1,1,3,1,9
28679,11087,13,1,1,4,1,7,1
28680,11087,11,2,1,4,1,7,1
28681,11087,12,3,1,4,1,7,1
28682,11087,40,4,2,2,3,2,9
28683,11087,35,5,1,1,3,1,9
28688,11089,42,1,2,3,3,4,13
28689,11089,45,2,2,1,3,1,9
28690,11089,6,3,1,4,1,7,1
28691,11090,66,1,1,1,3,1,13
28692,11090,72,2,2,3,3,5,1
28693,11091,68,1,2,3,3,5,9
28694,11091,46,2,1,1,3,1,9
28695,11091,68,3,2,3,3,5,9
28696,11092,69,1,1,3,3,5,1
28697,11092,47,2,2,1,3,1,13
28698,11093,41,1,1,1,3,1,9
28699,11093,36,2,2,1,3,1,9
28700,11093,0,3,1,4,3,8,1
28701,11094,18,1,2,3,2,3,9
28702,11094,21,2,1,2,3,2,9
28703,11094,58,3,1,1,3,1,9
28704,11094,60,4,2,2,3,2,13
