TAP,MAZ
3,101072
73,100895
1238,100653
1333,100671
1478,100595
1485,100594
1487,101075
1500,101071
1516,101073
1551,100620
1558,100555
1559,100563
1562,100628
1584,100915
1588,100972
1592,100969
1603,100501
1604,100500
1605,100716
1606,100662
1607,100648
1608,100704
1611,100639
1612,100681
1618,100983
1633,100921
1638,100921
1652,100678
1653,100771
1658,100703
1660,100853
1662,100739
1663,100981
1664,100999
1665,100511
1666,101016
1673,100920
1681,100518
1682,100910
1694,100778
1695,100841
1698,100859
1712,100945
1717,100929
1718,100937
1730,100804
1747,100949
1748,100771
1754,100818
1762,101039
1767,100881
1773,100838
1784,100835
1798,100954
1817,100812
1823,101054
1835,101058
1840,100814
1857,101059
2043,101071
