Description,value,coefficient_name
,-1.2037353125293453,coef_asc_dur_0_4_stops_0out_0in
,-2.601057519152754,coef_asc_dur_0_4_stops_0out_1in
,-2.1066352496031784,coef_asc_dur_0_4_stops_0out_2in
,-4.358655089430798,coef_asc_dur_0_4_stops_0out_3in
,-1.5954783717880598,coef_asc_dur_0_4_stops_1out_0in
,-2.8644368187764724,coef_asc_dur_0_4_stops_1out_1in
,-3.8864473681846765,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-1.8530163344932644,coef_asc_dur_0_4_stops_2out_0in
,-4.358655089430798,coef_asc_dur_0_4_stops_2out_1in
,-999.0,coef_asc_dur_0_4_stops_2out_2in
,-999.0,coef_asc_dur_0_4_stops_2out_3in
,-3.1847768593465817,coef_asc_dur_0_4_stops_3out_0in
,-999.0,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-1.7150951165440376,coef_asc_dur_4_8_stops_0out_0in
,-2.278358384041872,coef_asc_dur_4_8_stops_0out_1in
,-2.741828963765047,coef_asc_dur_4_8_stops_0out_2in
,-2.342859601995185,coef_asc_dur_4_8_stops_0out_3in
,-1.9713279887092705,coef_asc_dur_4_8_stops_1out_0in
,-2.4566768428910395,coef_asc_dur_4_8_stops_1out_1in
,-4.101633079047592,coef_asc_dur_4_8_stops_1out_2in
,-3.0790449935615913,coef_asc_dur_4_8_stops_1out_3in
,-2.189181830110876,coef_asc_dur_4_8_stops_2out_0in
,-2.9379349483058554,coef_asc_dur_4_8_stops_2out_1in
,-4.024840421455564,coef_asc_dur_4_8_stops_2out_2in
,-999.0,coef_asc_dur_4_8_stops_2out_3in
,-2.8779345891160126,coef_asc_dur_4_8_stops_3out_0in
,-3.491478038747112,coef_asc_dur_4_8_stops_3out_1in
,-999.0,coef_asc_dur_4_8_stops_3out_2in
,-999.0,coef_asc_dur_4_8_stops_3out_3in
,-999.0,coef_asc_dur_8_24_stops_0out_0in
,-999.0,coef_asc_dur_8_24_stops_0out_1in
,-1.6619272375708347,coef_asc_dur_8_24_stops_0out_2in
,-999.0,coef_asc_dur_8_24_stops_0out_3in
,-999.0,coef_asc_dur_8_24_stops_1out_0in
,-3.305425517541347,coef_asc_dur_8_24_stops_1out_1in
,-3.830544083450454,coef_asc_dur_8_24_stops_1out_2in
,-999.0,coef_asc_dur_8_24_stops_1out_3in
,-0.8602135516622258,coef_asc_dur_8_24_stops_2out_0in
,-999.0,coef_asc_dur_8_24_stops_2out_1in
,-999.0,coef_asc_dur_8_24_stops_2out_2in
,-2.2068132197865244,coef_asc_dur_8_24_stops_2out_3in
,-2.9473953358856986,coef_asc_dur_8_24_stops_3out_0in
,-2.091717965550952,coef_asc_dur_8_24_stops_3out_1in
,-999.0,coef_asc_dur_8_24_stops_3out_2in
,-3.151868276164312,coef_asc_dur_8_24_stops_3out_3in
