Description,value,coefficient_name
,-1.3778810960959136,coef_asc_dur_0_4_stops_0out_0in
,-2.081181590687414,coef_asc_dur_0_4_stops_0out_1in
,-2.776644407423823,coef_asc_dur_0_4_stops_0out_2in
,-3.9168662148555615,coef_asc_dur_0_4_stops_0out_3in
,-1.4934434620097508,coef_asc_dur_0_4_stops_1out_0in
,-3.306922455730064,coef_asc_dur_0_4_stops_1out_1in
,-2.91178204710852,coef_asc_dur_0_4_stops_1out_2in
,-3.563577026742808,coef_asc_dur_0_4_stops_1out_3in
,-2.2844525457800846,coef_asc_dur_0_4_stops_2out_0in
,-3.4754389211971413,coef_asc_dur_0_4_stops_2out_1in
,-4.208805091022357,coef_asc_dur_0_4_stops_2out_2in
,-5.712882353246434,coef_asc_dur_0_4_stops_2out_3in
,-3.230960147062083,coef_asc_dur_0_4_stops_3out_0in
,-5.028715052383939,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-2.353161160439816,coef_asc_dur_4_8_stops_0out_0in
,-2.225986080345286,coef_asc_dur_4_8_stops_0out_1in
,-2.421837038220042,coef_asc_dur_4_8_stops_0out_2in
,-2.245647816380909,coef_asc_dur_4_8_stops_0out_3in
,-2.097939433633476,coef_asc_dur_4_8_stops_1out_0in
,-2.337778126549412,coef_asc_dur_4_8_stops_1out_1in
,-3.025229861069195,coef_asc_dur_4_8_stops_1out_2in
,-3.797400425421182,coef_asc_dur_4_8_stops_1out_3in
,-2.3570749857995734,coef_asc_dur_4_8_stops_2out_0in
,-3.1628158404699365,coef_asc_dur_4_8_stops_2out_1in
,-3.568630128918044,coef_asc_dur_4_8_stops_2out_2in
,-6.225205048288381,coef_asc_dur_4_8_stops_2out_3in
,-2.5444789757120145,coef_asc_dur_4_8_stops_3out_0in
,-3.2203658594185236,coef_asc_dur_4_8_stops_3out_1in
,-3.9856531840510705,coef_asc_dur_4_8_stops_3out_2in
,-4.83891068716849,coef_asc_dur_4_8_stops_3out_3in
,-2.15997972741569,coef_asc_dur_8_24_stops_0out_0in
,-2.548809059687231,coef_asc_dur_8_24_stops_0out_1in
,-2.2774648840311564,coef_asc_dur_8_24_stops_0out_2in
,-2.4622254753690944,coef_asc_dur_8_24_stops_0out_3in
,-2.1325145324721837,coef_asc_dur_8_24_stops_1out_0in
,-2.8322820488462517,coef_asc_dur_8_24_stops_1out_1in
,-2.859780886479532,coef_asc_dur_8_24_stops_1out_2in
,-2.895310869249963,coef_asc_dur_8_24_stops_1out_3in
,-2.7258381070132,coef_asc_dur_8_24_stops_2out_0in
,-3.3476583967262346,coef_asc_dur_8_24_stops_2out_1in
,-3.924435067356389,coef_asc_dur_8_24_stops_2out_2in
,-999.0,coef_asc_dur_8_24_stops_2out_3in
,-2.9746045637831813,coef_asc_dur_8_24_stops_3out_0in
,-1.94201462248108,coef_asc_dur_8_24_stops_3out_1in
,-999.0,coef_asc_dur_8_24_stops_3out_2in
,-4.280547449644028,coef_asc_dur_8_24_stops_3out_3in
