Description,value,coefficient_name
,-1.2831231602637378,coef_asc_dur_0_4_stops_0out_0in
,-1.924567909531309,coef_asc_dur_0_4_stops_0out_1in
,-2.225512317359708,coef_asc_dur_0_4_stops_0out_2in
,-3.416517913969841,coef_asc_dur_0_4_stops_0out_3in
,-1.683647770547251,coef_asc_dur_0_4_stops_1out_0in
,-2.7053298845207574,coef_asc_dur_0_4_stops_1out_1in
,-999.0,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-2.0916152211417676,coef_asc_dur_0_4_stops_2out_0in
,-3.626956550723976,coef_asc_dur_0_4_stops_2out_1in
,-999.0,coef_asc_dur_0_4_stops_2out_2in
,-999.0,coef_asc_dur_0_4_stops_2out_3in
,-3.3984770650807024,coef_asc_dur_0_4_stops_3out_0in
,-999.0,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-1.5572647769702517,coef_asc_dur_4_8_stops_0out_0in
,-1.7283769278527097,coef_asc_dur_4_8_stops_0out_1in
,-1.9917536982119222,coef_asc_dur_4_8_stops_0out_2in
,-3.8875707631878273,coef_asc_dur_4_8_stops_0out_3in
,-2.377865529138202,coef_asc_dur_4_8_stops_1out_0in
,-1.8485218200995321,coef_asc_dur_4_8_stops_1out_1in
,-2.915846255078643,coef_asc_dur_4_8_stops_1out_2in
,-3.448743589366353,coef_asc_dur_4_8_stops_1out_3in
,-2.66753300662877,coef_asc_dur_4_8_stops_2out_0in
,-4.6217083913122705,coef_asc_dur_4_8_stops_2out_1in
,-999.0,coef_asc_dur_4_8_stops_2out_2in
,-999.0,coef_asc_dur_4_8_stops_2out_3in
,-3.235413979358595,coef_asc_dur_4_8_stops_3out_0in
,-999.0,coef_asc_dur_4_8_stops_3out_1in
,-999.0,coef_asc_dur_4_8_stops_3out_2in
,-999.0,coef_asc_dur_4_8_stops_3out_3in
,-1.549577497843755,coef_asc_dur_8_24_stops_0out_0in
,-1.5938020274938276,coef_asc_dur_8_24_stops_0out_1in
,-3.9933762923689673,coef_asc_dur_8_24_stops_0out_2in
,-2.4836870817634957,coef_asc_dur_8_24_stops_0out_3in
,-2.453189692602164,coef_asc_dur_8_24_stops_1out_0in
,-4.196537765779436,coef_asc_dur_8_24_stops_1out_1in
,-999.0,coef_asc_dur_8_24_stops_1out_2in
,-2.5550113662884626,coef_asc_dur_8_24_stops_1out_3in
,-2.642688576619658,coef_asc_dur_8_24_stops_2out_0in
,-2.09720292940376,coef_asc_dur_8_24_stops_2out_1in
,-999.0,coef_asc_dur_8_24_stops_2out_2in
,-999.0,coef_asc_dur_8_24_stops_2out_3in
,-2.4860526622094556,coef_asc_dur_8_24_stops_3out_0in
,-3.6240846033316156,coef_asc_dur_8_24_stops_3out_1in
,-999.0,coef_asc_dur_8_24_stops_3out_2in
,-999.0,coef_asc_dur_8_24_stops_3out_3in
