Description,value,coefficient_name
,-1.0384488955295639,coef_asc_dur_0_4_stops_0out_0in
,-2.1320873035474572,coef_asc_dur_0_4_stops_0out_1in
,-1.4332750658196782,coef_asc_dur_0_4_stops_0out_2in
,-999.0,coef_asc_dur_0_4_stops_0out_3in
,-3.4141603938594556,coef_asc_dur_0_4_stops_1out_0in
,-4.182244571804801,coef_asc_dur_0_4_stops_1out_1in
,-3.192765894429623,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-3.0579514460180643,coef_asc_dur_0_4_stops_2out_0in
,-3.975222306856936,coef_asc_dur_0_4_stops_2out_1in
,-999.0,coef_asc_dur_0_4_stops_2out_2in
,-999.0,coef_asc_dur_0_4_stops_2out_3in
,-3.5008077931271107,coef_asc_dur_0_4_stops_3out_0in
,-4.828622242468477,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-1.02456178148345,coef_asc_dur_4_8_stops_0out_0in
,-2.3180849185670778,coef_asc_dur_4_8_stops_0out_1in
,-2.7345166996396055,coef_asc_dur_4_8_stops_0out_2in
,-2.683474355368126,coef_asc_dur_4_8_stops_0out_3in
,-2.6080011411544852,coef_asc_dur_4_8_stops_1out_0in
,-3.479710540430815,coef_asc_dur_4_8_stops_1out_1in
,-4.454756151343643,coef_asc_dur_4_8_stops_1out_2in
,-3.1474465524470476,coef_asc_dur_4_8_stops_1out_3in
,-2.5819038450248364,coef_asc_dur_4_8_stops_2out_0in
,-4.032960184835074,coef_asc_dur_4_8_stops_2out_1in
,-3.534909606302636,coef_asc_dur_4_8_stops_2out_2in
,-5.119337459327102,coef_asc_dur_4_8_stops_2out_3in
,-5.1479033319035885,coef_asc_dur_4_8_stops_3out_0in
,-4.277901078834334,coef_asc_dur_4_8_stops_3out_1in
,-5.1479033319035885,coef_asc_dur_4_8_stops_3out_2in
,-999.0,coef_asc_dur_4_8_stops_3out_3in
,-1.2679752953874528,coef_asc_dur_8_24_stops_0out_0in
,-2.6640337389784126,coef_asc_dur_8_24_stops_0out_1in
,-2.6534501356305205,coef_asc_dur_8_24_stops_0out_2in
,-2.8667766786256257,coef_asc_dur_8_24_stops_0out_3in
,-2.352489480662956,coef_asc_dur_8_24_stops_1out_0in
,-2.425008999334794,coef_asc_dur_8_24_stops_1out_1in
,-4.033853641235615,coef_asc_dur_8_24_stops_1out_2in
,-3.836717986370441,coef_asc_dur_8_24_stops_1out_3in
,-2.518490831014295,coef_asc_dur_8_24_stops_2out_0in
,-3.4473370974046693,coef_asc_dur_8_24_stops_2out_1in
,-3.587989834752919,coef_asc_dur_8_24_stops_2out_2in
,-999.0,coef_asc_dur_8_24_stops_2out_3in
,-3.4272018991205444,coef_asc_dur_8_24_stops_3out_0in
,-3.9280381657876844,coef_asc_dur_8_24_stops_3out_1in
,-4.787272838915522,coef_asc_dur_8_24_stops_3out_2in
,-999.0,coef_asc_dur_8_24_stops_3out_3in
