Unnamed: 0,TAP,LINES
1,3,955102 856203 115108 115208 11110 14206 215101 14106 936203
41,73,936203 856203 1215 215201 856103 936103 1211 1111 215101 1115
143,209,7212 7112 7211 7210 7111 10204 10104 7110
545,820,907102 906104
660,1013,6110 1215 215201 6210 1211 1111 215101 1115
767,1177,6210 6110
770,1181,2114 2214
809,1238,60208 235101
871,1333,60208 235101
964,1449,14206 13109 14106 13209 18102
966,1451,115108 14206 14106 115208
971,1458,13209
974,1461,530113 530213
976,1464,14206 14106
978,1466,530113 530213
985,1478,18102
986,1479,18102
988,1483,530113 530213
990,1485,18102
991,1487,115108 14206 14106 115208
998,1496,955202 917104 916103 955102 917103 916102
1002,1500,530113 530213
1013,1516,11110 11210 955102 955202
1014,1517,955102 11210 856103 115108 955202 936103 115208 11110 215201
1017,1520,14206 14106
1018,1521,11110 11210 955102 955202
1024,1529,1215 1211 1111 14206 14106 1115
1026,1531,2114 6210 2214 6110
1031,1539,856203 215201 856103 936103 215101 936203
1035,1543,1215 1111 1115 1211
1040,1551,11110 11210 13209 13109
1044,1558,11110 11210
1045,1559,11110 11210
1046,1561,1215 1111 1115 1211
1047,1562,11110 11210
1048,1563,11110 11210
1049,1565,11110 2114 11210 2214
1050,1566,955102 955202
1060,1581,1215 215201 1211 1111 215101 1115
1062,1583,1215 215201 1211 1111 215101 1115
1063,1584,955102 1215 215201 955202 1211 1111 215101 1115
1065,1586,1215 215201 1211 1111 215101 1115
1067,1588,1215 215201 1211 1111 215101 1115
1071,1592,1215 215201 1211 1111 215101 1115
1077,1599,6110 1215 215201 6210 1211 1111 215101 1115
1079,1601,2214 6110 1215 215201 6210 2114 1211 1111 215101 1115
1080,1602,1215 215201 1211 1111 215101 1115
1081,1603,1215 215201 1211 1111 215101 1115
1082,1604,1215 215201 1211 1111 215101 1115
1083,1605,1215 215201 1211 1111 215101 1115
1084,1606,1215 215201 1211 1111 215101 1115
1085,1607,1215 215201 1211 1111 215101 1115
1086,1608,60108 235201
1087,1611,1215 215201 1211 1111 215101 1115
1088,1612,13209 1215 215201 13109 1211 1111 215101 1115
1089,1614,7210 7211 7110 7111
1092,1618,955102 955202
1093,1619,7210 7211 7110 7111
1102,1633,856203 7211 856103 7210 936103 7111 10204 10104 7110 936203
1106,1638,7211 7210 7111 10204 10104 7110
1115,1651,7212 7112 7211 7210 7111 10204 10104 7110
1116,1652,7212 7112 7211 7210 7111 10204 10104 7110
1117,1653,7212 7112 7211 965106 7210 7111 10204 10104 7110
1118,1658,7212 7211 965106 7210 7111 10204 10104 7110
1119,1660,13209 7212 7211 965106 7210 13109 7111 10204 10104 7110
1121,1662,7212 7211 7210 7111 10204 10104 7110
1122,1663,7212 7211 7210 7111 10204 10104 7110
1123,1664,7212 7211 7210 7111 10204 10104 7110
1124,1665,7212 7112 7211 7210 7111 10204 10104 7110
1125,1666,7111 7211 7210 7212 10204 10104 7110
1131,1673,7211 7210 7111 10204 10104 7110
1132,1674,7212 7112 7211 7210 7111 10204 10104 7110
1133,1675,7212 7112 7211 7210 7111 10204 10104 7110
1136,1680,7212 2214 6110 7211 6210 7210 2114 7111 10204 10104 7110 7112
1137,1681,7212 7112 7211 7210 7111 10204 10104 7110
1138,1682,955102 7111 7211 7210 955202 7212 10204 10104 7110
1147,1694,965106
1148,1695,13109 965106 13209
1149,1698,965106
1150,1702,917104 856203 916103 856103 936103 917103 916102 936203
1155,1712,916103 916102 917104 917103
1156,1713,917104 856203 916103 856103 936103 917103 916102 936203
1159,1717,916103 916102 917104 917103
1160,1718,955202 917104 916103 955102 917103 916102
1168,1728,856203 856103 936103 917103 916102 936203
1170,1730,13109 965106 13209
1175,1736,2114 2214
1180,1742,965106
1181,1744,856203 856103 936103 917103 916102 936203
1182,1747,917104 856203 916103 856103 936103 917103 916102 936203
1183,1748,60108 235201
1188,1754,13109 965106 13209
1191,1760,2114 2214
1193,1762,955202 917104 916103 955102 917103 916102
1195,1767,965106
1201,1773,965106
1210,1784,965106
1219,1798,955202 917104 916103 955102 917103 916102
1225,1807,13109 965106 13209
1231,1817,965106
1234,1823,955202 917104 916103 955102 917103 916102
1246,1835,916103 916102 917104 917103
1249,1840,965106
1261,1854,13109 13209
1264,1857,955202 917104 916103 955102 917103 916102
1302,1917,916102 917103
1308,1924,955202 917104 916103 955102 917103 916102
1316,1936,916102 917103
1344,1972,4205 60108 13209 955102 917104 916103 5110 917103 3201 3101 60208 13109 955202 5210 916102 4105
1349,1977,520112 520212
1407,2043,955102 936203 856203 11210 856103 955202 936103 11110 215101 215201
1526,2191,14206 13109 14106 13209 18102
1710,2463,905119
1718,2475,905118 905218
1720,2477,950102 905218 905119 950202 905219 905118
1722,2479,907102 906104
1724,2481,907102 906104
1725,2483,907102 906104
1726,2484,907102 906104
1727,2485,510219 510119
1728,2486,907102 906104
