coefficient_name,value,constrain
coef_cars1_auto_time_saving_per_worker,1.267731536,F
coef_cars1_density,0,T
coef_cars1_drivers_1,-0.221851119,F
coef_cars1_drivers_2,0,T
coef_cars1_drivers_3_up,-0.327406838,F
coef_cars1_hh_income_0_15k,-2.408125175,F
coef_cars1_hh_income_15_35k,-1.073613602,F
coef_cars1_hh_income_35_50k,0,T
coef_cars1_hh_income_50_75k,0,T
coef_cars1_num_workers_clip_3,-0.349958946,F
coef_cars1_persons_16_17,-0.527267751,F
coef_cars1_persons_18_24,0.275752272,F
coef_cars1_persons_25_34,0,T
coef_cars1_presence_children_0_4,0,T
coef_cars1_presence_children_5_17,0.317544897,F
coef_cars1_retail_non_motor,0.114175834,F
coef_cars1_retail_transit,-0.445187281,F
coef_cars1_univ_GQ,-3.562778707,T
coef_cars2_auto_time_saving_per_worker,0.842300469,F
coef_cars2_density,-0.050128,F
coef_cars2_drivers_1,-3.037192815,F
coef_cars2_drivers_2,0,T
coef_cars2_drivers_3_up,-0.444345635,F
coef_cars2_hh_income_0_15k,-3.914164119,F
coef_cars2_hh_income_15_35k,-2.310358534,F
coef_cars2_hh_income_35_50k,-0.771553354,F
coef_cars2_hh_income_50_75k,-0.560352604,F
coef_cars2_num_workers_clip_3,0.492740312,F
coef_cars2_persons_16_17,-1.314727214,F
coef_cars2_persons_18_24,-0.238263813,F
coef_cars2_persons_25_34,-0.256626454,F
coef_cars2_presence_children_0_4,0,T
coef_cars2_presence_children_5_17,0.471107313,F
coef_cars2_retail_non_motor,0,T
coef_cars2_retail_transit,-0.715426592,F
coef_cars3_auto_time_saving_per_worker,0.784524249,F
coef_cars3_density,-0.543254863,F
coef_cars3_drivers_1,-2.932890835,F
coef_cars3_drivers_2,0,T
coef_cars3_drivers_3_up,1.275725253,F
coef_cars3_hh_income_0_15k,-4.062511515,F
coef_cars3_hh_income_15_35k,-2.740110458,F
coef_cars3_hh_income_35_50k,-1.070997379,F
coef_cars3_hh_income_50_75k,-0.753498405,F
coef_cars3_num_workers_clip_3,0.744525851,F
coef_cars3_retail_non_motor,0,T
coef_cars3_retail_transit,-0.801748025,F
coef_cars34_persons_16_17,-1.36492373,F
coef_cars34_persons_18_24,0,T
coef_cars34_persons_25_34,-0.366690141,F
coef_cars34_presence_children_0_4,-0.452561034,F
coef_cars34_presence_children_5_17,0.329266752,F
coef_cars4_auto_time_saving_per_worker,0.464441997,F
coef_cars4_density,-0.792923152,F
coef_cars4_drivers_1,-2.569773957,F
coef_cars4_drivers_2,0,T
coef_cars4_drivers_3_up,1.673160466,F
coef_cars4_hh_income_0_15k,-4.429080438,F
coef_cars4_hh_income_15_35k,-3.076526903,F
coef_cars4_hh_income_35_50k,-1.10314316,F
coef_cars4_hh_income_50_75k,-0.804372937,F
coef_cars4_num_workers_clip_3,0.983585589,F
coef_cars4_retail_non_motor,0,T
coef_cars4_retail_transit,-0.776033768,F
coef_unavailable,-999,T
coef_cars1,2.952495312,F
coef_cars2,5.331045734,F
coef_cars3,4.309346217,F
coef_cars4,3.155918802,F
coef_detroit,0.25,
