coefficient_name,value,constrain
# asc,,
coef_asc_0_tours,0,T
coef_asc_1_Shop,-6.0149,F
coef_asc_1_Main,-5.7389,F
coef_asc_1_Eat,-6.3757,F
coef_asc_1_Visit,-5.8818,F
coef_asc_1_Disc,-5.4806,F
coef_asc_2_tours,-14.4576,F
# zero_tours,,
coef_fullTimeHomeMaxThree_zero_tours,1.175,F
coef_partTimeHomeMaxThree_zero_tours,1.447,F
coef_nonWorkerHomeMaxThree_zero_tours,1.514,F
coef_retireeHomeMaxThree_zero_tours,0.6053,F
coef_universityHomeMaxThree_univ_and_driving_zero_tours,0.5685,F
coef_preDrivingHomeMaxThree_preschool_and_school_zero_tours,0.53,F
# shopping,,
coef_fullTimeNonMandMaxThree_shopping,0.2052,F
coef_partTimeNonMandMaxThree_shopping,0.1866,F
coef_nonWorkerNonMandMaxThree_shopping,0.7078,F
coef_retireeNonMandMaxThree_shopping,0.941,F
coef_universityNonMandMaxThree_shopping,0.7648,F
coef_preDrivingNonMandMaxThree_shopping,0.5474,F
coef_fullTimeMandMaxThree_shopping,-0.2424,F
coef_logTimeWindowOverlapAdult_shopping,0.5945,F
coef_logTimeWindowOverlapChild_shopping,0.1416,F
coef_logTimeWindowOverlapAdultChild_shopping,0.1086,F
coef_fewerCarsThanDrivers_shopping,0.2523,F
coef_moreCarsThanWorkers_shopping,-0.3027,F
# maintenance,,
coef_fullTimeNonMandMaxThree_maint,0.3173,F
coef_partTimeNonMandMaxThree_maint,0.2452,F
coef_nonWorkerNonMandMaxThree_maint,0.4643,F
coef_retireeNonMandMaxThree_maint,0.905,F
coef_universityNonMandMaxThree_maint,0.2643,F
coef_preDrivingNonMandMaxThree_maint,0.6482,F
coef_fullTimeMandMaxThree_maint,-0.3009,F
coef_drivingAgeStuMandMaxThree_maint,-0.3237,F
coef_preDrivingAgeMandMaxThree_maint,0.2299,F
coef_logTimeWindowOverlapAdult_maint,0.3714,F
coef_logTimeWindowOverlapChild_maint,0.176,F
coef_logTimeWindowOverlapAdultChild_maint,0.2443,F
coef_fewerCarsThanDrivers_maint,0.461,F
# eatout,,
coef_fullTimeNonMandMaxThree_eatout,0.2275,F
coef_partTimeNonMandMaxThree_eatout,0.3765,F
coef_nonWorkerNonMandMaxThree_eatout,0.182,F
coef_retireeNonMandMaxThree_eatout,0.4264,F
coef_universityNonMandMaxThree_eatout,0.4097,F
coef_preDrivingNonMandMaxThree_eatout,0.3851,F
coef_logTimeWindowOverlapAdult_eatout,0.4856,F
coef_logTimeWindowOverlapAdultChild_eatout,0.0921,F
coef_incomeBetween50And100_eatout,0.2977,F
coef_incomeGreaterThan100_eatout,0.4492,F
coef_incomeMissing_dummy_always_zero_eatout,0.278,F
coef_moreCarsThanWorkers_eatout,0.3825,F
coef_walkRetailAccessibility_eatout,0.062,F
# visiting,,
coef_fullTimeNonMandMaxThree_visiting,0.6445,F
coef_partTimeNonMandMaxThree_visiting,0.1332,F
coef_nonWorkerNonMandMaxThree_visiting,0.5475,F
coef_retireeNonMandMaxThree_visiting,0.5579,F
coef_universityNonMandMaxThree_visiting,0.2809,F
coef_preDrivingNonMandMaxThree_visiting,0.6008,F
coef_timeWindowOverlapAdult_visiting,0.0596,F
coef_timeWindowOverlapChild_visiting,0.0092,F
coef_timeWindowOverlapAdultChild_visiting,0.0256,F
coef_zeroAutomobiles_visiting,-0.98,F
# discretionary,,
coef_fullTimeNonMandMaxThree_disc,0.1275,F
coef_partTimeNonMandMaxThree_disc,0.4979,F
coef_nonWorkerNonMandMaxThree_disc,0.2871,F
coef_retireeNonMandMaxThree_disc,0.6136,F
coef_universityNonMandMaxThree_disc,0.7546,F
coef_preDrivingNonMandMaxThree_disc,0.5331,F
coef_drivingAgeStuMandMaxThree_disc,0.1932,F
coef_preDrivingAgeMandMaxThree_disc,0.3862,F
coef_logTimeWindowOverlapAdult_disc,0.3428,F
coef_logTimeWindowOverlapChild_disc,0.1162,F
coef_logTimeWindowOverlapAdultChild_disc,0.2212,F
coef_incomeBetween50And100_disc,0.3167,F
coef_incomeGreaterThan100_disc,0.486,F
coef_incomeMissing_dummy_always_zero_disc,0.3723,F
coef_zeroAutomobiles_disc,-0.909,F
#Phase1_Calibration,,
asc_calib_0_tours,0,T
asc_calib_1_Shop,1.053698044,F
asc_calib_1_Main,0.732431708,F
asc_calib_1_Eat,0.877259241,F
asc_calib_1_Visit,0.436534239,F
asc_calib_1_Disc,0.619623918,F
asc_calib_2_SS,2.404591356,F
asc_calib_2_SM,2.998240224,F
asc_calib_2_SE,2.042554293,F
asc_calib_2_SV,0.054676458,F
asc_calib_2_SD,2.467068755,F
asc_calib_2_MM,3.614067275,F
asc_calib_2_ME,4.359003674,F
asc_calib_2_MV,5.998710535,F
asc_calib_2_MD,5.114616381,F
asc_calib_2_EE,3.295790528,F
asc_calib_2_EV,5.235744732,F
asc_calib_2_ED,2.359825593,F
asc_calib_2_VV,1.285350946,F
asc_calib_2_VD,4.250918308,F
asc_calib_2_DD,2.958796827,F
