Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Middle to Low Income HH,(income_in_thousands>19999) & (income_in_thousands<50000),,,,,,,,,,,,,,,,
Mid to High Income HH,(income_in_thousands>=50000) & (income_in_thousands<100000),,,,,,,,,,,,,,,,
High Income HH,(income_in_thousands>=100000),,,,,,,,,,,,,,,,
Number of HH Persons,hhsize,,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
Number of full time workers in HH,num_full,,,,,,,,,,,,,,,,
Number of Students in HH,num_student,,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
Num Kids between 0 and 4 (including) years old,num_age_0_4,,,,,,,,,,,,,,,,
Presence of Kids between 0 and 4 (including) years old,(num_age_0_4 > 0),,,,,,,,,,,,,,,,
Num kids between 5 and 15 (including) years old,num_age_5_15,,,,,,,,,,,,,,,,
Presence of kids between 5 and 15 (including) years old,(num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Adults (>= 16 years old),num_adult,,,,,,,,,,,,,,,,
Dummy for single parent household,(num_adult == 1) & (num_age_0_4 + num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Cars > Number of Workers,more_cars_than_workers,,,,,,,,,,,,,,,,
Number of Vehicles,auto_ownership,,,,,,,,,,,,,,,,
Dummy for female,female,,,,,,,,,,,,,,,,
Dummy for all stops made by transit,tour_mode_is_transit,,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
Dummy for walking to all stops,tour_mode_is_non_motorized,,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91,-1.91
Number of work tours undertaken by the person,num_work_tours,,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29
Number of university tours tours undertaken by the person,num_univ_tours,,,,,,,,,,,,,,,,
Number of school tours tours undertaken by the person,num_school_tours,,,,,,,,,,,,,,,,
Number of escort tours tours undertaken by the person,num_escort_tours,,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
Number of shop tours undertaken by the person,num_shop_tours,,,,,,,,,,,,,,,,
Number of maintenace tours tours undertaken by the person,num_maint_tours,,,,,,,,,,,,,,,,
Number of eating tours tours undertaken by the person,num_eatout_tours,,,,,,,,,,,,,,,,
Number of visit tours tours undertaken by the person,num_social_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the houshold,num_hh_shop_tours,,,,,,,,,,,,,,,,
AM Peak departure between 6AM and 7 AM (including) Interacted with outbound tours,(start>6) & (start<11),,,,,,,,,,,,,,,,
Arrival later than 17:00.,(end > 28),,,,,,,,,,,,,,,,
Evening Arrival (>=19:00) Interacted with return tours,(end > 32),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 11 hours,(duration > 21),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 9 hours ,(duration > 17),,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Dummy for the duration of the tour being equal or greater than or equal to 3 hours ,(duration > 5),,,,,,,,,,,,,,,,
HH accesibility for outbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
HH accesibility for inbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for outbound tours. Interaction,pracc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for return tours. Interaction,pracc,,,,,,,,,,,,,,,,
dummy for distance less than 5 Miles,(distance_in_miles < 5),,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
dummy for distance in miles,distance_in_miles,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
#distance in miles * Number of stops,distance_in_miles * @@numStopsAlt,,,,,,,,,,,,,,,,
No stops if tour mode is driveTransit,tour_mode_is_drive_transit,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alternative specific constant for outbound stops,~is_joint,,,,,-2.173,-2.173,-2.173,-2.173,-4.294,-4.294,-4.294,-4.294,-4.758,-4.758,-4.758,-4.758
Alternative specific constant for return  stops,~is_joint,,-0.968,-2.41,-3.024,,-0.968,-2.41,-3.024,,-0.968,-2.41,-3.024,,-0.968,-2.41,-3.024
Alternative specific constant for the total number of stops,~is_joint,,,0,0,,0,0,0,0,0,0,-1.807,0,0,-1.807,-1.807
Alternative specific constant for outbound stops on joint tours,is_joint,,,,,-1.783,-1.783,-1.783,-1.783,-4.067,-4.067,-4.067,-4.067,-4.998,-4.998,-4.998,-4.998
Alternative specific constant for return  stops on joint tours,is_joint,,-1.329,-2.796,-3.379,,-1.329,-2.796,-3.379,,-1.329,-2.796,-3.379,,-1.329,-2.796,-3.379
Alternative specific constant for the total number of stops on joint tours,is_joint,,,0,0,,0,0,0.518,0,0,0.518,1.497,0,0.518,1.497,1.497
Phase1_Calibration,~is_joint,,-0.281471428,-0.016095822,0.633091127,0.54790928,0.034142435,0.648536014,1.179253849,1.588769694,1.014803541,1.362137736,4.47587972,1.689728522,1.349848675,3.365045965,4.461548606
