coefficient_name,coefficient_name,value,constrain
coef_Services_1day,Services,-1.624,F
coef_SalesOffice_1day,SalesOffice,-0.62,F
coef_ResourceConstruct_1day,ResourceConstruct,-1.57,F
coef_TransportMat_1day,TransportMat,-14.747,F
coef_HasChildren0to5_1day,HasChildren0to5,0,F
coef_HasChildren6to12_1day,HasChildren6to12,0,F
coef_OneAdultInHH_1day,OneAdultInHH,0.177,F
coef_2plusAdultsInHH_1day,2plusAdultsInHH,0,F
coef_Female_1day,Female,0,F
coef_PartTimeWorker_1day,PartTimeWorker,0,F
coef_CollegeStudent_1day,CollegeStudent,0,F
coef_PaysToPark_1day,PaysToPark,0.457,F
coef_Income60to100k_1day,Income60to100k,0.56,F
coef_Income100to150k_1day,Income100to150k,0.644,F
coef_Income150kplus_1day,Income150kplus,0.92,F
coef_0Autos_1day,0Autos,0,F
coef_1Auto_1day,1Auto,0,F
coef_3plusAutos_1day,3plusAutos,0,F
coef_DistanceToWork_1day,DistanceToWork,0.016,F
coef_Services_23day,Services,-0.651,F
coef_SalesOffice_23day,SalesOffice,-0.738,F
coef_ResourceConstruct_23day,ResourceConstruct,0,F
coef_TransportMat_23day,TransportMat,0,F
coef_HasChildren0to5_23day,HasChildren0to5,0,F
coef_HasChildren6to12_23day,HasChildren6to12,0.517,F
coef_OneAdultInHH_23day,OneAdultInHH,0,F
coef_2plusAdultsInHH_23day,2plusAdultsInHH,0,F
coef_Female_23day,Female,0,F
coef_PartTimeWorker_23day,PartTimeWorker,0.425,F
coef_CollegeStudent_23day,CollegeStudent,0.6,F
coef_PaysToPark_23day,PaysToPark,0,F
coef_Income60to100k_23day,Income60to100k,0.389,F
coef_Income100to150k_23day,Income100to150k,0.193,F
coef_Income150kplus_23day,Income150kplus,0.765,F
coef_0Autos_23day,0Autos,0.407,F
coef_1Auto_23day,1Auto,0,F
coef_3plusAutos_23day,3plusAutos,-0.73,F
coef_DistanceToWork_23day,DistanceToWork,0,F
coef_Services_4day,Services,0,F
coef_SalesOffice_4day,SalesOffice,-0.894,F
coef_ResourceConstruct_4day,ResourceConstruct,0,F
coef_TransportMat_4day,TransportMat,0,F
coef_HasChildren0to5_4day,HasChildren0to5,-0.864,F
coef_HasChildren6to12_4day,HasChildren6to12,-0.81,F
coef_OneAdultInHH_4day,OneAdultInHH,-0.043,F
coef_2plusAdultsInHH_4day,2plusAdultsInHH,0,F
coef_Female_4day,Female,0,F
coef_PartTimeWorker_4day,PartTimeWorker,1.112,F
coef_CollegeStudent_4day,CollegeStudent,0,F
coef_PaysToPark_4day,PaysToPark,0,F
coef_Income60to100k_4day,Income60to100k,0,F
coef_Income100to150k_4day,Income100to150k,0,F
coef_Income150kplus_4day,Income150kplus,0,F
coef_0Autos_4day,0Autos,0,F
coef_1Auto_4day,1Auto,0,F
coef_3plusAutos_4day,3plusAutos,0,F
coef_DistanceToWork_4day,DistanceToWork,0,F
