tour_purpose,time_period,start,end
work,EA,1,6
work,AM,9,10
work,MD,13,24
work,PM,25,27
work,EV,33,35
#,,,
school,EA,1,6
school,AM,9,10
school,MD,13,24
school,PM,25,27
school,EV,33,35
#,,,
univ,EA,1,6
univ,AM,9,10
univ,MD,13,24
univ,PM,25,27
univ,EV,33,35
#,,,
shopping,EA,1,6
shopping,AM,9,10
shopping,MD,13,24
shopping,PM,25,27
shopping,EV,33,35
#,,,
escort,EA,1,6
escort,AM,9,10
escort,MD,13,24
escort,PM,25,27
escort,EV,33,35
#,,,
othmaint,EA,1,6
othmaint,AM,9,10
othmaint,MD,13,24
othmaint,PM,25,27
othmaint,EV,33,35
#,,,
othdiscr,EA,1,6
othdiscr,AM,9,10
othdiscr,MD,13,24
othdiscr,PM,25,27
othdiscr,EV,33,35
#,,,
social,EA,1,6
social,AM,9,10
social,MD,13,24
social,PM,25,27
social,EV,33,35
#,,,
eatout,EA,1,6
eatout,AM,9,10
eatout,MD,13,24
eatout,PM,25,27
eatout,EV,33,35
#,,,
atwork,EA,1,6
atwork,AM,9,10
atwork,MD,13,24
atwork,PM,25,27
atwork,EV,33,35
