coefficient_name,value,constrain
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_KNRACCESS,0.5,T
coef_nest_TRANSIT_PNRACCESS,0.5,T
coef_nest_SCHOOL_BUS,0.72,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15.0,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20.0,F
coef_topology_bike_multiplier_atwork,10.0,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2.0,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,6.684086442545027,F
walk_ASC_no_auto_escort,4.704949300518323,F
walk_ASC_no_auto_othdiscr,4.825563742545027,F
walk_ASC_no_auto_othmaint,3.1910415005183235,F
walk_ASC_no_auto_school,12.294553657204029,F
walk_ASC_no_auto_shopping,4.280619800518322,F
walk_ASC_no_auto_social,3.4270606425450283,F
walk_ASC_no_auto_univ,4.913693244383623,F
walk_ASC_no_auto_work,5.0529975618352845,F
walk_ASC_no_auto_atwork,3.4558225997658356,F
walk_ASC_auto_deficient_eatout,3.046383862698903,F
walk_ASC_auto_deficient_escort,-1.4551002551565733,F
walk_ASC_auto_deficient_othdiscr,2.021186362698901,F
walk_ASC_auto_deficient_othmaint,0.8159867048434268,F
walk_ASC_auto_deficient_school,1.2071442982780545,F
walk_ASC_auto_deficient_shopping,1.7171196048434267,F
walk_ASC_auto_deficient_social,2.641962862698902,F
walk_ASC_auto_deficient_univ,4.517206113163259,F
walk_ASC_auto_deficient_work,1.8063448899343095,F
walk_ASC_auto_deficient_atwork,0.086038372747542,F
walk_ASC_auto_sufficient_eatout,1.9919635877561934,F
walk_ASC_auto_sufficient_escort,-1.5707984892594498,F
walk_ASC_auto_sufficient_othdiscr,1.7036208877561936,F
walk_ASC_auto_sufficient_othmaint,0.04077151074054905,F
walk_ASC_auto_sufficient_school,-1.1958511340031424,F
walk_ASC_auto_sufficient_shopping,-0.02792558925945097,F
walk_ASC_auto_sufficient_social,2.1474918877561944,F
walk_ASC_auto_sufficient_univ,3.8083309940646233,F
walk_ASC_auto_sufficient_work,-0.44626258806780716,F
walk_ASC_auto_sufficient_atwork,1.0808185860731192,F
