coefficient_name,value,constrain
coef_Female_Departure_after_1230_pm_Linear,0.05574558,F
coef_Parttime_worker_Departure_after_1230_pm__Linear,0.129291333,F
coef_Parttime_worker_Duration_greater_than_0p5_hours_depart_and_arrive_in_the_same_period,0.162008704,F
coef_Low_income_lt25000_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,0.885322446,F
coef_Med_income_25k_to_60k_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,0.526935246,F
coef_Med_income_25k_to_60k_Duration_greater_than_0p5_hours,-0.081917021,F
coef_Medhigh_income_60k_to_120k_Duration_greater_than_0p5_hours,-0.068358924,F
coef_Blue_collar_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,1.191378628,F
coef_Blue_collar_Duration_greater_than_0p5_hours,0.123072852,F
coef_Health_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,0.791205377,F
coef_Distance_to_destination_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,-0.292363361,F
coef_Distance_to_destination_Duration_greater_than_0p5_hours,0.006885922,F
coef_Subtour_purpose_Business_Departure_before_1200_pm__Linear,0.268963895,F
coef_Subtour_purpose_Business_Departure_after_1230_pm_Linear,0.17631122,F
coef_Subtour_purpose_Business_Duration_greater_than_0p5_hours,0.362189199,F
coef_Subtour_purpose_Eatout_Departure_before_1200_pm__Linear,-0.250770206,F
coef_Subtour_purpose_Eatout_Departure_after_1230_pm_Linear,-0.169861029,F
coef_Subtour_purpose_Eatout_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,-0.678939929,F
coef_Shift_for_every_30_minutes_before_1030_am_Linear,-0.731880037,F
coef_Before_1100_AM,-2.176744062,F
coef_1100_AM_1130_AM,-1.190017952,F
coef_1130_AM_1200_PM,-0.198229872,F
#coef_1200_AM_1230_PM,0,T
#coef_1230_PM_0100_PM,-0.084950396,F
coef_After_0100_PM,-0.205562723,F
coef_Shift_for_every_30_minutes_after_130_pm_Square_Root,0.539088697,F
coef_Shift_for_every_30_minutes_before_1130_am_Linear,0.414546555,F
coef_Before_1200_PM,0.279351638,F
coef_1200_AM_1230_PM,-0.045281832,F
coef_1230_PM_0100_PM,0.214070736,F
coef_0100_PM_0130_PM,0,T
coef_0130_PM_0200_PM,-0.69742748,F
coef_0200_PM_0230_PM,-1.284283533,F
coef_After_0230_PM,-2.119733896,F
coef_Shift_for_every_30_minutes_after_300_pm_Linear,-0.508006414,F
coef_0_hrs,-0.969734874,F
coef_0p5_hrs,0,T
coef_1_hrs,0.177457256,F
coef_1p5hrs,-0.171124657,F
coef_2_hrs,-0.4678094,F
coef_Longer_than_2_hrs,-0.523935526,F
coef_Shift_for_every_30_minutes_more_than_2p5_hrs_Square_Root,-0.424301372,F
coef_Calibration_Constant_Departure_eq_18,-0.045958531,F
coef_Calibration_Constant_Departure_eq_19,-0.099009925,F
coef_Calibration_Constant_Arrival_eq_20,-0.0698094,F
coef_Calibration_Constant_Arrival_eq_21,-0.064355276,F
