coefficient_name,value,constrain
coef_escort_Mode_Choice_Logsum,1.173173034,F
coef_escort_Distance_to_destination_Duration_less_than_0p5_hours_depart_and_arrive_in_the_same_period,-0.335017673,F
coef_escort_Distance_to_destination_Duration_greater_than_0p5_hours,0.005298165,F
coef_escort_Fulltime_worker_Departure_after_8_00_am_Linear,-0.037980109,F
coef_escort_Fulltime_worker_Departure_after_3_00_am_Linear,0.163254125,F
coef_escort_Fulltime_worker_Duration_lt_0p5_hrs,-0.275077482,F
coef_escort_Fulltime_worker_Duration_gt_0p5_hrs,0.051530545,F
coef_escort_University_student_Duration_lt_0p5_hrs,-0.426802718,F
coef_escort_Nondriving_age_student_Duration_gt_0p5_hrs,0.240582361,F
coef_escort_Driving_age_student_Duration_lt_0p5_hrs,-0.554146191,F
coef_escort_Driving_age_student_Duration_gt_0p5_hrs,0.299387708,F
coef_escort_Preschool_kid_Duration_gt_0p5_hrs,0.195482563,F
coef_escort_Medhigh_income_60k_to_120k_Duration_gt_0p5_hrs,-0.029281467,F
coef_escort_Households_with_no_kids_Dummy_1_0_Departure_before_7_30_AM,0.589083327,F
coef_escort_Households_with_no_kids_Dummy_1_0_Departure_after_8_00_AM,0.086690827,F
coef_escort_Households_with_no_kids_Dummy_1_0_Departure_before_2_30_PM,0.477582648,F
coef_escort_Households_with_no_kids_Dummy_1_0_Departure_after_3_00_PM,-0.204065502,F
coef_escort_Households_with_no_kids_Dummy_1_0_Arrival_before_8_00_AM,-0.360039254,F
coef_escort_Households_with_no_kids_Dummy_1_0_Arrival_after_8_30_AM,0.091614107,F
coef_escort_Households_with_no_kids_Dummy_1_0_Arrival_before_3_00_PM,0.432854268,F
coef_escort_Households_with_no_kids_Dummy_1_0_Arrival_after_3_30_PM,0.131037275,F
coef_escort_PreSchool_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Departure_after_8_00_AM,0.109700265,F
coef_escort_PreSchool_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Departure_after_3_00_PM,-0.224568648,F
coef_escort_PreSchool_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Arrival_before_8_00_AM,-0.357416434,F
coef_escort_PreSchool_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Arrival_before_3_00_PM,0.629285298,F
coef_escort_Driving_age_School_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Departure_after_8_00_AM,0.039005148,F
coef_escort_Driving_age_School_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Arrival_after_8_30_AM,-0.06556611,F
coef_escort_Driving_age_School_Child_in_HH_with_Mandatory_tour_Dummy_1_0_Arrival_after_3_30_PM,0.117680977,F
coef_escort_Number_of_autos_greater_than_number_of_adults_Duration_gt_0p5_hrs,-0.057322708,F
coef_escort_Number_of_Individual_Tours_excluding_escorting_Duration_gt_0p5_hrs,-0.062899692,F
coef_escort_Number_of_joint_tours_Duration_gt_0p5_hrs,-0.048533895,F
coef_escort_Departure_Constant_Shift_for_every_30_minutes_before_06_30_am_Linear,-1.469240002,F
coef_escort_Departure_Constant_Before_07_00_AM,-2.070292862,F
coef_escort_Departure_Constant_07_00_AM_07_30_AM,-0.642734296,F
coef_escort_Departure_Constant_07_30_AM_08_00_AM,0,T
coef_escort_Departure_Constant_08_00_AM_08_30_AM,-0.214617667,F
coef_escort_Departure_Constant_08_30_AM_09_00_AM,-0.147266606,F
coef_escort_Departure_Constant_After_09_00_AM,-1.356686422,F
coef_escort_Departure_Constant_01_30_PM_02_00_PM,0.368092381,F
coef_escort_Departure_Constant_02_00_PM_02_30_PM,1.166803383,F
coef_escort_Departure_Constant_02_30_PM_03_00_PM,1.28466083,F
coef_escort_Departure_Constant_03_00_PM_03_30_PM,0.581891245,F
coef_escort_Departure_Constant_After_03_30_PM,0.834510243,F
coef_escort_Departure_Constant_Shift_for_every_30_minutes_after_9_30_am_Linear,0.175257649,F
coef_escort_Departure_Constant_Shift_for_every_30_minutes_after_4_00_pm_Linear,-0.019161202,F
coef_escort_Arrival_Constant_Shift_for_every_30_minutes_before_6_30_am_Linear,0.44978138,F
coef_escort_Arrival_Constant_Before_07_00_AM,0.549584585,F
coef_escort_Arrival_Constant_07_00_AM_07_30_AM,0.488181278,F
coef_escort_Arrival_Constant_07_30_AM_08_00_AM,0.236447651,F
coef_escort_Arrival_Constant_08_00_AM_08_30_AM,0,T
coef_escort_Arrival_Constant_08_30_AM_09_00_AM,-0.683756801,F
coef_escort_Arrival_Constant_After_09_00_AM,-1.428888485,F
coef_escort_Arrival_Constant_02_30_PM_03_00_PM,1.311480662,F
coef_escort_Arrival_Constant_03_00_PM_03_30_PM,1.316883154,F
coef_escort_Arrival_Constant_03_30_PM_04_00_PM,1.396838392,F
coef_escort_Arrival_Constant_04_00_PM_04_30_PM,1.03146139,F
coef_escort_Arrival_Constant_After_04_30_PM,0.907344583,F
coef_escort_Arrival_Constant_Shift_for_every_30_minutes_after_9_30_am_Linear,-0.148408887,F
coef_escort_Arrival_Constant_Shift_for_every_30_minutes_after_5_00_pm_Linear,-0.389082896,F
coef_escort_Duration_Constant_0_hrs,-0.173757322,F
coef_escort_Duration_Constant_0p5_hrs,0,T
coef_escort_Duration_Constant_1_hrs,-0.431287743,F
coef_escort_Duration_Constant_1p5hrs,-0.700473959,F
coef_escort_Duration_Constant_2_hrs,-1.071871358,F
coef_escort_Duration_Constant_Longer_than_2_hrs,-1.691098421,F
coef_escort_Calibration_Constant_Duration_eq_1,-0.047200214,F
coef_escort_Calibration_Constant_Duration_eq_2,0.035611332,F
coef_escort_Calibration_Constant_Departure_eq_9,0.106814756,F
coef_escort_Calibration_Constant_Departure_eq_10,0.215386864,F
coef_escort_Calibration_Constant_Departure_eq_23,-0.255087318,F
coef_escort_Calibration_Constant_Departure_eq_24,-0.296870428,F
coef_shop_Joint_Shopping_tours_dummy_Departure_before_10_00_AM_Linear,-0.190727375,F
coef_shop_Joint_Shopping_tours_dummy_Departure_after_10_30_AM_Linear,-0.029551313,F
coef_shop_Joint_Tours_Party_Size_gt_2_Duration_lt_1p5_hrs,-0.291965906,F
coef_shop_Joint_Tours_Party_Size_gt_2_Duration_gt_1p5_hr,0.045755784,F
coef_shop_Joint_Tour_with_only_adults_Duration_lt_1p5_hrs,-0.571185116,F
coef_shop_Kids_in_Joint_Tour_Duration_lt_1p5_hrs,-0.468815184,F
coef_shop_Kids_in_Joint_Tour_Duration_gt_1p5_hr,-0.047470039,F
coef_shop_Driving_age_student_Duration_gt_1p5_hr,0.122149101,F
coef_shop_Fulltime_worker_Duration_gt_1p5_hr,-0.037886459,F
coef_shop_Nondriving_Student_Duration_gt_1p5_hr,0.10247157,F
coef_shop_Preschool_Child_Duration_lt_1p5_hrs,-1.882944033,F
coef_shop_Part_Time_Worker_Duration_lt_1p5_hrs,-0.197455071,F
coef_shop_Part_Time_Worker_Duration_gt_1p5_hr,-0.045152663,F
coef_shop_Retired_Duration_lt_1p5_hrs,-0.264728908,F
coef_shop_Retired_Duration_gt_1p5_hr,-0.042981757,F
coef_shop_University_Student_Duration_gt_1p5_hr,0.045926523,F
coef_shop_Female_Duration_lt_1p5_hrs,-0.417208254,F
coef_shop_Female_Duration_gt_1p5_hr,0.045801918,F
coef_shop_Low_Income_lteq25_000_Duration_gt_1p5_hr,0.040776383,F
coef_shop_Medium_Income_25_001_to_60_000_Duration_lt_1p5_hrs,0.108462927,F
coef_shop_MediumHigh_Income_60_001_to_120_00_Duration_gt_1p5_hr,-0.037893416,F
coef_shop_Distance_Duration_lt_1p5_hrs,-0.214802537,F
coef_shop_Distance_Duration_gt_1p5_hr,0.007991656,F
coef_shop_Time_Pressure_Duration_gt_1p5_hrs,0.013503327,F
coef_shop_Number_of_additional_individual_shop_and_maintp_tours_Duration_lt_1p5_hrs,0.078844289,F
coef_shop_Number_of_additional_individual_shop_and_maintp_tours_Duration_gt_1p5_hrs,-0.115431492,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_before_08_30_am_Linear,-0.959875456,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_before_08_30_am_Square_root,1.112594898,F
coef_shop_Departure_Constant_Before_09_00_AM,-0.446394064,F
coef_shop_Departure_Constant_09_00_AM_09_30_AM,-0.021669265,F
coef_shop_Departure_Constant_09_30_AM_10_00_AM,-0.282978638,F
coef_shop_Departure_Constant_10_00_AM_10_30_AM,0,T
coef_shop_Departure_Constant_10_30_AM_11_00_AM,-0.309421311,F
coef_shop_Departure_Constant_After_11_00_AM,-0.541073357,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_after_11_30_am_Linear,-0.072013428,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_after_11_30_am_Squared,-0.000653398,F
coef_shop_Arrival_Constant_Shift_for_every_30_minutes_before_12_00_pm_Linear,-0.18376635,F
coef_shop_Arrival_Constant_Before_12_30_PM,-0.716195343,F
coef_shop_Arrival_Constant_12_30_PM_03_00_PM,-0.502714001,F
coef_shop_Arrival_Constant_03_00_PM_03_30_PM,-0.167868872,F
coef_shop_Arrival_Constant_03_30_PM_04_00_PM,-0.156786941,F
coef_shop_Arrival_Constant_04_00_PM_04_30_PM,0,T
coef_shop_Arrival_Constant_04_30_PM_05_00_PM,-0.057314044,F
coef_shop_Arrival_Constant_05_00_PM_05_30_PM,-0.580040851,F
coef_shop_Arrival_Constant_05_30_PM_07_00_PM,-0.32239566,F
coef_shop_Arrival_Constant_07_00_PM_09_30_PM,-0.347828147,F
coef_shop_Arrival_Constant_After_09_30_PM,-1.123574723,F
coef_shop_Arrival_Constant_Shift_for_every_30_minutes_after_10_00_pm_Linear,-0.499770654,F
coef_shop_Duration_Constant_0_hrs,-0.131743185,F
coef_shop_Duration_Constant_0p5_hrs,0.888857137,F
coef_shop_Duration_Constant_1_hrs,0,T
coef_shop_Duration_Constant_1p5hrs,-0.333413031,F
coef_shop_Duration_Constant_2_hrs,-0.850897912,F
coef_shop_Duration_Constant_Longer_than_2_hrs,-1.203783479,F
coef_shop_Duration_Constant_Duration_gt_2p5_hrs_Linear,-0.293581223,F
coef_shop_Duration_Constant_Duration_gt_2p5_hrs_Square_root,-0.215759138,F
coef_shop_Calibration_Constant_Duration_eq_1,-0.138450424,F
coef_shop_Calibration_Constant_Duration_eq_2,-0.092704403,F
coef_shop_Calibration_Constant_Duration_eq_3,-0.087738073,F
coef_maint_Joint_Maintenance_tours_dummy_Departure_before_10_00_AM_Linear,-0.139150288,F
coef_maint_Joint_Maintenance_tours_dummy_Departure_after_10_30_AM_Linear,-0.065786345,F
coef_maint_Joint_Tours_Party_Size_gt_2_Duration_lt_1p5_hrs,-0.291965906,F
coef_maint_Joint_Tours_Party_Size_gt_2_Duration_gt_1p5_hr,0.045755784,F
coef_maint_Joint_Tour_with_only_adults_Duration_lt_1p5_hrs,-0.571185116,F
coef_maint_Kids_in_Joint_Tour_Duration_lt_1p5_hrs,-0.468815184,F
coef_maint_Kids_in_Joint_Tour_Duration_gt_1p5_hr,-0.047470039,F
coef_maint_Fulltime_worker_Duration_gt_1p5_hr,-0.037886459,F
coef_maint_Nondriving_Student_Duration_gt_1p5_hr,0.10247157,F
coef_maint_Preschool_Child_Duration_lt_1p5_hrs,-1.882944033,F
coef_maint_Part_Time_Worker_Duration_lt_1p5_hrs,-0.197455071,F
