coefficient_name,value,constrain
coef_discretionary_person_less_than_18_years_old_duration_less_than_reference_linear,0.098366285148487,F
coef_discretionary_person_less_than_18_years_old_duration_greater_than_reference_linear,0.0,F
coef_discretionary_non_working_senior_retiree_duration_less_than_reference_linear,-0.1705916260525488,F
coef_discretionary_retiree_non_working_senior_only_HH_duration_reference_linear,0.0,F
coef_discretionary_zero_auto_households_duration_less_than_reference_linear,0.0,F
coef_discretionary_zero_auto_households_duration_greater_than_reference_linear,0.05222497126898865,F
coef_discretionary_number_of_auto_more_than_number_of_adults_duration_less_than_reference_linear,0.0,F
coef_discretionary_number_of_auto_more_than_number_of_adults_duration_greater_than_reference_linear,0.0,F
coef_discretionary_auto_distance_duration_less_than_reference_linear,-0.03606825659562718,F
coef_discretionary_auto_distance_duration_greater_than_reference_linear,0.004596600975929468,F
coef_discretionary_time_pressure_duration_less_reference,0.6728960123740134,F
coef_discretionary_time_pressure_duration_greater_reference,0.25402774161065456,F
coef_discretionary_number_of_additional_individual_social_and_dicretionary_tours_duration_less_reference,0.08104208628580123,F
coef_discretionary_departure_constant_shift_for_every_30_minutes_before_7_30_pm_linear,-0.6104747153010481,F
coef_discretionary_departure_constant_before_7_30_am,-0.3390521412898814,F
coef_discretionary_departure_constant_7_30_am_to_8_am,0.0,F
coef_discretionary_departure_constant_8_am_to_8_30_am,0.0,F
coef_discretionary_departure_constant_8_30_am_to_9_am,0.0,F
coef_discretionary_departure_constant_9_am_to_9_30_am,0.33705457332633537,F
coef_discretionary_departure_constant_9_30_am_to_10_am,0.14050652594559154,F
coef_discretionary_departure_constant_10_am_to_10_30_am,0.0,F
coef_discretionary_departure_constant_shift_for_every_30_minutes_before_4_30_pm_linear,2.055051892448251,F
coef_discretionary_departure_constant_before_5_pm,10.078028457555423,F
coef_discretionary_departure_constant_5_pm_to_5_30_pm,8.809104255087856,F
coef_discretionary_departure_constant_5_30_pm_to_6_pm,7.066441289657018,F
coef_discretionary_departure_constant_6_pm_to_6_30_pm,4.909660731901318,F
coef_discretionary_departure_constant_6_30_pm_to_7_pm,2.825818687356497,T
coef_discretionary_departure_constant_after_7_pm,0.0,F
coef_discretionary_departure_constant_shift_for_every_30_minutes_after_7_30_pm_linear,-2.407069142986441,F
coef_discretionary_arrival_constant_shift_for_every_30_minutes_before_6_pm_linear,-1.9913325130310646,F
coef_discretionary_arrival_constant_before_6_30_pm,-8.318569502929208,F
coef_discretionary_arrival_constant_6_30_pm_to_7_pm,-6.434917972534465,F
coef_discretionary_arrival_constant_7_pm_to_7_30_pm,-4.138799434182262,F
coef_discretionary_arrival_constant_7_30_pm_to_8_pm,-2.1058225272583,F
coef_discretionary_arrival_constant_8_pm_to_8_30_pm,0.0,T
coef_discretionary_arrival_constant_8_30_pm_to_9_pm,2.1493158879532435,F
coef_discretionary_arrival_constant_after_9_pm,3.8558666359863616,F
coef_discretionary_arrival_constant_shift_for_every_30_minutes_after_9_30_pm_linear,1.6858826820414816,F
coef_discretionary_duration_constant_0_hour,0.0,F
coef_discretionary_duration_constant_30_minutes,0.0,F
coef_discretionary_duration_constant_1_hour,0.0,F
coef_discretionary_duration_constant_1_hr_30_minutes,0.0,F
coef_discretionary_duration_constant_2_hours,0.0,F
coef_discretionary_duration_constant_2_hr_30_minutes,-2.9894794551717427,T
coef_discretionary_duration_constant_3_hours_or_more,-6.039866672397804,F
coef_discretionary_duration_constant_shift_for_every_30_minutes_more_than_3_hrs_linear,-2.9211224892215153,F
coef_discretionary_calibration_constant_duration_4,0.0,F
coef_discretionary_calibration_constant_duration_5,0.0,F
coef_discretionary_calibration_constant_departure_29,0.0,F
coef_discretionary_calibration_constant_departure_30,0.0,F
coef_discretionary_calibration_constant_departure_31,0.0,F
coef_discretionary_calibration_constant_departure_32,0.0,F
coef_mode_choice_logsum,0.06338187336512106,F
