coefficient_name,value,constrain
coef_Mode_Choice_Logsum,0.384091138,F
coef_Low_income_lt25000_Departure_before_800_am_Linear,0.246389489,F
coef_Low_income_lt25000_Duration_lt_4hrs,-0.262288853,F
coef_Medium_high_income_60k_to_120k_Departure_after_830_am_Linear,-0.039079271,F
coef_Medium_high_income_60k_to_120k_Duration_gt_4hrs,-0.041536976,F
coef_High_income_120k_plus_Departure_after_830_am_Linear,-0.039306518,F
coef_Age_41_plus_Departure_after_830_am_Linear,0.055344625,F
coef_Age_41_plus_Durationlt_4_hrs_Linear,-0.152498075,F
coef_Distance_to_destination_Departure_before_800_am_Linear,0.006869786,F
coef_Distance_to_destination_Departure_after_830_am_Linear,0.003686402,F
coef_Distance_to_destination_Durationlt_4_hrs_Linear,-0.04027172,F
coef_Distance_to_destination_Durationgt_4_hrs_Linear,0.003803244,F
coef_Distance_to_destination_Durationlt_4_hrs_Square_Root,0.041070113,F
coef_Subsequent_tour_is_work_tour_Departure_after_830_am,-0.29166292,F
coef_Subsequent_tour_is_work_tour_Duration_lt_4_hours,-0.482292817,F
coef_Subsequent_tour_is_work_tour_Duration_gt_4_hours,-0.364624965,F
coef_Subsequent_tour_is_school_tour_Departure_after_830_am,-0.286206955,F
coef_Subsequent_tour_is_school_tour_Duration_lt_4_hours,0.30341795,F
coef_Subsequent_tour_is_school_tour_Duration_gt_4_hours,-0.247436221,F
coef_Second_tour_of_two_mandatory_tours_Duration_lt_4_hours,-0.211059285,F
coef_Second_tour_of_two_mandatory_tours_Duration_gt_4_hours,-0.35316727,F
coef_Departure_Constant_Shift_for_every_30_minutes_before_0700_am_Linear,-0.947594485,F
coef_Departure_Constant_Before_0730_AM,-0.296228472,F
coef_Departure_Constant_0730_AM_0800_AM,-0.650538708,F
coef_Departure_Constant_0800_AM_0830_AM,0,T
coef_Departure_Constant_0830_AM_0900_AM,-0.525569176,F
coef_Departure_Constant_After_0900_AM,-0.536008149,F
coef_Departure_Constant_Shift_for_every_30_minutes_after_0930_am_Square_Root,-0.500045988,F
coef_Arrival_Constant_Shift_for_every_30_minutes_before_0230_pm_Linear,-0.209375282,F
coef_Arrival_Constant_Before_0300_PM,-0.962572172,F
coef_Arrival_Constant_0300_PM_0330_PM,-0.627901132,F
coef_Arrival_Constant_0330_PM_0400_PM,0,T
coef_Arrival_Constant_0400_PM_0430_PM,-0.190818088,F
coef_Arrival_Constant_After_0430_PM,-0.66545038,F
coef_Arrival_Constant_Shift_for_every_30_minutes_after_0500_pm_Linear,-0.209562151,F
coef_Arrival_Constant_Shift_for_every_30_minutes_after_0500_pm_Square_Root,0.503497689,F
coef_Duration_Constant_Shift_for_every_30_minutes_less_than_4p5_hrs_Square_Root,0.225706446,F
coef_Duration_Constant_4p5_hours_or_less,0.03106769,F
coef_Duration_Constant_5_hours,0,T
coef_Duration_Constant_5p5_hours_or_more,0.343447232,F
coef_Duration_Constant_Shift_for_every_30_minutes_more_than_5p5_hrs_Linear,-0.115312573,F
