coefficient_name,value,constrain
coef_Mode_Choice_Logsum,0.2279,T
coef_Female_Departure_before_7_am,-0.12935306,F
coef_Female_Arrival_after_6_pm,-0.041312616,F
coef_Female_with_preschool_child_Departure_before_7_am,-0.129130464,F
coef_Female_with_preschool_child_Departure_after_7_am,-0.031947595,F
coef_Female_with_preschool_child_Arrival_after_6_pm,-0.048859218,F
coef_Low_income_lt_25000_Departure_before_7_am,0.232768373,F
coef_Low_income_lt_25000_Departure_after_7_am,0.014908169,F
coef_Low_income_lt_25000_Arrival_after_6_pm,0.039105101,F
coef_Med_income_25k_to_60k_Departure_before_7_am,0.123945957,F
coef_Med_income_25k_to_60k_Arrival_after_6_pm,0.020965221,F
coef_Medhigh_income_60k_to_120k_Departure_before_7_am,0.09890939,F
coef_Age_16_to_18_yrs_Departure_Before_7_am,-0.459593556,F
coef_Age_16_to_18_yrs_Departure_After_7_am,0.060951693,F
coef_Age_19_to_24_yrs_Departure_After_7_am,0.031477187,F
coef_Age_25_to_40_yrs_Departure_Before_7_am,-0.11723451,F
coef_Age_65_plus_yrs_Departure_After_7_am,0.051923956,F
coef_Age_19_to_24_yrs_Arrival_after_6_pm,0.032734453,F
coef_Age_25_to_40_yrs_Arrival_before_5_pm,-0.027623617,F
coef_Age_56_to_64_yrs_Arrival_after_6_pm,-0.049130187,F
coef_Age_65_plus_yrs_Arrival_before_5_pm,0.056774635,F
coef_Age_65_plus_yrs_Arrival_after_6_pm,-0.077532684,F
coef_Zero_auto_HH_Departure_before_7_am,0.396983749,F
coef_Zero_auto_HH_Arrival_after_6_pm,0.050665232,F
coef_Parttime_worker_Departure_before_7_am,-0.264760988,F
coef_Parttime_worker_Departure_after_7_am,0.126626287,F
coef_Parttime_worker_Arrival_before_5_pm,0.175158545,F
coef_Parttime_worker_Arrival_after_6_pm,-0.054124518,F
coef_University_student_Departure_after_7_am,0.024758204,F
coef_University_student_Arrival_before_5_pm,0.035389739,F
coef_University_student_Arrival_after_6_pm,0.06173996,F
coef_Blue_collar_Departure_before_7_am,0.327242475,F
coef_Blue_collar_Departure_after_7_am,0.047214248,F
coef_Blue_collar_Arrival_before_5_pm,0.04197056,F
coef_Service_Departure_before_7_am,0.117783508,F
coef_Service_Departure_after_7_am,0.081611629,F
coef_Service_Arrival_before_5_pm,0,T
coef_Health_Departure_before_7_am,0.135275931,F
coef_Health_Arrival_after_6_pm,0.062010123,F
coef_Retail_and_food_Departure_after_7_am,0.076302969,F
coef_Retail_and_food_Arrival_before_5_pm,0.052905387,F
coef_Retail_and_food_Arrival_after_6_pm,0.027069194,F
coef_Time_SOV_freeflowto_destination_Departure_before_7_am,0.011511462,F
coef_Time_SOV_freeflowto_destination_Departure_after_7_am,-0.003821379,F
coef_Time_SOV_freeflowto_destination_Arrival_before_5_pm,-0.00549578,F
coef_Time_SOV_freeflowto_destination_Arrival_after_6_pm,0.002253695,F
coef_Presence_of_NonWorking_Adult_in_the_HH_Departure_before_7_am,0.069957209,F
coef_Presence_of_NonWorking_Adult_in_the_HH_Arrival_before_5_pm,-0.019807228,F
coef_Presence_of_PreDriving_Age_Children_in_the_HH_Departure_before_7_am,-0.084564489,F
