MAZ,TAZ,tot_acres,tot_hhs,hhs_pop,grppop,tot_pop,K_8,G9_12,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,tot_emp,parking_spaces,Univ_Enrollment,Univ_Tier,AreaType,COUNTY,TERMINAL,DISTRICT20,parking_daily,parking_hourly,AE_LOCAL,AE_PRM
22635,2100,102.4,8,16,0,16,0,0,0,0,0,0,3,0,0,0,1,1,0,4,49,2,0,2,2,0,64,0,0,0,4,5,0,16,0.0,,0.38669140625,26.76169140625
22636,2100,6.4,22,32,0,32,0,0,2,0,2,4,4,0,0,0,2,1,0,3,0,0,0,7,7,0,32,0,0,0,4,5,0,16,0.0,,0.5015712890624999,26.8185712890625
22637,2100,89.6,99,175,0,175,0,0,0,1,1,1,4,0,0,0,3,1,0,15,0,3,0,1,4,0,34,0,0,0,4,5,0,16,0.0,,0.58439404296875,26.90139404296875
22638,2100,166.4,133,372,0,372,0,0,0,13,9,1,12,3,0,0,2,1,0,11,0,0,0,1,3,0,56,0,0,0,4,5,0,16,0.0,,0.38133154296875,26.79333154296875
22639,2101,32.0,53,78,0,78,151,0,0,1,0,20,1,2,0,0,0,0,0,4,0,0,0,0,1,0,29,0,0,0,4,5,0,16,0.0,,0.3137628784179687,27.69176287841797
22640,2101,96.0,40,69,0,69,496,0,0,23,20,273,149,4,0,5,36,9,0,15,106,40,0,34,21,0,735,0,0,0,4,5,0,16,0.0,,0.29151123046875,27.66951123046875
22641,2101,6.4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,3,0,15,0,0,0,4,5,0,16,0.0,,0.10795947265625,27.87495947265625
22642,2101,6.4,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,5,0,16,0.0,,0.109191650390625,27.738191650390625
22643,2101,12.8,47,78,0,78,0,0,0,2,1,9,24,0,0,0,2,0,0,1,0,0,0,0,0,0,39,0,0,0,4,5,0,16,0.0,,0.177680419921875,28.145680419921877
22644,2101,12.8,19,24,0,24,0,0,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,4,5,0,16,0.0,,0.29286328125,27.89386328125
22645,2101,12.8,28,44,0,44,0,0,0,0,0,4,0,0,0,0,2,0,0,9,0,1,0,5,2,0,23,0,0,0,4,5,0,16,0.0,,0.216169921875,28.119169921875
