person_id,legacy_person_id,race_id,age,relate,member_id,legacy_household_id,sex,ESR,WKHP,WKW,SCHG,MIL,household_id
3031858,1630140252,2,38,0,1,1630051320,2,1.0,40.0,1.0,16.0,4.0,1216141
3031859,1630140256,2,14,2,2,1630051320,2,-9.0,-9.0,-9.0,11.0,-9.0,1216141
3031860,1630140253,2,8,10,3,1630051320,1,-9.0,-9.0,-9.0,4.0,-9.0,1216141
3031861,1630140254,2,7,10,4,1630051320,1,-9.0,-9.0,-9.0,4.0,-9.0,1216141
3031862,1630140255,2,7,10,5,1630051320,1,-9.0,-9.0,-9.0,4.0,-9.0,1216141
3031863,1630140257,2,5,10,6,1630051320,2,-9.0,-9.0,-9.0,2.0,-9.0,1216141
3031864,1630140187,2,41,0,1,1630051321,2,1.0,40.0,1.0,-9.0,4.0,1216142
3031865,1630140188,2,20,2,2,1630051321,2,6.0,-9.0,-9.0,-9.0,4.0,1216142
3031866,1630140190,2,17,2,3,1630051321,2,6.0,-9.0,-9.0,13.0,4.0,1216142
3031867,1630140191,2,6,2,4,1630051321,2,-9.0,-9.0,-9.0,3.0,-9.0,1216142
3031868,1630140189,2,38,13,5,1630051321,1,1.0,40.0,1.0,-9.0,4.0,1216142
3031869,1630140286,2,44,0,1,1630051322,2,1.0,40.0,1.0,-9.0,4.0,1216143
3031870,1630140288,2,25,2,2,1630051322,2,3.0,-9.0,-9.0,15.0,4.0,1216143
3031871,1630140290,2,20,2,3,1630051322,2,1.0,20.0,6.0,15.0,4.0,1216143
3031872,1630140292,2,16,2,4,1630051322,1,6.0,-9.0,-9.0,13.0,-9.0,1216143
3031873,1630140287,2,44,0,1,1630051323,2,1.0,40.0,1.0,-9.0,4.0,1216144
3031874,1630140291,2,20,2,2,1630051323,2,1.0,20.0,6.0,15.0,4.0,1216144
3031875,1630140293,2,16,2,3,1630051323,1,6.0,-9.0,-9.0,13.0,-9.0,1216144
3031876,1630140436,2,36,0,1,1630051324,2,6.0,-9.0,-9.0,-9.0,4.0,1216145
3031877,1630140442,2,35,1,2,1630051324,1,1.0,45.0,1.0,-9.0,4.0,1216145
3031878,1630140438,2,18,2,3,1630051324,2,6.0,-9.0,-9.0,15.0,4.0,1216145
3031879,1630140440,2,16,2,4,1630051324,1,1.0,25.0,6.0,11.0,-9.0,1216145
3031880,1630140444,2,14,2,5,1630051324,2,-9.0,-9.0,-9.0,10.0,-9.0,1216145
3031881,1630140446,2,9,2,6,1630051324,2,-9.0,-9.0,-9.0,5.0,-9.0,1216145
3031882,1630140437,2,36,0,1,1630051325,2,6.0,-9.0,-9.0,-9.0,4.0,1216146
