Label,Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
util_middle_to_low_income_hh_,Middle to Low Income HH ,income_in_thousands<50000,,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_,coef_middle_to_low_income_hh_
util_number_of_eating_tours_tours_undertaken_by_the_person,Number of eating tours tours undertaken by the person,num_eatout_tours,,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person,coef_number_of_eating_tours_tours_undertaken_by_the_person
util_subtour_departure_less_than_or_equal_to_11am,Subtour departure less than or equal to 11AM,start<12,,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am,coef_subtour_departure_less_than_or_equal_to_11am
util_subtour_return_time_greater_or_equal_to_2pm,Subtour return time greater or equal to 2PM,end>16,,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm,coef_subtour_return_time_greater_or_equal_to_2pm
util_subtour_duration_in_hours_integer_,Subtour duration in hours (integer),end-start,,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_,coef_subtour_duration_in_hours_integer_
util_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,dummy for subtour origin (tour destination) at Exurban  or Rual (AreaTypes = 6 or 7),destination_area_type >5,,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_,coef_dummy_for_subtour_origin_tour_destination_at_exurban_or_rual_areatypes_6_or_7_
util_primary_destination_accessibility_log_of_it_,Primary Destination Accessibility (LOG of it),pracc,,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_,coef_primary_destination_accessibility_log_of_it_
util_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,subtour distance in miles (from tour destination to subtour primary destination one way),distance_in_miles,,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_,coef_subtour_distance_in_miles_from_tour_destination_to_subtour_primary_destination_one_way_
util_alternative_specific_constant_for_outbound_stops,Alternative specific constant for outbound stops,1,,,,,-3.896,-3.896,-3.896,-3.896,coef_alternative_specific_constant_for_outbound_stops_2out_0in,coef_alternative_specific_constant_for_outbound_stops_2out_0in,coef_alternative_specific_constant_for_outbound_stops_2out_0in,coef_alternative_specific_constant_for_outbound_stops_2out_0in,-7.3610000000000015,-7.3610000000000015,-7.3610000000000015,-7.3610000000000015
util_alternative_specific_constant_for_return_stops,Alternative specific constant for return  stops,1,,-3.671,coef_alternative_specific_constant_for_return_stops_0out_2in,coef_alternative_specific_constant_for_return_stops_0out_3in,,-3.671,coef_alternative_specific_constant_for_return_stops_0out_2in,coef_alternative_specific_constant_for_return_stops_0out_3in,,-3.671,coef_alternative_specific_constant_for_return_stops_0out_2in,coef_alternative_specific_constant_for_return_stops_0out_3in,,-3.671,coef_alternative_specific_constant_for_return_stops_0out_2in,coef_alternative_specific_constant_for_return_stops_0out_3in
